dataset,path,source_url,bytes,sha256,acquired_utc,dataset_version,provider_distribution,status,failure_code
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I001_task-sleep_channels.tsv,https://data.nemar.org/nm000111/v1.0.1/sub-I001/eeg/sub-I001_task-sleep_channels.tsv,1212,29d00eab5b0a63dd958e0741edc10c033c605bd07c05b0572e294be6a5a49d33,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I001_task-sleep_eeg.edf,https://data.nemar.org/nm000111/v1.0.1/sub-I001/eeg/sub-I001_task-sleep_eeg.edf,91778304,900755de373ff9045c9ad758236c6f304dd3bb8f39dbbade55b56b6be454968f,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED_STRUCTURALLY_INVALID,SIGNAL_DURATION_MISMATCH
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I001_task-sleep_eeg.json,https://data.nemar.org/nm000111/v1.0.1/sub-I001/eeg/sub-I001_task-sleep_eeg.json,467,66ee7c722568ee3e2bf76afa5ca0cde39ea0d105411925b620d2977c919835f5,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I001_task-sleep_events.json,https://data.nemar.org/nm000111/v1.0.1/sub-I001/eeg/sub-I001_task-sleep_events.json,991,13d4e36ddc6018575ecbca3eca903363bf218e5b7d733a3302b8ca06c4c8089b,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I001_task-sleep_events.tsv,https://data.nemar.org/nm000111/v1.0.1/sub-I001/eeg/sub-I001_task-sleep_events.tsv,30026,f160f28d6c069d630026eb9ac757e88f358eb6338f76895124d1bff333a13b2a,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I002_task-sleep_channels.tsv,https://data.nemar.org/nm000111/v1.0.1/sub-I002/eeg/sub-I002_task-sleep_channels.tsv,1212,29d00eab5b0a63dd958e0741edc10c033c605bd07c05b0572e294be6a5a49d33,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I002_task-sleep_eeg.edf,https://data.nemar.org/nm000111/v1.0.1/sub-I002/eeg/sub-I002_task-sleep_eeg.edf,58458112,114113de6519253f3099c356d19ca674f3c1be19af14bda1a9e16759f99fa35c,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED_STRUCTURALLY_INVALID,SIGNAL_DURATION_MISMATCH
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I002_task-sleep_eeg.json,https://data.nemar.org/nm000111/v1.0.1/sub-I002/eeg/sub-I002_task-sleep_eeg.json,467,1526a5a9609bf1373a5430ddb2d2233e0d48b575ac1850f81c2c3e8c9e908a76,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I002_task-sleep_events.json,https://data.nemar.org/nm000111/v1.0.1/sub-I002/eeg/sub-I002_task-sleep_events.json,991,13d4e36ddc6018575ecbca3eca903363bf218e5b7d733a3302b8ca06c4c8089b,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I002_task-sleep_events.tsv,https://data.nemar.org/nm000111/v1.0.1/sub-I002/eeg/sub-I002_task-sleep_events.tsv,18829,625afea72ae4e6d696c6f6fd3b8127877006aa66ae1959790b2cf247b13a3779,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
