experiment_id,condition,seed,true_stage,predicted_stage,row_normalized_probability,count,analysis_scope
D1_SLEEPEDF_TO_ISRUC,C0,17,Wake,Wake,0.9872559652928417,40051,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,17,Wake,N1,0.00892328929205285,362,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,17,Wake,N2,0.0015282981660422008,62,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,17,Wake,N3,0.001133898639321633,46,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,17,Wake,REM,0.0011585486097416683,47,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,17,N1,Wake,0.19146238377007607,453,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,17,N1,N1,0.4543533389687236,1075,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,17,N1,N2,0.27176669484361793,643,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,17,N1,N3,0.0033812341504649195,8,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,17,N1,REM,0.0790363482671175,187,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,17,N2,Wake,0.015255292652552927,147,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,17,N2,N1,0.08520132835201329,821,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,17,N2,N2,0.8476546284765463,8168,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,17,N2,N3,0.0315483603154836,304,DESCRIPTIVE_CONFUSION_MIGRATION
