experiment_id,contrast,target_condition,source_condition,metric,point_delta,ci95_low,ci95_high,bootstrap_replicates,bootstrap_unit,analysis_scope
D1_SLEEPEDF_TO_ISRUC,DOMAIN_FULL,C3,C0,macro-F1,-0.15309883738010222,-0.18545869534647014,-0.10205975445680719,2000,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,DOMAIN_FULL,C3,C0,NLL,0.8739552397337255,0.7695834590715006,0.9854705343631015,2000,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,DOMAIN_FULL,C3,C0,Brier,0.3852358018986548,0.34809115558526665,0.42096501156626204,2000,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,DOMAIN_FULL,C3,C0,error_AUROC,-0.21458144387773478,nan,nan,0,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,DOMAIN_FULL,C3,C0,error_AUPRC,0.02818400370390724,nan,nan,0,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,DOMAIN_FULL,C3,C0,AURC,0.17937245644203015,nan,nan,0,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,DOMAIN_FULL,C3,C0,gap,0.019724265785613038,0.014104533045926671,0.02616378091855504,2000,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,DOMAIN_EEG_ONLY,C4,C1,macro-F1,-0.15696800313337034,-0.19758487069396397,-0.09128156822614854,2000,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,DOMAIN_EEG_ONLY,C4,C1,NLL,0.8370947569862466,0.7503809621068118,0.9248318839616725,2000,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,DOMAIN_EEG_ONLY,C4,C1,Brier,0.413512307278259,0.3741956847891562,0.451391503628644,2000,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,DOMAIN_EEG_ONLY,C4,C1,error_AUROC,-0.23524718766115194,nan,nan,0,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,DOMAIN_EEG_ONLY,C4,C1,error_AUPRC,0.025722107082835805,nan,nan,0,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
