experiment_id,condition,seed,metric,value,analysis_scope
D1_SLEEPEDF_TO_ISRUC,C0,17,macro-F1,0.7487506800058297,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,balanced_accuracy,0.7350130881511368,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,NLL,0.22144861360997392,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,Brier,0.1168917627468756,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,ECE,0.00826376903001121,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,adaptive_ECE,0.008101014769542312,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,classwise_ECE,0.009661512248109225,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,error_AUROC,0.9408599299207936,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,error_AUPRC,0.5105090673269405,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,AURC,0.008764998596745862,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,risk@0.95,0.05838935983630517,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,selective_macro_f1@0.95,0.7755203258178608,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,actual_coverage@0.95,0.9500138850319356,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,risk@0.90,0.039031915919390606,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,selective_macro_f1@0.90,0.7776165055992383,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,actual_coverage@0.90,0.9000104137739516,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,risk@0.80,0.010674071984900094,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,selective_macro_f1@0.80,0.775184914831063,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,actual_coverage@0.80,0.8000034712579839,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,risk@0.70,0.001487652484379649,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,selective_macro_f1@0.70,0.7812857434395839,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,actual_coverage@0.70,0.7000138850319356,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,risk@0.50,0.0,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,selective_macro_f1@0.50,0.2,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,actual_coverage@0.50,0.5,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,recall_Wake,0.9872559652928417,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,recall_N1,0.4543533389687236,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,recall_N2,0.8476546284765463,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,recall_N3,0.6951080773606371,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,recall_REM,0.6906934306569343,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,APS_nominal_coverage_0.10,0.9,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,APS_empirical_coverage_0.10,0.9995834490419327,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,APS_coverage_gap_0.10,-0.09958344904193273,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,APS_mean_set_size_0.10,2.9488683698972507,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,APS_median_set_size_0.10,4.0,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,APS_singleton_fraction_0.10,0.22613510136073314,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,APS_empty_fraction_0.10,0.0,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,APS_nominal_coverage_0.05,0.95,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,APS_empirical_coverage_0.05,0.9995834490419327,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,APS_coverage_gap_0.05,-0.04958344904193279,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,APS_mean_set_size_0.05,3.2336156623160233,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,APS_median_set_size_0.05,4.0,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,APS_singleton_fraction_0.05,0.13322688142182726,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,APS_empty_fraction_0.05,0.0,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,macro-F1,0.7536992671130646,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,balanced_accuracy,0.7480568597841986,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,NLL,0.21450567560527153,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,Brier,0.11463146291234176,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,ECE,0.01238927371766258,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,adaptive_ECE,0.012248792551824723,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,classwise_ECE,0.007500960452939552,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,error_AUROC,0.9407932887516881,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,error_AUPRC,0.5093082064203036,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,AURC,0.008527552070301583,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,risk@0.95,0.05639798304589301,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,selective_macro_f1@0.95,0.7752520472482071,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,actual_coverage@0.95,0.9500138850319356,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,risk@0.90,0.03702632340179346,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,selective_macro_f1@0.90,0.7716568589772652,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,actual_coverage@0.90,0.9000104137739516,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,risk@0.80,0.010782548326210053,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,selective_macro_f1@0.80,0.7585749596270684,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,actual_coverage@0.80,0.8000034712579839,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,risk@0.70,0.0013636814440146782,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,selective_macro_f1@0.70,0.7846337603218824,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,actual_coverage@0.70,0.7000138850319356,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,risk@0.50,3.471257983893363e-05,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,selective_macro_f1@0.50,0.1999965286817669,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,actual_coverage@0.50,0.5,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,recall_Wake,0.9821780713863143,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,recall_N1,0.46999154691462386,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,recall_N2,0.8654005811540059,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,recall_N3,0.7110352673492605,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,recall_REM,0.7116788321167883,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,APS_nominal_coverage_0.10,0.9,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,APS_empirical_coverage_0.10,0.9996181616217718,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,APS_coverage_gap_0.10,-0.09961816162177173,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,APS_mean_set_size_0.10,2.8251180227714525,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,APS_median_set_size_0.10,4.0,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,APS_singleton_fraction_0.10,0.3010448486531519,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,APS_empty_fraction_0.10,0.0,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,APS_nominal_coverage_0.05,0.95,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,APS_empirical_coverage_0.05,0.9996181616217718,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,APS_coverage_gap_0.05,-0.049618161621771795,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,APS_mean_set_size_0.05,3.0974729241877257,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,APS_median_set_size_0.05,4.0,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,APS_singleton_fraction_0.05,0.2174569564009997,PRIMARY_TARGET_FREE_DIAGNOSIS
