direction,seed,condition,montage,metric,probability_variant,value,subject_count,epoch_count,analysis_scope,interpretation
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.4728323648129075,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_A1A2,NLL,UNCALIBRATED,1.798165379759654,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_A1A2,Brier,UNCALIBRATED,0.6595261751136211,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.685542525883794,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.5964919805858919,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.2912987200893338,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.6189783090551882,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_M1M2,NLL,UNCALIBRATED,0.9247235344254736,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_M1M2,Brier,UNCALIBRATED,0.46180249321936523,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.7409887961527964,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5313050508925828,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.16145127308871637,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C4,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.3939420175440712,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
