baseline_id,experiment_id,source_dataset,target_dataset,seed,condition,population,probability_variant,metric,value,subject_count,epoch_count,checkpoint_hash,calibration_hash,prediction_hash,uncertainty_score
B0_DUAL_BRANCH_RAW_CNN,D1_SLEEPEDF_TO_ISRUC,sleep_edf_sc,isruc_s1,17,C0,SOURCE_TEST,UNCALIBRATED,NLL,0.22144861360997392,11,57616,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,a55269f34d14e7430d2a1a3ba442e299aed59817221d35d63372fcb2134ab809,267fd41029562ae3a674683887a6a1d317807583542cddf7ee2c7a69e42de7d7,
B0_DUAL_BRANCH_RAW_CNN,D1_SLEEPEDF_TO_ISRUC,sleep_edf_sc,isruc_s1,17,C0,SOURCE_TEST,UNCALIBRATED,Brier,0.1168917627468756,11,57616,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,a55269f34d14e7430d2a1a3ba442e299aed59817221d35d63372fcb2134ab809,267fd41029562ae3a674683887a6a1d317807583542cddf7ee2c7a69e42de7d7,
B0_DUAL_BRANCH_RAW_CNN,D1_SLEEPEDF_TO_ISRUC,sleep_edf_sc,isruc_s1,17,C0,SOURCE_TEST,UNCALIBRATED,ECE_15_EQUAL_WIDTH,0.00826376903001121,11,57616,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,a55269f34d14e7430d2a1a3ba442e299aed59817221d35d63372fcb2134ab809,267fd41029562ae3a674683887a6a1d317807583542cddf7ee2c7a69e42de7d7,
B0_DUAL_BRANCH_RAW_CNN,D1_SLEEPEDF_TO_ISRUC,sleep_edf_sc,isruc_s1,17,C0,SOURCE_TEST,UNCALIBRATED,ADAPTIVE_ECE_15,0.008101014769542312,11,57616,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,a55269f34d14e7430d2a1a3ba442e299aed59817221d35d63372fcb2134ab809,267fd41029562ae3a674683887a6a1d317807583542cddf7ee2c7a69e42de7d7,
B0_DUAL_BRANCH_RAW_CNN,D1_SLEEPEDF_TO_ISRUC,sleep_edf_sc,isruc_s1,17,C0,SOURCE_TEST,UNCALIBRATED,CLASSWISE_ECE,0.009661512248109225,11,57616,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,a55269f34d14e7430d2a1a3ba442e299aed59817221d35d63372fcb2134ab809,267fd41029562ae3a674683887a6a1d317807583542cddf7ee2c7a69e42de7d7,
B0_DUAL_BRANCH_RAW_CNN,D1_SLEEPEDF_TO_ISRUC,sleep_edf_sc,isruc_s1,17,C0,SOURCE_TEST,UNCALIBRATED,ERROR_AUROC,0.9408599299207936,11,57616,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,a55269f34d14e7430d2a1a3ba442e299aed59817221d35d63372fcb2134ab809,267fd41029562ae3a674683887a6a1d317807583542cddf7ee2c7a69e42de7d7,PREDICTIVE_ENTROPY
B0_DUAL_BRANCH_RAW_CNN,D1_SLEEPEDF_TO_ISRUC,sleep_edf_sc,isruc_s1,17,C0,SOURCE_TEST,UNCALIBRATED,ERROR_AUPRC,0.5105090673269405,11,57616,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,a55269f34d14e7430d2a1a3ba442e299aed59817221d35d63372fcb2134ab809,267fd41029562ae3a674683887a6a1d317807583542cddf7ee2c7a69e42de7d7,PREDICTIVE_ENTROPY
B0_DUAL_BRANCH_RAW_CNN,D1_SLEEPEDF_TO_ISRUC,sleep_edf_sc,isruc_s1,17,C0,SOURCE_TEST,UNCALIBRATED,AURC,0.008764998596745862,11,57616,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,a55269f34d14e7430d2a1a3ba442e299aed59817221d35d63372fcb2134ab809,267fd41029562ae3a674683887a6a1d317807583542cddf7ee2c7a69e42de7d7,PREDICTIVE_ENTROPY
B0_DUAL_BRANCH_RAW_CNN,D1_SLEEPEDF_TO_ISRUC,sleep_edf_sc,isruc_s1,17,C0,SOURCE_TEST,UNCALIBRATED,risk@0.95,0.05838935983630517,11,57616,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,a55269f34d14e7430d2a1a3ba442e299aed59817221d35d63372fcb2134ab809,267fd41029562ae3a674683887a6a1d317807583542cddf7ee2c7a69e42de7d7,PREDICTIVE_ENTROPY
B0_DUAL_BRANCH_RAW_CNN,D1_SLEEPEDF_TO_ISRUC,sleep_edf_sc,isruc_s1,17,C0,SOURCE_TEST,UNCALIBRATED,selective_macro_f1@0.95,0.7755203258178608,11,57616,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,a55269f34d14e7430d2a1a3ba442e299aed59817221d35d63372fcb2134ab809,267fd41029562ae3a674683887a6a1d317807583542cddf7ee2c7a69e42de7d7,PREDICTIVE_ENTROPY
B0_DUAL_BRANCH_RAW_CNN,D1_SLEEPEDF_TO_ISRUC,sleep_edf_sc,isruc_s1,17,C0,SOURCE_TEST,UNCALIBRATED,actual_coverage@0.95,0.9500138850319356,11,57616,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,a55269f34d14e7430d2a1a3ba442e299aed59817221d35d63372fcb2134ab809,267fd41029562ae3a674683887a6a1d317807583542cddf7ee2c7a69e42de7d7,PREDICTIVE_ENTROPY
B0_DUAL_BRANCH_RAW_CNN,D1_SLEEPEDF_TO_ISRUC,sleep_edf_sc,isruc_s1,17,C0,SOURCE_TEST,UNCALIBRATED,risk@0.90,0.039031915919390606,11,57616,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,a55269f34d14e7430d2a1a3ba442e299aed59817221d35d63372fcb2134ab809,267fd41029562ae3a674683887a6a1d317807583542cddf7ee2c7a69e42de7d7,PREDICTIVE_ENTROPY
B0_DUAL_BRANCH_RAW_CNN,D1_SLEEPEDF_TO_ISRUC,sleep_edf_sc,isruc_s1,17,C0,SOURCE_TEST,UNCALIBRATED,selective_macro_f1@0.90,0.7776165055992383,11,57616,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,a55269f34d14e7430d2a1a3ba442e299aed59817221d35d63372fcb2134ab809,267fd41029562ae3a674683887a6a1d317807583542cddf7ee2c7a69e42de7d7,PREDICTIVE_ENTROPY
B0_DUAL_BRANCH_RAW_CNN,D1_SLEEPEDF_TO_ISRUC,sleep_edf_sc,isruc_s1,17,C0,SOURCE_TEST,UNCALIBRATED,actual_coverage@0.90,0.9000104137739516,11,57616,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,a55269f34d14e7430d2a1a3ba442e299aed59817221d35d63372fcb2134ab809,267fd41029562ae3a674683887a6a1d317807583542cddf7ee2c7a69e42de7d7,PREDICTIVE_ENTROPY
B0_DUAL_BRANCH_RAW_CNN,D1_SLEEPEDF_TO_ISRUC,sleep_edf_sc,isruc_s1,17,C0,SOURCE_TEST,UNCALIBRATED,risk@0.80,0.010674071984900094,11,57616,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,a55269f34d14e7430d2a1a3ba442e299aed59817221d35d63372fcb2134ab809,267fd41029562ae3a674683887a6a1d317807583542cddf7ee2c7a69e42de7d7,PREDICTIVE_ENTROPY
B0_DUAL_BRANCH_RAW_CNN,D1_SLEEPEDF_TO_ISRUC,sleep_edf_sc,isruc_s1,17,C0,SOURCE_TEST,UNCALIBRATED,selective_macro_f1@0.80,0.775184914831063,11,57616,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,a55269f34d14e7430d2a1a3ba442e299aed59817221d35d63372fcb2134ab809,267fd41029562ae3a674683887a6a1d317807583542cddf7ee2c7a69e42de7d7,PREDICTIVE_ENTROPY
