experiment_id,condition,seed,stage,recall,support,analysis_scope
D1_SLEEPEDF_TO_ISRUC,C0,17,Wake,0.9872559652928417,40568,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,N1,0.4543533389687236,2366,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,N2,0.8476546284765463,9636,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,N3,0.6951080773606371,1758,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,17,REM,0.6906934306569343,3288,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,Wake,0.9821780713863143,40568,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,N1,0.46999154691462386,2366,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,N2,0.8654005811540059,9636,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,N3,0.7110352673492605,1758,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,42,REM,0.7116788321167883,3288,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,2026,Wake,0.9842486689015973,40568,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,2026,N1,0.4260355029585799,2366,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,2026,N2,0.8327106683271067,9636,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,2026,N3,0.6666666666666666,1758,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C0,2026,REM,0.7709854014598541,3288,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C1,17,Wake,0.9864918162098205,40568,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C1,17,N1,0.2265426880811496,2366,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C1,17,N2,0.8534661685346617,9636,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C1,17,N3,0.6188850967007964,1758,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C1,17,REM,0.49452554744525545,3288,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C1,42,Wake,0.980575823309012,40568,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C1,42,N1,0.28064243448858833,2366,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C1,42,N2,0.8584474885844748,9636,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C1,42,N3,0.5159271899886234,1758,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C1,42,REM,0.5620437956204379,3288,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C1,2026,Wake,0.9858755669493197,40568,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C1,2026,N1,0.24640743871513102,2366,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C1,2026,N2,0.8267953507679535,9636,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C1,2026,N3,0.6632536973833902,1758,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C1,2026,REM,0.5285888077858881,3288,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C2,17,Wake,0.8369897456123052,40568,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C2,17,N1,0.636094674556213,2366,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C2,17,N2,0.5656911581569116,9636,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C2,17,N3,0.013651877133105802,1758,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C2,17,REM,0.6532846715328468,3288,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C2,42,Wake,0.8598156182212582,40568,PRIMARY_TARGET_FREE_DIAGNOSIS
