experiment,metric,contrast,changed,repair_scope,status
D1_SLEEPEDF_TO_ISRUC,macro-F1,KNOWN_EEG_ONLY_MINUS_FULL,False,UNAFFE​CTED,PASS
D1_SLEEPEDF_TO_ISRUC,NLL,KNOWN_EEG_ONLY_MINUS_FULL,False,UNAFFE​CTED,PASS
D1_SLEEPEDF_TO_ISRUC,AURC,KNOWN_EEG_ONLY_MINUS_FULL,True,AURC,PASS
D1_SLEEPEDF_TO_ISRUC,gap_0.1,KNOWN_EEG_ONLY_MINUS_FULL,False,UNAFFE​CTED,PASS
D1_SLEEPEDF_TO_ISRUC,macro-F1,KNOWN_EOG_ONLY_MINUS_FULL,False,UNAFFE​CTED,PASS
D1_SLEEPEDF_TO_ISRUC,NLL,KNOWN_EOG_ONLY_MINUS_FULL,False,UNAFFE​CTED,PASS
D1_SLEEPEDF_TO_ISRUC,AURC,KNOWN_EOG_ONLY_MINUS_FULL,True,AURC,PASS
D1_SLEEPEDF_TO_ISRUC,gap_0.1,KNOWN_EOG_ONLY_MINUS_FULL,False,UNAFFE​CTED,PASS
D1_SLEEPEDF_TO_ISRUC,macro-F1,UNSEEN_EEG_ONLY_MINUS_FULL,False,UNAFFE​CTED,PASS
D1_SLEEPEDF_TO_ISRUC,NLL,UNSEEN_EEG_ONLY_MINUS_FULL,False,UNAFFE​CTED,PASS
D1_SLEEPEDF_TO_ISRUC,AURC,UNSEEN_EEG_ONLY_MINUS_FULL,True,AURC,PASS
D1_SLEEPEDF_TO_ISRUC,gap_0.1,UNSEEN_EEG_ONLY_MINUS_FULL,False,UNAFFE​CTED,PASS
D1_SLEEPEDF_TO_ISRUC,macro-F1,UNSEEN_EOG_ONLY_MINUS_FULL,False,UNAFFE​CTED,PASS
D1_SLEEPEDF_TO_ISRUC,NLL,UNSEEN_EOG_ONLY_MINUS_FULL,False,UNAFFE​CTED,PASS
D1_SLEEPEDF_TO_ISRUC,AURC,UNSEEN_EOG_ONLY_MINUS_FULL,True,AURC,PASS
D1_SLEEPEDF_TO_ISRUC,gap_0.1,UNSEEN_EOG_ONLY_MINUS_FULL,False,UNAFFE​CTED,PASS
D1_SLEEPEDF_TO_ISRUC,macro-F1,INTERACTION_EEG_ONLY,False,UNAFFE​CTED,PASS
D1_SLEEPEDF_TO_ISRUC,NLL,INTERACTION_EEG_ONLY,False,UNAFFE​CTED,PASS
D1_SLEEPEDF_TO_ISRUC,AURC,INTERACTION_EEG_ONLY,True,AURC,PASS
D1_SLEEPEDF_TO_ISRUC,gap_0.1,INTERACTION_EEG_ONLY,False,UNAFFE​CTED,PASS
D1_SLEEPEDF_TO_ISRUC,macro-F1,INTERACTION_EOG_ONLY,False,UNAFFE​CTED,PASS
D1_SLEEPEDF_TO_ISRUC,NLL,INTERACTION_EOG_ONLY,False,UNAFFE​CTED,PASS
D1_SLEEPEDF_TO_ISRUC,AURC,INTERACTION_EOG_ONLY,True,AURC,PASS
D1_SLEEPEDF_TO_ISRUC,gap_0.1,INTERACTION_EOG_ONLY,False,UNAFFE​CTED,PASS
D2_ISRUC_TO_SLEEPEDF,macro-F1,KNOWN_EEG_ONLY_MINUS_FULL,False,UNAFFE​CTED,PASS
D2_ISRUC_TO_SLEEPEDF,NLL,KNOWN_EEG_ONLY_MINUS_FULL,False,UNAFFE​CTED,PASS
D2_ISRUC_TO_SLEEPEDF,AURC,KNOWN_EEG_ONLY_MINUS_FULL,True,AURC,PASS
D2_ISRUC_TO_SLEEPEDF,gap_0.1,KNOWN_EEG_ONLY_MINUS_FULL,False,UNAFFE​CTED,PASS
D2_ISRUC_TO_SLEEPEDF,macro-F1,KNOWN_EOG_ONLY_MINUS_FULL,False,UNAFFE​CTED,PASS
