key,metric,shape,v1_1_digest,v1_2_digest,exact_equal,status
D1_SLEEPEDF_TO_ISRUC_C0_macro-F1,macro-F1,"(2000,)",4f306a8fc6fc48ab867b62ddf584e41f9b46cb11fc78b65f890eb104edc5cc45,4f306a8fc6fc48ab867b62ddf584e41f9b46cb11fc78b65f890eb104edc5cc45,True,PASS
D1_SLEEPEDF_TO_ISRUC_C0_NLL,NLL,"(2000,)",7c780f000651c2ea46ec0b6d39aa14c1286ca719ab29d244783b3a5f0ff1193c,7c780f000651c2ea46ec0b6d39aa14c1286ca719ab29d244783b3a5f0ff1193c,True,PASS
D1_SLEEPEDF_TO_ISRUC_C0_Brier,Brier,"(2000,)",9a8d4d1982a4f7a75cba57e02cb60e3f4328dad0308fc6737deb76e856e3d6af,9a8d4d1982a4f7a75cba57e02cb60e3f4328dad0308fc6737deb76e856e3d6af,True,PASS
D1_SLEEPEDF_TO_ISRUC_C0_ERROR_AUROC,AUROC,"(2000,)",de072593c35c943ab81a923f24ac6345edb86b54cb35581b1702211cf4bfdbfc,de072593c35c943ab81a923f24ac6345edb86b54cb35581b1702211cf4bfdbfc,True,PASS
D1_SLEEPEDF_TO_ISRUC_C0_coverage_0.1,0.1,"(2000,)",26352b0aec1ec527c41a66b23a1d8409fb53d88ba6ad3e9bb10dc76708c1c9e3,26352b0aec1ec527c41a66b23a1d8409fb53d88ba6ad3e9bb10dc76708c1c9e3,True,PASS
D1_SLEEPEDF_TO_ISRUC_C0_gap_0.1,0.1,"(2000,)",2859a01deb861bacfb1b97e4f9a764aab5e04ffbaf19694e1cdabb507174eee1,2859a01deb861bacfb1b97e4f9a764aab5e04ffbaf19694e1cdabb507174eee1,True,PASS
D1_SLEEPEDF_TO_ISRUC_C0_coverage_0.05,0.05,"(2000,)",524534e4b1ee42c56b58efe0214172a35724d8f1f56653c5b1c5f4ecf25d124a,524534e4b1ee42c56b58efe0214172a35724d8f1f56653c5b1c5f4ecf25d124a,True,PASS
D1_SLEEPEDF_TO_ISRUC_C0_gap_0.05,0.05,"(2000,)",333b95f265212c1f6931940a6b284b07bddf8481d380852bf7605110aed8149c,333b95f265212c1f6931940a6b284b07bddf8481d380852bf7605110aed8149c,True,PASS
D1_SLEEPEDF_TO_ISRUC_C1_macro-F1,macro-F1,"(2000,)",0ce8d65c2dfc9a004ce5922035cb699f8a7074a92bc4e161c0206c650e04b165,0ce8d65c2dfc9a004ce5922035cb699f8a7074a92bc4e161c0206c650e04b165,True,PASS
D1_SLEEPEDF_TO_ISRUC_C1_NLL,NLL,"(2000,)",eb914b4ddebde507c526e0e361fbff39ec60967b2c654e2e39ca6664095d54d3,eb914b4ddebde507c526e0e361fbff39ec60967b2c654e2e39ca6664095d54d3,True,PASS
D1_SLEEPEDF_TO_ISRUC_C1_Brier,Brier,"(2000,)",fa3c12fefda429e4b8ba97de8f5c98cc750dde520a74f20b95a0d6497f59fdab,fa3c12fefda429e4b8ba97de8f5c98cc750dde520a74f20b95a0d6497f59fdab,True,PASS
D1_SLEEPEDF_TO_ISRUC_C1_ERROR_AUROC,AUROC,"(2000,)",d2960b3295f3ffea7706aee8c2a3dcc8d9e224bfaf2b2dcac749e1dae535f775,d2960b3295f3ffea7706aee8c2a3dcc8d9e224bfaf2b2dcac749e1dae535f775,True,PASS
