experiment_id,seed,artifact,sha256
D1_SLEEPEDF_TO_ISRUC,17,temperature,a39215d663b7d72b4a768955ca94ac5cf22dcfa4a56fced6e790a0454d59fa4f
D1_SLEEPEDF_TO_ISRUC,17,aps,2500f71f7290f781bfc35d723f8e16ead059392c3fe387e7d190c553b5ad330c
D1_SLEEPEDF_TO_ISRUC,42,temperature,5924a5b449566829996ff835ce99bc4b39918cb2126adaf6c262c3ea294f0aa2
D1_SLEEPEDF_TO_ISRUC,42,aps,3b7c61064b7c48a33aab51ebf4913feebeeead88a30bc4d62c0775e3db2ce68a
D1_SLEEPEDF_TO_ISRUC,2026,temperature,b9d767b70cb498e4e2a65f4136ac72130496611aee53cfae239edec5df2902d4
D1_SLEEPEDF_TO_ISRUC,2026,aps,5785e14edd152d4208c5a4d953353cc4cb81fc64fb2ff8c9723605beea4047d5
D2_ISRUC_TO_SLEEPEDF,17,temperature,6d9c19b1c49c623108566d7f1af6a43cb7272ba2ad16638794798216644644d7
D2_ISRUC_TO_SLEEPEDF,17,aps,11a03d0044fd6e097c8f57483c283042642e9e3911c1e3a856110e819447b9c0
D2_ISRUC_TO_SLEEPEDF,42,temperature,e66eef51013b2fcc26111c8862bf04eea70a6cc4fbd08b522c32fb400c75609b
D2_ISRUC_TO_SLEEPEDF,42,aps,aa3fadfbea4db68a1d0d188d0f42add5e18b0481444f1e1232f899cd1a184c24
D2_ISRUC_TO_SLEEPEDF,2026,temperature,29ab0240f7c39e7e8fdbd3217c38afc49c65b807bf090252a77a5c3fcf698c70
D2_ISRUC_TO_SLEEPEDF,2026,aps,d71b95cc761cf273a361f37d320c225cfd43c948afe2e4521215c5c2b57a71ad
