direction,seed,condition,montage,metric,probability_variant,value,subject_count,epoch_count
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.5228062825629666,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_A1A2,NLL,UNCALIBRATED,1.6153559440266216,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_A1A2,Brier,UNCALIBRATED,0.6136889952545432,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.7042745814303513,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.6032431481630655,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.2700397233238265,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.6614945208363061,82,73883
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_M1M2,NLL,UNCALIBRATED,0.8445848342898007,82,73883
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_M1M2,Brier,UNCALIBRATED,0.42669956469618064,82,73883
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.7604725512908392,82,73883
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5291653635745849,82,73883
D1_SLEEPEDF_TO_ISRUC,17,C3,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.13912537893876645,82,73883
D1_SLEEPEDF_TO_ISRUC,17,C4,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.4686893344297146,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C4,ISRUC_A1A2,NLL,UNCALIBRATED,1.4457021479358985,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C4,ISRUC_A1A2,Brier,UNCALIBRATED,0.6494627466307064,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C4,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.7212722798773366,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C4,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.6652519817692635,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C4,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.29841125999014134,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C4,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.5832693298293914,82,73883
D1_SLEEPEDF_TO_ISRUC,17,C4,ISRUC_M1M2,NLL,UNCALIBRATED,0.9314214292559211,82,73883
D1_SLEEPEDF_TO_ISRUC,17,C4,ISRUC_M1M2,Brier,UNCALIBRATED,0.4890384424934875,82,73883
D1_SLEEPEDF_TO_ISRUC,17,C4,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.726131863588318,82,73883
D1_SLEEPEDF_TO_ISRUC,17,C4,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5502538598494853,82,73883
D1_SLEEPEDF_TO_ISRUC,17,C4,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.1930807586661599,82,73883
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.4024167638628633,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_A1A2,NLL,UNCALIBRATED,1.6790076447737075,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_A1A2,Brier,UNCALIBRATED,0.7234703771677552,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.6823103748910201,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.6636219056863901,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.3603392193642322,17,15429
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.49268319651832293,82,73883
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_M1M2,NLL,UNCALIBRATED,1.3759189147950996,82,73883
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_M1M2,Brier,UNCALIBRATED,0.6361309236327727,82,73883
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.6861622668858433,82,73883
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.6017943085982863,82,73883
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.2946509614286079,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.5786181230018087,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_A1A2,NLL,UNCALIBRATED,1.2171793549243037,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_A1A2,Brier,UNCALIBRATED,0.5398922318478031,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.6920607867766508,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.5627250274777548,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.24900404543184948,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.6290921812443958,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_M1M2,NLL,UNCALIBRATED,0.8719916492250409,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_M1M2,Brier,UNCALIBRATED,0.44587266959143274,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.7408029845833947,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5263461834277052,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.15831727131581844,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.506674364079454,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,NLL,UNCALIBRATED,1.1987402672030918,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,Brier,UNCALIBRATED,0.5806240040189717,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.7093165960263551,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.6158758160899604,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.2766601499085026,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.5919569044302253,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,NLL,UNCALIBRATED,0.9426124934217703,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,Brier,UNCALIBRATED,0.48257661249710854,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.7145655807939447,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5498171395428919,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.20830840227807418,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.3705866771764008,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,NLL,UNCALIBRATED,1.4551937957392669,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,Brier,UNCALIBRATED,0.6976310104708713,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.6604288065029055,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.6328648520264335,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.356691545326178,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.4554675869094714,82,73883
