model,experiment_id,seed,condition,metric,value,probability_variant
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,macro-F1,0.7598981893792093,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,NLL,0.21581875336856604,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,Brier,0.1174926330908166,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,ERROR_AUROC,0.9389880433002976,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,ERROR_AUPRC,0.5049772850670158,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,AURC,0.008975342995080793,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,coverage_0.1,0.9992363232435435,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,gap_0.1,-0.09923632324354348,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,coverage_0.05,0.9994619550124966,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,gap_0.05,-0.04946195501249662,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C1,macro-F1,0.7125187195252252,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C1,NLL,0.25262189161647736,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,17,C1,Brier,0.13479233216429062,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,17,C1,ERROR_AUROC,0.933434356811578,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C1,ERROR_AUPRC,0.5122882364988662,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C1,AURC,0.01175615274520858,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C1,coverage_0.1,0.9993057484032213,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C1,gap_0.1,-0.09930574840322126,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C1,coverage_0.05,0.9993231046931408,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C1,gap_0.05,-0.04932310469314083,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C2,macro-F1,0.6442076448897642,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C2,NLL,0.34784005386505534,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,17,C2,Brier,0.18165627318335836,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,17,C2,ERROR_AUROC,0.916150163665359,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C2,ERROR_AUPRC,0.5365926871098952,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C2,AURC,0.020531994613914646,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C2,coverage_0.1,0.9970841432935296,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C2,gap_0.1,-0.09708414329352955,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C2,coverage_0.05,0.9970841432935296,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C2,gap_0.05,-0.04708414329352961,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,macro-F1,0.6416711074636566,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,NLL,0.8883622656796496,SOURCE_TEMPERATURE_SCALED
