experiment_id,seed,condition,true_class,predicted_class,count,prediction_hash
D1_SLEEPEDF_TO_ISRUC,17,C0,0,0,39789,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,0,1,624,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,0,2,49,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,0,3,26,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,0,4,80,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,1,0,245,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,1,1,1321,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,1,2,554,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,1,3,8,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,1,4,238,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,2,0,69,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,2,1,1028,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,2,2,7832,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,2,3,379,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,2,4,328,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,3,0,3,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,3,1,9,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,3,2,492,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,3,3,1253,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,3,4,1,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,4,0,60,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,4,1,401,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,4,2,254,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,4,3,2,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C0,4,4,2571,aca1481761ee4c3258755da5c349c25d5bcdd6fd883162c1ad53cecb200c47cd
D1_SLEEPEDF_TO_ISRUC,17,C1,0,0,39717,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,0,1,562,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,0,2,92,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,0,3,48,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,0,4,149,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,1,0,362,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,1,1,887,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,1,2,827,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,1,3,13,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,1,4,277,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,2,0,92,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,2,1,728,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,2,2,7855,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,2,3,596,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,2,4,365,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,3,0,0,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,3,1,11,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,3,2,419,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,3,3,1328,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,3,4,0,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,4,0,173,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,4,1,424,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,4,2,479,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,4,3,5,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C1,4,4,2207,f1dcfdb167fcca5bb718c85e543a444e8711312fa2b892d53c4ab5a32f84c3b9
D1_SLEEPEDF_TO_ISRUC,17,C2,0,0,38964,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,0,1,838,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,0,2,140,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,0,3,11,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,0,4,615,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,1,0,424,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,1,1,1182,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,1,2,409,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,1,3,0,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,1,4,351,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,2,0,513,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,2,1,1334,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,2,2,7081,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,2,3,155,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,2,4,553,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,3,0,108,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,3,1,18,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,3,2,1005,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
