dataset,recording_path,url,range_supported,content_range,signal_count,labels,physical_dimensions,sampling_hz,samples_per_record,records,record_duration_s,duration_s,edf_plus,patient_header_redacted,header_bytes_inspected,status
CAP Sleep Database v1.0.0,brux1.edf,https://physionet.org/files/capslpdb/1.0.0/brux1.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,brux2.edf,https://physionet.org/files/capslpdb/1.0.0/brux2.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,ins1.edf,https://physionet.org/files/capslpdb/1.0.0/ins1.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,ins2.edf,https://physionet.org/files/capslpdb/1.0.0/ins2.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,ins3.edf,https://physionet.org/files/capslpdb/1.0.0/ins3.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,ins4.edf,https://physionet.org/files/capslpdb/1.0.0/ins4.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,ins5.edf,https://physionet.org/files/capslpdb/1.0.0/ins5.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,ins6.edf,https://physionet.org/files/capslpdb/1.0.0/ins6.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,ins7.edf,https://physionet.org/files/capslpdb/1.0.0/ins7.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,ins8.edf,https://physionet.org/files/capslpdb/1.0.0/ins8.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,ins9.edf,https://physionet.org/files/capslpdb/1.0.0/ins9.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,n10.edf,https://physionet.org/files/capslpdb/1.0.0/n10.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,n11.edf,https://physionet.org/files/capslpdb/1.0.0/n11.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,n12.edf,https://physionet.org/files/capslpdb/1.0.0/n12.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,n13.edf,https://physionet.org/files/capslpdb/1.0.0/n13.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,n14.edf,https://physionet.org/files/capslpdb/1.0.0/n14.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,n15.edf,https://physionet.org/files/capslpdb/1.0.0/n15.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,n16.edf,https://physionet.org/files/capslpdb/1.0.0/n16.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,n1.edf,https://physionet.org/files/capslpdb/1.0.0/n1.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,n2.edf,https://physionet.org/files/capslpdb/1.0.0/n2.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,n3.edf,https://physionet.org/files/capslpdb/1.0.0/n3.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,n4.edf,https://physionet.org/files/capslpdb/1.0.0/n4.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
