dataset,subject_id,recording_id,exclusion_level,category,count,reason
sleep_edf_sc,SC_00,SC4001E0,annotation_epoch,annotation_epoch_exclusion,230,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_00,SC4002E0,annotation_epoch,annotation_epoch_exclusion,51,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_01,SC4011E0,annotation_epoch,annotation_epoch_exclusion,78,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_01,SC4012E0,annotation_epoch,annotation_epoch_exclusion,32,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_02,SC4021E0,annotation_epoch,annotation_epoch_exclusion,76,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_02,SC4022E0,annotation_epoch,annotation_epoch_exclusion,125,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_03,SC4031E0,annotation_epoch,annotation_epoch_exclusion,60,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_03,SC4032E0,annotation_epoch,annotation_epoch_exclusion,148,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_04,SC4041E0,annotation_epoch,annotation_epoch_exclusion,311,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_04,SC4042E0,annotation_epoch,annotation_epoch_exclusion,92,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_05,SC4051E0,annotation_epoch,annotation_epoch_exclusion,158,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_05,SC4052E0,annotation_epoch,annotation_epoch_exclusion,76,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_06,SC4061E0,annotation_epoch,annotation_epoch_exclusion,110,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_06,SC4062E0,annotation_epoch,annotation_epoch_exclusion,50,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_07,SC4071E0,annotation_epoch,annotation_epoch_exclusion,70,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_07,SC4072E0,annotation_epoch,annotation_epoch_exclusion,110,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_08,SC4081E0,annotation_epoch,annotation_epoch_exclusion,84,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_08,SC4082E0,annotation_epoch,annotation_epoch_exclusion,246,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_09,SC4091E0,annotation_epoch,annotation_epoch_exclusion,159,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_09,SC4092E0,annotation_epoch,annotation_epoch_exclusion,836,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_10,SC4101E0,annotation_epoch,annotation_epoch_exclusion,161,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_10,SC4102E0,annotation_epoch,annotation_epoch_exclusion,23,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_11,SC4111E0,annotation_epoch,annotation_epoch_exclusion,239,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_11,SC4112E0,annotation_epoch,annotation_epoch_exclusion,100,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_12,SC4121E0,annotation_epoch,annotation_epoch_exclusion,195,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_12,SC4122E0,annotation_epoch,annotation_epoch_exclusion,274,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_13,SC4131E0,annotation_epoch,annotation_epoch_exclusion,66,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_14,SC4141E0,annotation_epoch,annotation_epoch_exclusion,124,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_14,SC4142E0,annotation_epoch,annotation_epoch_exclusion,106,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_15,SC4151E0,annotation_epoch,annotation_epoch_exclusion,264,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_15,SC4152E0,annotation_epoch,annotation_epoch_exclusion,21,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_16,SC4161E0,annotation_epoch,annotation_epoch_exclusion,259,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_16,SC4162E0,annotation_epoch,annotation_epoch_exclusion,130,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_17,SC4171E0,annotation_epoch,annotation_epoch_exclusion,139,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_17,SC4172E0,annotation_epoch,annotation_epoch_exclusion,160,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_18,SC4181E0,annotation_epoch,annotation_epoch_exclusion,124,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_18,SC4182E0,annotation_epoch,annotation_epoch_exclusion,38,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_19,SC4191E0,annotation_epoch,annotation_epoch_exclusion,106,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_19,SC4192E0,annotation_epoch,annotation_epoch_exclusion,275,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_20,SC4201E0,annotation_epoch,annotation_epoch_exclusion,77,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_20,SC4202E0,annotation_epoch,annotation_epoch_exclusion,210,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_21,SC4211E0,annotation_epoch,annotation_epoch_exclusion,75,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_21,SC4212E0,annotation_epoch,annotation_epoch_exclusion,186,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_22,SC4221E0,annotation_epoch,annotation_epoch_exclusion,180,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_22,SC4222E0,annotation_epoch,annotation_epoch_exclusion,120,source_noncanonical_or_excluded_annotation
sleep_edf_sc,SC_23,SC4231E0,annotation_epoch,annotation_epoch_exclusion,137,source_noncanonical_or_excluded_annotation
