subject_id,raw_rec_sha256,body_valid,raw_signal_count,raw_channel_labels_exact,parsed_channel_labels_current,c3_a2_present_current,loc_a2_present_current,current_schema_status,current_terminal_status,current_failure_code
I001,4ff7c64f79131213e15107a4f53d40db0081ec2246142b67d2343b2b8dbbb42f,True,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,True,True,CHANNEL_COMPATIBLE,INCLUDED,
I002,adf2129c7a296a72d29a2b5f84955bfa4ad5b1913a9c741ebdbc261715ffd2b9,True,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,True,True,CHANNEL_COMPATIBLE,INCLUDED,
I003,92c2dc2efde9a811b4b5e458bc20f184493fc8af58077f509e1220407c1ddef7,True,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,True,True,CHANNEL_COMPATIBLE,INCLUDED,
I004,bc0c2b2ae719464a8cafe7cf4ad70639d14951a69dd310b63c55592bb99bbfce,True,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,True,True,CHANNEL_COMPATIBLE,INCLUDED,
I005,8c666ae94531f0dfad5301f09a3be87a13af813209166a703240375ec6803b2d,True,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,True,True,CHANNEL_COMPATIBLE,INCLUDED,
I006,4540ab0c2329e7b0742470c80ee97b8c39a566fab49b0481f193f7fca3913cd6,True,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,True,True,CHANNEL_COMPATIBLE,INCLUDED,
I007,e4fc74997855b07be59e5512bc8fbb8c3d73ed6d80e9ad46a0c612c46d216065,True,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,True,True,CHANNEL_COMPATIBLE,INCLUDED,
I008,7d4744746d62b7ed4cb99e152a8256e5299b1eadaeda7bfe19238945650dcb25,True,21,LOC-A2|ROC-A1|C3-A2|O1-A2|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8|DC4|DC5|DC6|DC7,LOC-A2|ROC-A1|C3-A2|O1-A2|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8|DC4|DC5|DC6|DC7,True,True,CHANNEL_COMPATIBLE,INCLUDED,
I009,7ccad29d0d095ad8b981fe8270920e4e3b870913b449b7d0f367125be80b7211,True,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,True,True,CHANNEL_COMPATIBLE,INCLUDED,
I010,318e58a7cdf06667686274d7c0e7454b87790ef534cfe2b3363f048c1e71577d,True,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,True,True,CHANNEL_COMPATIBLE,INCLUDED,
