subject_id,channel_index,label_raw_hex,label_repr,transducer,physical_dimension,physical_min,physical_max,digital_min,digital_max,samples_per_record,signal_count,header_length,record_duration
I001,0,4c4f432d413220202020202020202020,b'LOC-A2          ',EOG_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I001,1,524f432d413120202020202020202020,b'ROC-A1          ',EOG2_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I001,2,46332d41322020202020202020202020,b'F3-A2           ',EEG_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I001,3,43332d41322020202020202020202020,b'C3-A2           ',EEG_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I001,4,4f312d41322020202020202020202020,b'O1-A2           ',EEG_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I001,5,46342d41312020202020202020202020,b'F4-A1           ',EEG2_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I001,6,43342d41312020202020202020202020,b'C4-A1           ',EEG2_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I001,7,4f322d41312020202020202020202020,b'O2-A1           ',EEG2_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I001,8,58312020202020202020202020202020,b'X1              ',Chin_Channel,uV,-101,101,-32768,32767,400,19,5120,2.0
I001,9,58322020202020202020202020202020,b'X2              ',EKG_Channel,uV,-87,87,-32768,32767,400,19,5120,2.0
I001,10,58332020202020202020202020202020,b'X3              ',Leg_Channel,uV,-39,39,-32768,32767,400,19,5120,2.0
I001,11,58342020202020202020202020202020,b'X4              ',Leg2_Channel,uV,-33,33,-32768,32767,400,19,5120,2.0
I001,12,58352020202020202020202020202020,b'X5              ',Snore_Channel,uV,-612,612,-32768,32767,400,19,5120,2.0
I001,13,58362020202020202020202020202020,b'X6              ',Flow_Channel,uV,-16,16,-32768,32767,25,19,5120,2.0
I001,14,44433320202020202020202020202020,b'DC3             ',Flow2_Channel,uV,-698,698,-32768,32767,50,19,5120,2.0
I001,15,58372020202020202020202020202020,b'X7              ',Effort_Channel,uV,-142,142,-32768,32767,50,19,5120,2.0
I001,16,58382020202020202020202020202020,b'X8              ',Effort2_Channel,uV,-979,979,-32768,32767,50,19,5120,2.0
I001,17,53614f32202020202020202020202020,b'SaO2            ',SaO2_Channel,%,0,100,-32768,32767,25,19,5120,2.0
I001,18,44433820202020202020202020202020,b'DC8             ',BPOS_Channel,,0,200,-32768,32767,50,19,5120,2.0
I002,0,4c4f432d413220202020202020202020,b'LOC-A2          ',EOG_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I002,1,524f432d413120202020202020202020,b'ROC-A1          ',EOG2_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I002,2,46332d41322020202020202020202020,b'F3-A2           ',EEG_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I002,3,43332d41322020202020202020202020,b'C3-A2           ',EEG_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I002,4,4f312d41322020202020202020202020,b'O1-A2           ',EEG_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I002,5,46342d41312020202020202020202020,b'F4-A1           ',EEG2_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I002,6,43342d41312020202020202020202020,b'C4-A1           ',EEG2_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
