subject,channel_index,raw_hex,decoded_repr,stripped_repr,contains_nul,contains_non_ascii,exact_expected,notes
I001,0,4c4f432d413220202020202020202020,LOC-A2          ,LOC-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I001,1,524f432d413120202020202020202020,ROC-A1          ,ROC-A1,False,False,False,
I001,2,46332d41322020202020202020202020,F3-A2           ,F3-A2,False,False,False,
I001,3,43332d41322020202020202020202020,C3-A2           ,C3-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I001,4,4f312d41322020202020202020202020,O1-A2           ,O1-A2,False,False,False,
I001,5,46342d41312020202020202020202020,F4-A1           ,F4-A1,False,False,False,
I001,6,43342d41312020202020202020202020,C4-A1           ,C4-A1,False,False,False,
I001,7,4f322d41312020202020202020202020,O2-A1           ,O2-A1,False,False,False,
I001,8,58312020202020202020202020202020,X1              ,X1,False,False,False,
I001,9,58322020202020202020202020202020,X2              ,X2,False,False,False,
I001,10,58332020202020202020202020202020,X3              ,X3,False,False,False,
I001,11,58342020202020202020202020202020,X4              ,X4,False,False,False,
I001,12,58352020202020202020202020202020,X5              ,X5,False,False,False,
I001,13,58362020202020202020202020202020,X6              ,X6,False,False,False,
I001,14,44433320202020202020202020202020,DC3             ,DC3,False,False,False,
I001,15,58372020202020202020202020202020,X7              ,X7,False,False,False,
I001,16,58382020202020202020202020202020,X8              ,X8,False,False,False,
I001,17,53614f32202020202020202020202020,SaO2            ,SaO2,False,False,False,
I001,18,44433820202020202020202020202020,DC8             ,DC8,False,False,False,
I002,0,4c4f432d413220202020202020202020,LOC-A2          ,LOC-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I002,1,524f432d413120202020202020202020,ROC-A1          ,ROC-A1,False,False,False,
I002,2,46332d41322020202020202020202020,F3-A2           ,F3-A2,False,False,False,
I002,3,43332d41322020202020202020202020,C3-A2           ,C3-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I002,4,4f312d41322020202020202020202020,O1-A2           ,O1-A2,False,False,False,
I002,5,46342d41312020202020202020202020,F4-A1           ,F4-A1,False,False,False,
I002,6,43342d41312020202020202020202020,C4-A1           ,C4-A1,False,False,False,
I002,7,4f322d41312020202020202020202020,O2-A1           ,O2-A1,False,False,False,
I002,8,58312020202020202020202020202020,X1              ,X1,False,False,False,
I002,9,58322020202020202020202020202020,X2              ,X2,False,False,False,
I002,10,58332020202020202020202020202020,X3              ,X3,False,False,False,
I002,11,58342020202020202020202020202020,X4              ,X4,False,False,False,
I002,12,58352020202020202020202020202020,X5              ,X5,False,False,False,
I002,13,58362020202020202020202020202020,X6              ,X6,False,False,False,
I002,14,44433320202020202020202020202020,DC3             ,DC3,False,False,False,
I002,15,58372020202020202020202020202020,X7              ,X7,False,False,False,
I002,16,58382020202020202020202020202020,X8              ,X8,False,False,False,
I002,17,53614f32202020202020202020202020,SaO2            ,SaO2,False,False,False,
I002,18,44433820202020202020202020202020,DC8             ,DC8,False,False,False,
I003,0,4c4f432d413220202020202020202020,LOC-A2          ,LOC-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I003,1,524f432d413120202020202020202020,ROC-A1          ,ROC-A1,False,False,False,
I003,2,46332d41322020202020202020202020,F3-A2           ,F3-A2,False,False,False,
I003,3,43332d41322020202020202020202020,C3-A2           ,C3-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I003,4,4f312d41322020202020202020202020,O1-A2           ,O1-A2,False,False,False,
I003,5,46342d41312020202020202020202020,F4-A1           ,F4-A1,False,False,False,
I003,6,43342d41312020202020202020202020,C4-A1           ,C4-A1,False,False,False,
I003,7,4f322d41312020202020202020202020,O2-A1           ,O2-A1,False,False,False,
I003,8,58312020202020202020202020202020,X1              ,X1,False,False,False,
I003,9,58322020202020202020202020202020,X2              ,X2,False,False,False,
I003,10,58332020202020202020202020202020,X3              ,X3,False,False,False,
I003,11,58342020202020202020202020202020,X4              ,X4,False,False,False,
I003,12,58352020202020202020202020202020,X5              ,X5,False,False,False,
I003,13,58362020202020202020202020202020,X6              ,X6,False,False,False,
I003,14,44433320202020202020202020202020,DC3             ,DC3,False,False,False,
I003,15,58372020202020202020202020202020,X7              ,X7,False,False,False,
I003,16,58382020202020202020202020202020,X8              ,X8,False,False,False,
I003,17,53614f32202020202020202020202020,SaO2            ,SaO2,False,False,False,
I003,18,44433820202020202020202020202020,DC8             ,DC8,False,False,False,
I004,0,4c4f432d413220202020202020202020,LOC-A2          ,LOC-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I004,1,524f432d413120202020202020202020,ROC-A1          ,ROC-A1,False,False,False,
I004,2,46332d41322020202020202020202020,F3-A2           ,F3-A2,False,False,False,
I004,3,43332d41322020202020202020202020,C3-A2           ,C3-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I004,4,4f312d41322020202020202020202020,O1-A2           ,O1-A2,False,False,False,
I004,5,46342d41312020202020202020202020,F4-A1           ,F4-A1,False,False,False,
I004,6,43342d41312020202020202020202020,C4-A1           ,C4-A1,False,False,False,
I004,7,4f322d41312020202020202020202020,O2-A1           ,O2-A1,False,False,False,
I004,8,58312020202020202020202020202020,X1              ,X1,False,False,False,
I004,9,58322020202020202020202020202020,X2              ,X2,False,False,False,
I004,10,58332020202020202020202020202020,X3              ,X3,False,False,False,
I004,11,58342020202020202020202020202020,X4              ,X4,False,False,False,
I004,12,58352020202020202020202020202020,X5              ,X5,False,False,False,
I004,13,58362020202020202020202020202020,X6              ,X6,False,False,False,
I004,14,44433320202020202020202020202020,DC3             ,DC3,False,False,False,
I004,15,58372020202020202020202020202020,X7              ,X7,False,False,False,
I004,16,58382020202020202020202020202020,X8              ,X8,False,False,False,
I004,17,53614f32202020202020202020202020,SaO2            ,SaO2,False,False,False,
I004,18,44433820202020202020202020202020,DC8             ,DC8,False,False,False,
