subject,channel_index,existing_parser_label,independent_parser_label,equal,difference_type
I001,0,LOC-A2,LOC-A2,True,NONE
I001,1,ROC-A1,ROC-A1,True,NONE
I001,2,F3-A2,F3-A2,True,NONE
I001,3,C3-A2,C3-A2,True,NONE
I001,4,O1-A2,O1-A2,True,NONE
I001,5,F4-A1,F4-A1,True,NONE
I001,6,C4-A1,C4-A1,True,NONE
I001,7,O2-A1,O2-A1,True,NONE
I001,8,X1,X1,True,NONE
I001,9,X2,X2,True,NONE
I001,10,X3,X3,True,NONE
I001,11,X4,X4,True,NONE
I001,12,X5,X5,True,NONE
I001,13,X6,X6,True,NONE
I001,14,DC3,DC3,True,NONE
I001,15,X7,X7,True,NONE
I001,16,X8,X8,True,NONE
I001,17,SaO2,SaO2,True,NONE
I001,18,DC8,DC8,True,NONE
I002,0,LOC-A2,LOC-A2,True,NONE
I002,1,ROC-A1,ROC-A1,True,NONE
I002,2,F3-A2,F3-A2,True,NONE
I002,3,C3-A2,C3-A2,True,NONE
I002,4,O1-A2,O1-A2,True,NONE
I002,5,F4-A1,F4-A1,True,NONE
I002,6,C4-A1,C4-A1,True,NONE
I002,7,O2-A1,O2-A1,True,NONE
I002,8,X1,X1,True,NONE
I002,9,X2,X2,True,NONE
I002,10,X3,X3,True,NONE
I002,11,X4,X4,True,NONE
I002,12,X5,X5,True,NONE
I002,13,X6,X6,True,NONE
I002,14,DC3,DC3,True,NONE
I002,15,X7,X7,True,NONE
I002,16,X8,X8,True,NONE
I002,17,SaO2,SaO2,True,NONE
I002,18,DC8,DC8,True,NONE
I003,0,LOC-A2,LOC-A2,True,NONE
I003,1,ROC-A1,ROC-A1,True,NONE
I003,2,F3-A2,F3-A2,True,NONE
I003,3,C3-A2,C3-A2,True,NONE
I003,4,O1-A2,O1-A2,True,NONE
I003,5,F4-A1,F4-A1,True,NONE
I003,6,C4-A1,C4-A1,True,NONE
I003,7,O2-A1,O2-A1,True,NONE
I003,8,X1,X1,True,NONE
I003,9,X2,X2,True,NONE
I003,10,X3,X3,True,NONE
I003,11,X4,X4,True,NONE
I003,12,X5,X5,True,NONE
I003,13,X6,X6,True,NONE
I003,14,DC3,DC3,True,NONE
I003,15,X7,X7,True,NONE
I003,16,X8,X8,True,NONE
I003,17,SaO2,SaO2,True,NONE
I003,18,DC8,DC8,True,NONE
I004,0,LOC-A2,LOC-A2,True,NONE
I004,1,ROC-A1,ROC-A1,True,NONE
I004,2,F3-A2,F3-A2,True,NONE
I004,3,C3-A2,C3-A2,True,NONE
I004,4,O1-A2,O1-A2,True,NONE
I004,5,F4-A1,F4-A1,True,NONE
I004,6,C4-A1,C4-A1,True,NONE
I004,7,O2-A1,O2-A1,True,NONE
I004,8,X1,X1,True,NONE
I004,9,X2,X2,True,NONE
I004,10,X3,X3,True,NONE
I004,11,X4,X4,True,NONE
I004,12,X5,X5,True,NONE
I004,13,X6,X6,True,NONE
I004,14,DC3,DC3,True,NONE
I004,15,X7,X7,True,NONE
I004,16,X8,X8,True,NONE
I004,17,SaO2,SaO2,True,NONE
I004,18,DC8,DC8,True,NONE
I005,0,LOC-A2,LOC-A2,True,NONE
I005,1,ROC-A1,ROC-A1,True,NONE
I005,2,F3-A2,F3-A2,True,NONE
I005,3,C3-A2,C3-A2,True,NONE
I005,4,O1-A2,O1-A2,True,NONE
I005,5,F4-A1,F4-A1,True,NONE
I005,6,C4-A1,C4-A1,True,NONE
I005,7,O2-A1,O2-A1,True,NONE
I005,8,X1,X1,True,NONE
I005,9,X2,X2,True,NONE
I005,10,X3,X3,True,NONE
I005,11,X4,X4,True,NONE
I005,12,X5,X5,True,NONE
I005,13,X6,X6,True,NONE
I005,14,DC3,DC3,True,NONE
I005,15,X7,X7,True,NONE
I005,16,X8,X8,True,NONE
I005,17,SaO2,SaO2,True,NONE
I005,18,DC8,DC8,True,NONE
I006,0,LOC-A2,LOC-A2,True,NONE
I006,1,ROC-A1,ROC-A1,True,NONE
I006,2,F3-A2,F3-A2,True,NONE
I006,3,C3-A2,C3-A2,True,NONE
I006,4,O1-A2,O1-A2,True,NONE
I006,5,F4-A1,F4-A1,True,NONE
I006,6,C4-A1,C4-A1,True,NONE
I006,7,O2-A1,O2-A1,True,NONE
I006,8,X1,X1,True,NONE
I006,9,X2,X2,True,NONE
I006,10,X3,X3,True,NONE
I006,11,X4,X4,True,NONE
I006,12,X5,X5,True,NONE
I006,13,X6,X6,True,NONE
I006,14,DC3,DC3,True,NONE
I006,15,X7,X7,True,NONE
I006,16,X8,X8,True,NONE
I006,17,SaO2,SaO2,True,NONE
I006,18,DC8,DC8,True,NONE
I007,0,LOC-A2,LOC-A2,True,NONE
I007,1,ROC-A1,ROC-A1,True,NONE
I007,2,F3-A2,F3-A2,True,NONE
I007,3,C3-A2,C3-A2,True,NONE
I007,4,O1-A2,O1-A2,True,NONE
I007,5,F4-A1,F4-A1,True,NONE
I007,6,C4-A1,C4-A1,True,NONE
I007,7,O2-A1,O2-A1,True,NONE
I007,8,X1,X1,True,NONE
I007,9,X2,X2,True,NONE
I007,10,X3,X3,True,NONE
I007,11,X4,X4,True,NONE
I007,12,X5,X5,True,NONE
I007,13,X6,X6,True,NONE
I007,14,DC3,DC3,True,NONE
I007,15,X7,X7,True,NONE
I007,16,X8,X8,True,NONE
I007,17,SaO2,SaO2,True,NONE
I007,18,DC8,DC8,True,NONE
I008,0,LOC-A2,LOC-A2,True,NONE
I008,1,ROC-A1,ROC-A1,True,NONE
I008,2,C3-A2,C3-A2,True,NONE
I008,3,O1-A2,O1-A2,True,NONE
I008,4,C4-A1,C4-A1,True,NONE
I008,5,O2-A1,O2-A1,True,NONE
I008,6,X1,X1,True,NONE
I008,7,X2,X2,True,NONE
I008,8,X3,X3,True,NONE
I008,9,X4,X4,True,NONE
I008,10,X5,X5,True,NONE
I008,11,X6,X6,True,NONE
I008,12,DC3,DC3,True,NONE
I008,13,X7,X7,True,NONE
I008,14,X8,X8,True,NONE
I008,15,SaO2,SaO2,True,NONE
I008,16,DC8,DC8,True,NONE
I008,17,DC4,DC4,True,NONE
I008,18,DC5,DC5,True,NONE
I008,19,DC6,DC6,True,NONE
I008,20,DC7,DC7,True,NONE
I009,0,LOC-A2,LOC-A2,True,NONE
I009,1,ROC-A1,ROC-A1,True,NONE
I009,2,F3-A2,F3-A2,True,NONE
I009,3,C3-A2,C3-A2,True,NONE
I009,4,O1-A2,O1-A2,True,NONE
I009,5,F4-A1,F4-A1,True,NONE
I009,6,C4-A1,C4-A1,True,NONE
I009,7,O2-A1,O2-A1,True,NONE
I009,8,X1,X1,True,NONE
I009,9,X2,X2,True,NONE
I009,10,X3,X3,True,NONE
I009,11,X4,X4,True,NONE
I009,12,X5,X5,True,NONE
I009,13,X6,X6,True,NONE
I009,14,DC3,DC3,True,NONE
I009,15,X7,X7,True,NONE
I009,16,X8,X8,True,NONE
I009,17,SaO2,SaO2,True,NONE
I009,18,DC8,DC8,True,NONE
I010,0,LOC-A2,LOC-A2,True,NONE
I010,1,ROC-A1,ROC-A1,True,NONE
I010,2,F3-A2,F3-A2,True,NONE
I010,3,C3-A2,C3-A2,True,NONE
I010,4,O1-A2,O1-A2,True,NONE
I010,5,F4-A1,F4-A1,True,NONE
I010,6,C4-A1,C4-A1,True,NONE
I010,7,O2-A1,O2-A1,True,NONE
I010,8,X1,X1,True,NONE
I010,9,X2,X2,True,NONE
I010,10,X3,X3,True,NONE
I010,11,X4,X4,True,NONE
I010,12,X5,X5,True,NONE
I010,13,X6,X6,True,NONE
I010,14,DC3,DC3,True,NONE
I010,15,X7,X7,True,NONE
I010,16,X8,X8,True,NONE
I010,17,SaO2,SaO2,True,NONE
I010,18,DC8,DC8,True,NONE
I011,0,E1-M2,E1-M2,True,NONE
I011,1,E2-M1,E2-M1,True,NONE
I011,2,F3-M2,F3-M2,True,NONE
I011,3,C3-M2,C3-M2,True,NONE
I011,4,O1-M2,O1-M2,True,NONE
I011,5,F4-M1,F4-M1,True,NONE
I011,6,C4-M1,C4-M1,True,NONE
I011,7,O2-M1,O2-M1,True,NONE
I011,8,X1,X1,True,NONE
I011,9,X2,X2,True,NONE
I011,10,X3,X3,True,NONE
I011,11,X4,X4,True,NONE
I011,12,X5,X5,True,NONE
I011,13,X6,X6,True,NONE
I011,14,DC4,DC4,True,NONE
I011,15,X7,X7,True,NONE
I011,16,X8,X8,True,NONE
I011,17,X7-X8,X7-X8,True,NONE
I011,18,SpO2,SpO2,True,NONE
I011,19,DC8,DC8,True,NONE
I011,20,DC1,DC1,True,NONE
I011,21,DC2,DC2,True,NONE
I011,22,DC3,DC3,True,NONE
I011,23,DC5,DC5,True,NONE
I012,0,LOC-A2,LOC-A2,True,NONE
I012,1,ROC-A1,ROC-A1,True,NONE
I012,2,F3-A2,F3-A2,True,NONE
I012,3,C3-A2,C3-A2,True,NONE
I012,4,O1-A2,O1-A2,True,NONE
I012,5,F4-A1,F4-A1,True,NONE
I012,6,C4-A1,C4-A1,True,NONE
I012,7,O2-A1,O2-A1,True,NONE
I012,8,X1,X1,True,NONE
I012,9,X2,X2,True,NONE
I012,10,X3,X3,True,NONE
I012,11,X4,X4,True,NONE
I012,12,X5,X5,True,NONE
I012,13,X6,X6,True,NONE
I012,14,DC3,DC3,True,NONE
I012,15,X7,X7,True,NONE
I012,16,X8,X8,True,NONE
I012,17,SaO2,SaO2,True,NONE
