subject_id,schema_fingerprint,signal_count,channel_labels,samples_per_record,physical_dimensions
I001,0edc8d54bb58163ab46c5cc194fd5d68a1c16e5327bf0d5728a0bc4e07960196,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|50|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I002,0edc8d54bb58163ab46c5cc194fd5d68a1c16e5327bf0d5728a0bc4e07960196,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|50|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I003,0edc8d54bb58163ab46c5cc194fd5d68a1c16e5327bf0d5728a0bc4e07960196,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|50|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I004,0edc8d54bb58163ab46c5cc194fd5d68a1c16e5327bf0d5728a0bc4e07960196,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|50|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I005,0edc8d54bb58163ab46c5cc194fd5d68a1c16e5327bf0d5728a0bc4e07960196,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|50|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I006,0edc8d54bb58163ab46c5cc194fd5d68a1c16e5327bf0d5728a0bc4e07960196,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|50|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I007,0edc8d54bb58163ab46c5cc194fd5d68a1c16e5327bf0d5728a0bc4e07960196,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|50|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I008,125cd7015b3438d528344c0b1c6c4650feaa307fa4629e634024b7ab8956f0ef,21,LOC-A2|ROC-A1|C3-A2|O1-A2|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8|DC4|DC5|DC6|DC7,400|400|400|400|400|400|400|400|400|400|200|25|25|25|25|25|25|25|25|25|25,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%||cm H2O|cm H2O||
I009,0edc8d54bb58163ab46c5cc194fd5d68a1c16e5327bf0d5728a0bc4e07960196,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|50|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I010,0edc8d54bb58163ab46c5cc194fd5d68a1c16e5327bf0d5728a0bc4e07960196,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|50|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I011,024a5d5800ec1d264ad5e752a4c4ec34014920203e70a2aace32a74b42ca03ba,24,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|X7-X8|SpO2|DC8|DC1|DC2|DC3|DC5,400|400|400|400|400|400|400|400|400|400|400|400|400|25|400|50|50|50|25|50|200|200|200|200,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV||%||uV|uV|uV|uV
