subject_id,official_folder,filename,role,provider,provider_identifier,local_path,bytes,sha256,acquisition_status,retry_count,acquisition_timestamp,failure_code
I001,1,1.rec,signal,ORIGINAL_ISRUC_MEGA,1,data\raw\isruc-original\subject-1\1\1.rec,143885120,4ff7c64f79131213e15107a4f53d40db0081ec2246142b67d2343b2b8dbbb42f,ACQUIRED,0,2026-09-02T20:21:53.164091+00:00,
I001,1,1_1.txt,scorer1_txt,ORIGINAL_ISRUC_MEGA,1,data\raw\isruc-original\subject-1\1\1_1.txt,2640,24793ceba5ee9845d6913a209ac423fd20e9e541f47f67356e89f19d26a4b085,ACQUIRED,0,2026-09-02T20:21:53.166083+00:00,
I001,1,1_1.xlsx,scorer1_xlsx,ORIGINAL_ISRUC_MEGA,1,data\raw\isruc-original\subject-1\1\1_1.xlsx,41524,8c665f5f8316c15edfbc5a7ca669e59cb537e185fb7747cdef04ad39e48c0c26,ACQUIRED,0,2026-09-02T20:21:53.168083+00:00,
I001,1,1_2.txt,scorer2_txt,ORIGINAL_ISRUC_MEGA,1,data\raw\isruc-original\subject-1\1\1_2.txt,2640,d3bb8ac5afd08664d8d1a28a04826076cb53afc8878f1e186620daec527831fe,ACQUIRED,0,2026-09-02T20:21:53.169091+00:00,
I001,1,1_2.xlsx,scorer2_xlsx,ORIGINAL_ISRUC_MEGA,1,data\raw\isruc-original\subject-1\1\1_2.xlsx,41012,ce34a7a0e1da1f53c0973fc8d80a3921de0ee12d7e7d6fe086af83211cfd5e31,ACQUIRED,0,2026-09-02T20:21:53.171079+00:00,
I002,2,2.rec,signal,ORIGINAL_ISRUC_MEGA,2,data\raw\isruc-original\subject-2\2\2.rec,157619120,adf2129c7a296a72d29a2b5f84955bfa4ad5b1913a9c741ebdbc261715ffd2b9,ACQUIRED,0,2026-09-02T20:21:55.497790+00:00,
I002,2,2_1.txt,scorer1_txt,ORIGINAL_ISRUC_MEGA,2,data\raw\isruc-original\subject-2\2\2_1.txt,2892,08ed23beb35bfc821b319ea5674298efde4e6f623f3dafdf1d98a7d9ec80c11d,ACQUIRED,0,2026-09-02T20:21:55.498791+00:00,
I002,2,2_1.xlsx,scorer1_xlsx,ORIGINAL_ISRUC_MEGA,2,data\raw\isruc-original\subject-2\2\2_1.xlsx,44233,23690b1f559c55482ef600d261f669e231d7da1f9b0d3b5f3573d2cea77b7460,ACQUIRED,0,2026-09-02T20:21:55.499800+00:00,
I002,2,2_2.txt,scorer2_txt,ORIGINAL_ISRUC_MEGA,2,data\raw\isruc-original\subject-2\2\2_2.txt,2892,75ae479ead1defc3a0e9c36820f347870921977163f16040fbc1c39f420ba1f3,ACQUIRED,0,2026-09-02T20:21:55.499800+00:00,
I002,2,2_2.xlsx,scorer2_xlsx,ORIGINAL_ISRUC_MEGA,2,data\raw\isruc-original\subject-2\2\2_2.xlsx,45069,1595feb21e20bc8f9da015006a6ae0c15b5f3994382b9edd308e2b947b56d8fa,ACQUIRED,0,2026-09-02T20:21:55.500794+00:00,
I003,3,3.rec,signal,ORIGINAL_ISRUC_MEGA,3,data\raw\isruc-original\subject-3\3\3.rec,154185620,92c2dc2efde9a811b4b5e458bc20f184493fc8af58077f509e1220407c1ddef7,ACQUIRED,0,2026-09-02T20:21:57.904633+00:00,
