subject_id,official_folder,bundle_status,failure_code,actual_files
I001,1,BUNDLE_COMPLETE,,1.rec|1_1.txt|1_1.xlsx|1_2.txt|1_2.xlsx
I002,2,BUNDLE_COMPLETE,,2.rec|2_1.txt|2_1.xlsx|2_2.txt|2_2.xlsx
I003,3,BUNDLE_COMPLETE,,3.rec|3_1.txt|3_1.xlsx|3_2.txt|3_2.xlsx
I004,4,BUNDLE_COMPLETE,,4.rec|4_1.txt|4_1.xlsx|4_2.txt|4_2.xlsx
I005,5,BUNDLE_COMPLETE,,5.rec|5_1.txt|5_1.xlsx|5_2.txt|5_2.xlsx
I006,6,BUNDLE_COMPLETE,,6.rec|6_1.txt|6_1.xlsx|6_2.txt|6_2.xlsx
I007,7,BUNDLE_COMPLETE,,7.rec|7_1.txt|7_1.xlsx|7_2.txt|7_2.xlsx
I008,8,BUNDLE_COMPLETE,,8.rec|8_1.txt|8_1.xlsx|8_2.txt|8_2.xlsx
I009,9,BUNDLE_COMPLETE,,9.rec|9_1.txt|9_1.xlsx|9_2.txt|9_2.xlsx
I010,10,BUNDLE_COMPLETE,,10.rec|10_1.txt|10_1.xlsx|10_2.txt|10_2.xlsx
I011,11,BUNDLE_COMPLETE,,11.rec|11_1.txt|11_1.xlsx|11_2.txt|11_2.xlsx
I012,12,BUNDLE_COMPLETE,,12.rec|12_1.txt|12_1.xlsx|12_2.txt|12_2.xlsx
I013,13,BUNDLE_COMPLETE,,13.rec|13_1.txt|13_1.xlsx|13_2.txt|13_2.xlsx
I014,14,BUNDLE_COMPLETE,,14.rec|14_1.txt|14_1.xlsx|14_2.txt|14_2.xlsx
I015,15,BUNDLE_COMPLETE,,15.rec|15_1.txt|15_1.xlsx|15_2.txt|15_2.xlsx
I016,16,BUNDLE_COMPLETE,,16.rec|16_1.txt|16_1.xlsx|16_2.txt|16_2.xlsx
I017,17,BUNDLE_COMPLETE,,17.rec|17_1.txt|17_1.xlsx|17_2.txt|17_2.xlsx
I018,18,BUNDLE_COMPLETE,,18.rec|18_1.txt|18_1.xlsx|18_2.txt|18_2.xlsx
I019,19,BUNDLE_COMPLETE,,19.rec|19_1.txt|19_1.xlsx|19_2.txt|19_2.xlsx
I020,20,BUNDLE_COMPLETE,,20.rec|20_1.txt|20_1.xlsx|20_2.txt|20_2.xlsx
I021,21,BUNDLE_COMPLETE,,21.rec|21_1.txt|21_1.xlsx|21_2.txt|21_2.xlsx
I022,22,BUNDLE_COMPLETE,,22.rec|22_1.txt|22_1.xlsx|22_2.txt|22_2.xlsx
I023,23,BUNDLE_COMPLETE,,23.rec|23_1.txt|23_1.xlsx|23_2.txt|23_2.xlsx
I024,24,BUNDLE_COMPLETE,,24.rec|24_1.txt|24_1.xlsx|24_2.txt|24_2.xlsx
I025,25,BUNDLE_COMPLETE,,25.rec|25_1.txt|25_1.xlsx|25_2.txt|25_2.xlsx
I026,26,BUNDLE_COMPLETE,,26.rec|26_1.txt|26_1.xlsx|26_2.txt|26_2.xlsx
I027,27,BUNDLE_COMPLETE,,27.rec|27_1.txt|27_1.xlsx|27_2.txt|27_2.xlsx
I028,28,BUNDLE_COMPLETE,,28.rec|28_1.txt|28_1.xlsx|28_2.txt|28_2.xlsx
I029,29,BUNDLE_COMPLETE,,29.rec|29_1.txt|29_1.xlsx|29_2.txt|29_2.xlsx
I030,30,BUNDLE_COMPLETE,,30.rec|30_1.txt|30_1.xlsx|30_2.txt|30_2.xlsx
I031,31,BUNDLE_COMPLETE,,31.rec|31_1.txt|31_1.xlsx|31_2.txt|31_2.xlsx
I032,32,BUNDLE_COMPLETE,,32.rec|32_1.txt|32_1.xlsx|32_2.txt|32_2.xlsx
I033,33,BUNDLE_COMPLETE,,33.rec|33_1.txt|33_1.xlsx|33_2.txt|33_2.xlsx
