subject_id,full_labels,signal_count,C3-A2_present,LOC-A2_present,C3-A2_index,LOC-A2_index,C3-A2_native_rate,LOC-A2_native_rate,C3-A2_physical_unit,LOC-A2_physical_unit
I001,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,19,True,True,3,0,200.0,200.0,uV,uV
I002,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,19,True,True,3,0,200.0,200.0,uV,uV
I003,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,19,True,True,3,0,200.0,200.0,uV,uV
I004,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,19,True,True,3,0,200.0,200.0,uV,uV
I005,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,19,True,True,3,0,200.0,200.0,uV,uV
I006,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,19,True,True,3,0,200.0,200.0,uV,uV
I007,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,19,True,True,3,0,200.0,200.0,uV,uV
I008,LOC-A2|ROC-A1|C3-A2|O1-A2|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8|DC4|DC5|DC6|DC7,21,True,True,2,0,200.0,200.0,uV,uV
I009,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,19,True,True,3,0,200.0,200.0,uV,uV
I010,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,19,True,True,3,0,200.0,200.0,uV,uV
I011,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|X7-X8|SpO2|DC8|DC1|DC2|DC3|DC5,24,False,False,,,,,,
I012,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,19,True,True,3,0,200.0,200.0,uV,uV
I013,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,19,False,False,,,,,,
I014,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,19,False,False,,,,,,
I015,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,19,True,True,3,0,200.0,200.0,uV,uV
I016,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,19,True,True,3,0,200.0,200.0,uV,uV
