subject_id,signal_count,ch01,ch02,ch03,ch04,ch05,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,exact_c3_a2,exact_loc_a2,ch20,ch21,ch22,ch23,ch24
I001,19,LOC-A2,ROC-A1,F3-A2,C3-A2,O1-A2,F4-A1,C4-A1,O2-A1,X1,X2,X3,X4,X5,X6,DC3,X7,X8,SaO2,DC8,True,True,,,,,
I002,19,LOC-A2,ROC-A1,F3-A2,C3-A2,O1-A2,F4-A1,C4-A1,O2-A1,X1,X2,X3,X4,X5,X6,DC3,X7,X8,SaO2,DC8,True,True,,,,,
I003,19,LOC-A2,ROC-A1,F3-A2,C3-A2,O1-A2,F4-A1,C4-A1,O2-A1,X1,X2,X3,X4,X5,X6,DC3,X7,X8,SaO2,DC8,True,True,,,,,
I004,19,LOC-A2,ROC-A1,F3-A2,C3-A2,O1-A2,F4-A1,C4-A1,O2-A1,X1,X2,X3,X4,X5,X6,DC3,X7,X8,SaO2,DC8,True,True,,,,,
I005,19,LOC-A2,ROC-A1,F3-A2,C3-A2,O1-A2,F4-A1,C4-A1,O2-A1,X1,X2,X3,X4,X5,X6,DC3,X7,X8,SaO2,DC8,True,True,,,,,
I006,19,LOC-A2,ROC-A1,F3-A2,C3-A2,O1-A2,F4-A1,C4-A1,O2-A1,X1,X2,X3,X4,X5,X6,DC3,X7,X8,SaO2,DC8,True,True,,,,,
I007,19,LOC-A2,ROC-A1,F3-A2,C3-A2,O1-A2,F4-A1,C4-A1,O2-A1,X1,X2,X3,X4,X5,X6,DC3,X7,X8,SaO2,DC8,True,True,,,,,
I008,21,LOC-A2,ROC-A1,C3-A2,O1-A2,C4-A1,O2-A1,X1,X2,X3,X4,X5,X6,DC3,X7,X8,SaO2,DC8,DC4,DC5,True,True,DC6,DC7,,,
I009,19,LOC-A2,ROC-A1,F3-A2,C3-A2,O1-A2,F4-A1,C4-A1,O2-A1,X1,X2,X3,X4,X5,X6,DC3,X7,X8,SaO2,DC8,True,True,,,,,
I010,19,LOC-A2,ROC-A1,F3-A2,C3-A2,O1-A2,F4-A1,C4-A1,O2-A1,X1,X2,X3,X4,X5,X6,DC3,X7,X8,SaO2,DC8,True,True,,,,,
I011,24,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,X1,X2,X3,X4,X5,X6,DC4,X7,X8,X7-X8,SpO2,False,False,DC8,DC1,DC2,DC3,DC5
I012,19,LOC-A2,ROC-A1,F3-A2,C3-A2,O1-A2,F4-A1,C4-A1,O2-A1,X1,X2,X3,X4,X5,X6,DC3,X7,X8,SaO2,DC8,True,True,,,,,
I013,19,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,X1,X2,X3,X4,X5,X6,DC4,X7,X8,SpO2,DC8,False,False,,,,,
I014,19,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,24,25,26,27,28,29,DC01,30,31,SpO2,DC02,False,False,,,,,
I015,19,LOC-A2,ROC-A1,F3-A2,C3-A2,O1-A2,F4-A1,C4-A1,O2-A1,X1,X2,X3,X4,X5,X6,DC3,X7,X8,SaO2,DC8,True,True,,,,,
I016,19,LOC-A2,ROC-A1,F3-A2,C3-A2,O1-A2,F4-A1,C4-A1,O2-A1,X1,X2,X3,X4,X5,X6,DC3,X7,X8,SaO2,DC8,True,True,,,,,
I017,19,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,24,25,26,27,28,29,DC01,30,31,SpO2,DC02,False,False,,,,,
I018,19,LOC-A2,ROC-A1,F3-A2,C3-A2,O1-A2,F4-A1,C4-A1,O2-A1,X1,X2,X3,X4,X5,X6,DC3,X7,X8,SaO2,DC8,True,True,,,,,
I019,19,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,X1,X2,X3,X4,X5,X6,DC4,X7,X8,SpO2,DC8,False,False,,,,,
I020,19,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,X1,X2,X3,X4,X5,X6,DC4,X7,X8,SpO2,DC8,False,False,,,,,
I021,19,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,X1,X2,X3,X4,X5,X6,DC4,X7,X8,SpO2,DC8,False,False,,,,,
I022,19,LOC-A2,ROC-A1,F3-A2,C3-A2,O1-A2,F4-A1,C4-A1,O2-A1,X1,X2,X3,X4,X5,X6,DC3,X7,X8,SaO2,DC8,True,True,,,,,
I023,19,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,24,25,26,27,28,29,DC01,30,31,SpO2,DC02,False,False,,,,,
I024,19,LOC-A2,ROC-A1,F3-A2,C3-A2,O1-A2,F4-A1,C4-A1,O2-A1,X1,X2,X3,X4,X5,X6,DC3,X7,X8,SaO2,DC8,True,True,,,,,
I025,19,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,24,25,26,27,28,29,DC01,30,31,SpO2,DC02,False,False,,,,,
I026,19,LOC-A2,ROC-A1,F3-A2,C3-A2,O1-A2,F4-A1,C4-A1,O2-A1,X1,X2,X3,X4,X5,X6,DC3,X7,X8,SaO2,DC8,True,True,,,,,
I027,19,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,X1,X2,X3,X4,X5,X6,DC4,X7,X8,SpO2,DC8,False,False,,,,,
I028,19,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,X1,X2,X3,X4,X5,X6,DC4,X7,X8,SpO2,DC8,False,False,,,,,
I029,19,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,X1,X2,X3,X4,X5,X6,DC4,X7,X8,SpO2,DC8,False,False,,,,,
I030,19,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,24,25,26,27,28,29,DC01,30,31,SpO2,DC02,False,False,,,,,
I031,19,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,24,25,26,27,28,29,DC01,30,31,SpO2,DC02,False,False,,,,,
I032,19,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,24,25,26,27,28,29,DC01,30,31,SpO2,DC02,False,False,,,,,
I033,19,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,24,25,26,27,28,29,DC01,30,31,SpO2,DC02,False,False,,,,,
I034,19,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,24,25,26,27,28,29,DC01,30,31,SpO2,DC02,False,False,,,,,
I035,19,E1-M2,E2-M1,F3-M2,C3-M2,O1-M2,F4-M1,C4-M1,O2-M1,X1,X2,X3,X4,X5,X6,DC4,X7,X8,SpO2,DC8,False,False,,,,,
