kind,sha256,subject_ids,duplicate
raw_rec_sha256,4ff7c64f79131213e15107a4f53d40db0081ec2246142b67d2343b2b8dbbb42f,I001,False
raw_rec_sha256,adf2129c7a296a72d29a2b5f84955bfa4ad5b1913a9c741ebdbc261715ffd2b9,I002,False
raw_rec_sha256,92c2dc2efde9a811b4b5e458bc20f184493fc8af58077f509e1220407c1ddef7,I003,False
raw_rec_sha256,bc0c2b2ae719464a8cafe7cf4ad70639d14951a69dd310b63c55592bb99bbfce,I004,False
raw_rec_sha256,8c666ae94531f0dfad5301f09a3be87a13af813209166a703240375ec6803b2d,I005,False
raw_rec_sha256,4540ab0c2329e7b0742470c80ee97b8c39a566fab49b0481f193f7fca3913cd6,I006,False
raw_rec_sha256,e4fc74997855b07be59e5512bc8fbb8c3d73ed6d80e9ad46a0c612c46d216065,I007,False
raw_rec_sha256,7d4744746d62b7ed4cb99e152a8256e5299b1eadaeda7bfe19238945650dcb25,I008,False
raw_rec_sha256,7ccad29d0d095ad8b981fe8270920e4e3b870913b449b7d0f367125be80b7211,I009,False
raw_rec_sha256,318e58a7cdf06667686274d7c0e7454b87790ef534cfe2b3363f048c1e71577d,I010,False
raw_rec_sha256,1e42dbbc8ba74d3801eb43ba1900b7e7b74fc936e058f5c0fe632863be768271,I012,False
raw_rec_sha256,75356fa21b0bf2e30c9c69bb6f8ab1d5d20bfeb514ae7991c539bbed1cc544a4,I015,False
raw_rec_sha256,c5f86eb258d3e7aff79f6afc0ac4aa7f06ee3eaff1055d38a10ddc6171b0f25a,I016,False
raw_rec_sha256,cc66ab5d9f5346eba114fcf91d0dd5f62a6b1632983ea81ad78ca958f05df353,I018,False
raw_rec_sha256,a237c3b257c4144fe34b9d927ca74ee87c22c32a8dc613fa228b2eb083982b5f,I022,False
raw_rec_sha256,8f2cb0f387ba8524b6cd20dd9f53496bc1850c707f13e0954f21c381efede4d6,I024,False
raw_rec_sha256,d71460c5370fbc5e1fde7d9cbbfff9683e6c6b19edcb18d03eabf80af9858395,I026,False
processed_output_sha256,2cdb23a87348a681a69c21abdfcf85ffe2d6467858df01d3e6bd66670035019e,I001,False
processed_output_sha256,364085850edb8b5e33e4849131dedb2969c0ab29ea8f373d2058e2f0df307a0d,I002,False
processed_output_sha256,e615231bb373f77ecba98a9b3f14cf6e1a3f4d9b2702258545cd95e7d012e872,I003,False
processed_output_sha256,6714664a4f9d30becd6227225dd7b99c33c11f5e10f6a564fa82bd108ee8df39,I004,False
processed_output_sha256,433c5373bf16a6a17218e468d90bedf6b4f39f88bcfc484a185af4c145322566,I005,False
processed_output_sha256,74a7ca99268279afca0f4ac39767195fbfe205ae33ba26e82539ae08c0a5ba8f,I006,False
processed_output_sha256,4719dc71f79bcf8bbb0f25cb3c613e1c0935379d70ab69f41a03dd170a26b5bb,I007,False
processed_output_sha256,00835b2ec5df2d4f85444f31f532506a96cd14712544c7943d0347749f28cbad,I008,False
processed_output_sha256,1c4f1010171a675231ebadf3a492d43c7d0cb518209881d59e9d8d105fcd8039,I009,False
processed_output_sha256,6345a81dbb4f417605378ca7b91557f0d3b29d29b2897d04e3151a1642c1f5ce,I010,False
processed_output_sha256,350de448d577d42ef652a26a7271c5cd377e5b16d45d39eb23b85f0ea26c33b7,I012,False
processed_output_sha256,c6a9fa144b95e65d2c8b91bad8101850a8d35c0a0fab1d2f2d13f2823ebfa41a,I015,False
processed_output_sha256,84f03ca367c63767db6574a379b87beba97b5b9d66eb9130ae023cdd70c110f7,I016,False
processed_output_sha256,5afba35468ea4dca76918cbbe0c53b5923504b3442f56a9696f3b9dff59b5d37,I018,False
processed_output_sha256,dba522bbb9ecf31db18e7e71b0cb5d08e0256cb605dc882fc8570de1aa5721d7,I022,False
processed_output_sha256,8aa6b22cad1d59a6b48e266241a2495d30dff92f3123d4bc2d6fe023522a08c7,I024,False
processed_output_sha256,7a7f8ad3deaeb8c2329f4a365cb91eb891761c0b8003f934fc2f853f029a2399,I026,False
