subject_id,official_folder_name,expected_signal_filename,expected_scorer1_txt,expected_scorer1_xlsx,expected_scorer2_txt,expected_scorer2_xlsx,expected
I001,1,1.rec,1_1.txt,1_1.xlsx,1_2.txt,1_2.xlsx,true
I002,2,2.rec,2_1.txt,2_1.xlsx,2_2.txt,2_2.xlsx,true
I003,3,3.rec,3_1.txt,3_1.xlsx,3_2.txt,3_2.xlsx,true
I004,4,4.rec,4_1.txt,4_1.xlsx,4_2.txt,4_2.xlsx,true
I005,5,5.rec,5_1.txt,5_1.xlsx,5_2.txt,5_2.xlsx,true
I006,6,6.rec,6_1.txt,6_1.xlsx,6_2.txt,6_2.xlsx,true
I007,7,7.rec,7_1.txt,7_1.xlsx,7_2.txt,7_2.xlsx,true
I008,8,8.rec,8_1.txt,8_1.xlsx,8_2.txt,8_2.xlsx,true
I009,9,9.rec,9_1.txt,9_1.xlsx,9_2.txt,9_2.xlsx,true
I010,10,10.rec,10_1.txt,10_1.xlsx,10_2.txt,10_2.xlsx,true
I011,11,11.rec,11_1.txt,11_1.xlsx,11_2.txt,11_2.xlsx,true
I012,12,12.rec,12_1.txt,12_1.xlsx,12_2.txt,12_2.xlsx,true
I013,13,13.rec,13_1.txt,13_1.xlsx,13_2.txt,13_2.xlsx,true
I014,14,14.rec,14_1.txt,14_1.xlsx,14_2.txt,14_2.xlsx,true
I015,15,15.rec,15_1.txt,15_1.xlsx,15_2.txt,15_2.xlsx,true
I016,16,16.rec,16_1.txt,16_1.xlsx,16_2.txt,16_2.xlsx,true
I017,17,17.rec,17_1.txt,17_1.xlsx,17_2.txt,17_2.xlsx,true
I018,18,18.rec,18_1.txt,18_1.xlsx,18_2.txt,18_2.xlsx,true
I019,19,19.rec,19_1.txt,19_1.xlsx,19_2.txt,19_2.xlsx,true
I020,20,20.rec,20_1.txt,20_1.xlsx,20_2.txt,20_2.xlsx,true
I021,21,21.rec,21_1.txt,21_1.xlsx,21_2.txt,21_2.xlsx,true
I022,22,22.rec,22_1.txt,22_1.xlsx,22_2.txt,22_2.xlsx,true
I023,23,23.rec,23_1.txt,23_1.xlsx,23_2.txt,23_2.xlsx,true
I024,24,24.rec,24_1.txt,24_1.xlsx,24_2.txt,24_2.xlsx,true
I025,25,25.rec,25_1.txt,25_1.xlsx,25_2.txt,25_2.xlsx,true
I026,26,26.rec,26_1.txt,26_1.xlsx,26_2.txt,26_2.xlsx,true
I027,27,27.rec,27_1.txt,27_1.xlsx,27_2.txt,27_2.xlsx,true
