comparison_scope,subject_1_original_vs_nemar
original_source_url,https://mega.nz/folder/QJgDQDDZ#ZMDj3w82msavACurqP48IA
original_local_path,C:\Users\rohan\ShiftSleep-UQ\data\raw\isruc-original\subject-1\1\1.rec
original_bytes,143885120
original_sha256,4ff7c64f79131213e15107a4f53d40db0081ec2246142b67d2343b2b8dbbb42f
original_declared_bytes,143885120
original_body_delta,0
original_signal_count,19
original_data_records,13200
original_record_duration_s,2.0
original_required_eeg,C3-A2
original_required_eeg_present,TRUE
original_required_eog,LOC-A2
original_required_eog_present,TRUE
original_scorer_1_text_bytes,2640
original_scorer_2_text_bytes,2640
original_scorer_1_epochs,880
original_scorer_2_epochs,880
original_scorer_1_xlsx_bytes,41524
original_scorer_2_xlsx_bytes,41012
original_xlsx_integrity,PASS
nemar_source_url,https://data.nemar.org/nm000111/v1.0.1/sub-I001/eeg/sub-I001_task-sleep_eeg.edf
nemar_manifest_bytes,91778304
nemar_manifest_sha256,900755de373ff9045c9ad758236c6f304dd3bb8f39dbbade55b56b6be454968f
nemar_edf_declared_bytes,143885120
nemar_body_delta,-52106816
nemar_checksum_status,MATCH
nemar_header_valid,PASS
nemar_body_valid,FAIL
nemar_terminal_status,EXCLUDED_PROVIDER_INTEGRITY
bounded_nemar_range_probe,HTTP 206 bytes 0-5119/91778304 observed; later retry received HTTP 403 because recorded signed URL had expired
scientific_conclusion,ORIGINAL_COMPLETE_NEMAR_PROVIDER_OBJECT_TRUNCATED
