subject_id,signal_acquired,actual_bytes,expected_bytes,byte_delta,sha256,header_valid,body_valid,scorer1_available,scorer2_available,terminal_provider_status,failure_code
I001,True,143885120,143885120,0,4ff7c64f79131213e15107a4f53d40db0081ec2246142b67d2343b2b8dbbb42f,True,True,True,True,ORIGINAL_BODY_VALID,
I002,True,157619120,157619120,0,adf2129c7a296a72d29a2b5f84955bfa4ad5b1913a9c741ebdbc261715ffd2b9,True,True,True,True,ORIGINAL_BODY_VALID,
I003,True,154185620,154185620,0,92c2dc2efde9a811b4b5e458bc20f184493fc8af58077f509e1220407c1ddef7,True,True,True,True,ORIGINAL_BODY_VALID,
I004,True,157455620,157455620,0,bc0c2b2ae719464a8cafe7cf4ad70639d14951a69dd310b63c55592bb99bbfce,True,True,True,True,ORIGINAL_BODY_VALID,
I005,True,143067620,143067620,0,8c666ae94531f0dfad5301f09a3be87a13af813209166a703240375ec6803b2d,True,True,True,True,ORIGINAL_BODY_VALID,
I006,True,146664620,146664620,0,4540ab0c2329e7b0742470c80ee97b8c39a566fab49b0481f193f7fca3913cd6,True,True,True,True,ORIGINAL_BODY_VALID,
I007,True,152550620,152550620,0,e4fc74997855b07be59e5512bc8fbb8c3d73ed6d80e9ad46a0c612c46d216065,True,True,True,True,ORIGINAL_BODY_VALID,
I008,True,120689632,120689632,0,7d4744746d62b7ed4cb99e152a8256e5299b1eadaeda7bfe19238945650dcb25,True,True,True,True,ORIGINAL_BODY_VALID,
I009,True,158436620,158436620,0,7ccad29d0d095ad8b981fe8270920e4e3b870913b449b7d0f367125be80b7211,True,True,True,True,ORIGINAL_BODY_VALID,
I010,True,137672120,137672120,0,318e58a7cdf06667686274d7c0e7454b87790ef534cfe2b3363f048c1e71577d,True,True,True,True,ORIGINAL_BODY_VALID,
I011,True,198907900,198907900,0,ea67c90484c6411c0d265bf82571c926d0ddbf945a50ce4770bd64c045a045ff,True,True,True,True,ORIGINAL_BODY_VALID,
I012,True,138980120,138980120,0,1e42dbbc8ba74d3801eb43ba1900b7e7b74fc936e058f5c0fe632863be768271,True,True,True,True,ORIGINAL_BODY_VALID,
I013,True,144212120,144212120,0,40169513f0e143fb7d0be143b4f219145365896ed9a90bcc9788ac010b441beb,True,True,True,True,ORIGINAL_BODY_VALID,
I014,True,146777120,146777120,0,4d311808c2b890416bf41bad521d14745786f375c248100a945a6614772f54af,True,True,True,True,ORIGINAL_BODY_VALID,
I015,True,128516120,128516120,0,75356fa21b0bf2e30c9c69bb6f8ab1d5d20bfeb514ae7991c539bbed1cc544a4,True,True,True,True,ORIGINAL_BODY_VALID,
I016,True,144375620,144375620,0,c5f86eb258d3e7aff79f6afc0ac4aa7f06ee3eaff1055d38a10ddc6171b0f25a,True,True,True,True,ORIGINAL_BODY_VALID,
I017,True,137867120,137867120,0,4dbed311222c4756e865d17973aa4be584a2c4ea2db9a9c872cd9237e8cd226f,True,True,True,True,ORIGINAL_BODY_VALID,
I018,True,163341620,163341620,0,cc66ab5d9f5346eba114fcf91d0dd5f62a6b1632983ea81ad78ca958f05df353,True,True,True,True,ORIGINAL_BODY_VALID,
I019,True,144077120,144077120,0,b84756a3391a806816a7b59d9716ed6093f3936eafde36e8ecb5a21797f3f70b,True,True,True,True,ORIGINAL_BODY_VALID,
I020,True,165305120,165305120,0,e91bf76f8965b94f3b1b8c984c0f04d788ad208fb4820170749a27ccbac713cd,True,True,True,True,ORIGINAL_BODY_VALID,
I021,True,183401120,183401120,0,bede07f49369c6321d873c1e0a28a2e6debb6e85fe24666d3aa2fd952c7277d0,True,True,True,True,ORIGINAL_BODY_VALID,
I022,True,138816620,138816620,0,a237c3b257c4144fe34b9d927ca74ee87c22c32a8dc613fa228b2eb083982b5f,True,True,True,True,ORIGINAL_BODY_VALID,
I023,True,144509120,144509120,0,b0c159e2705d9c46aca359083535a4ecaa404584a078561ecaca71607909a742,True,True,True,True,ORIGINAL_BODY_VALID,
I024,True,135710120,135710120,0,8f2cb0f387ba8524b6cd20dd9f53496bc1850c707f13e0954f21c381efede4d6,True,True,True,True,ORIGINAL_BODY_VALID,
I025,True,149207120,149207120,0,2c3c8030294282a7c35cf1c08cb7f7d4648840a6515e0255fd81215a6b7ac6e6,True,True,True,True,ORIGINAL_BODY_VALID,
I026,True,173642120,173642120,0,d71460c5370fbc5e1fde7d9cbbfff9683e6c6b19edcb18d03eabf80af9858395,True,True,True,True,ORIGINAL_BODY_VALID,
I027,True,149409620,149409620,0,388c46d6783e3d33bc8c3c26fd48720de4c2990a3fcab3f3033ed5821672432b,True,True,True,True,ORIGINAL_BODY_VALID,
I028,True,153473120,153473120,0,4476881fcddf50a82c85b3a830c9c16087f6dd43cc28aea755394660d5242158,True,True,True,True,ORIGINAL_BODY_VALID,
I029,True,148433120,148433120,0,9de01a2bca04fba5f09fe85520e7827f5a5c3703ecc6857eb63379c3cf7fe4e6,True,True,True,True,ORIGINAL_BODY_VALID,
I030,True,142889120,142889120,0,9a62a6fafe27900e6c9f1e900e6ab7f60faecd7fe09f80fe22c604ed499a6b1f,True,True,True,True,ORIGINAL_BODY_VALID,
I031,True,142079120,142079120,0,bd99f1d24e1853a7b905d1989b5b125a5f74c45cdbba0758c5afc55f97037b13,True,True,True,True,ORIGINAL_BODY_VALID,
I032,True,163625120,163625120,0,6df908720d3ed03c8310a839c1ca62847de14d55fca96852906e9937894782f0,True,True,True,True,ORIGINAL_BODY_VALID,
I033,True,149045120,149045120,0,38b9336a592bb057c87ecdd3c79432b7ae241dc0259db41158b49fa840eed3bc,True,True,True,True,ORIGINAL_BODY_VALID,
