subject_id,label,count,total,proportion
I001,Wake,264,880,0.3
I001,N1,73,880,0.08295454545454546
I001,N2,194,880,0.22045454545454546
I001,N3,231,880,0.2625
I001,REM,118,880,0.1340909090909091
I002,Wake,245,964,0.254149377593361
I002,N1,115,964,0.11929460580912864
I002,N2,345,964,0.3578838174273859
I002,N3,157,964,0.1628630705394191
I002,REM,102,964,0.10580912863070539
I003,Wake,132,943,0.13997879109225875
I003,N1,165,943,0.17497348886532343
I003,N2,246,943,0.2608695652173913
I003,N3,173,943,0.18345705196182396
I003,REM,227,943,0.24072110286320256
I004,Wake,28,963,0.029075804776739357
I004,N1,65,963,0.06749740394600208
I004,N2,426,963,0.4423676012461059
I004,N3,214,963,0.2222222222222222
I004,REM,230,963,0.23883696780893043
I005,Wake,296,875,0.3382857142857143
I005,N1,108,875,0.12342857142857143
I005,N2,265,875,0.3028571428571429
I005,N3,164,875,0.18742857142857142
I005,REM,42,875,0.048
I006,Wake,722,897,0.8049052396878483
I006,N1,16,897,0.017837235228539576
I006,N2,60,897,0.06688963210702341
I006,N3,99,897,0.11036789297658862
I006,REM,0,897,0.0
I007,Wake,134,933,0.14362272240085744
I007,N1,171,933,0.1832797427652733
I007,N2,205,933,0.21972132904608788
I007,N3,234,933,0.2508038585209003
I007,REM,189,933,0.20257234726688103
I008,Wake,221,904,0.24446902654867256
I008,N1,126,904,0.13938053097345132
I008,N2,281,904,0.3108407079646018
I008,N3,214,904,0.23672566371681417
I008,REM,62,904,0.06858407079646017
I009,Wake,150,969,0.15479876160990713
I009,N1,173,969,0.1785345717234262
I009,N2,341,969,0.35190918472652216
I009,N3,159,969,0.16408668730650156
I009,REM,146,969,0.15067079463364294
I010,Wake,320,842,0.38004750593824227
I010,N1,90,842,0.10688836104513064
I010,N2,308,842,0.3657957244655582
I010,N3,96,842,0.11401425178147269
I010,REM,28,842,0.0332541567695962
I012,Wake,167,850,0.19647058823529412
I012,N1,79,850,0.09294117647058824
I012,N2,149,850,0.17529411764705882
I012,N3,334,850,0.39294117647058824
I012,REM,121,850,0.1423529411764706
I015,Wake,193,786,0.2455470737913486
I015,N1,85,786,0.10814249363867684
I015,N2,158,786,0.2010178117048346
I015,N3,181,786,0.23027989821882952
I015,REM,169,786,0.21501272264631044
I016,Wake,157,883,0.17780294450736125
I016,N1,154,883,0.17440543601359004
I016,N2,329,883,0.3725934314835787
I016,N3,120,883,0.13590033975084936
I016,REM,123,883,0.1392978482446206
I018,Wake,136,999,0.13613613613613615
I018,N1,108,999,0.10810810810810811
I018,N2,438,999,0.43843843843843844
I018,N3,154,999,0.15415415415415415
I018,REM,163,999,0.16316316316316315
I022,Wake,306,849,0.36042402826855124
I022,N1,67,849,0.07891637220259129
I022,N2,301,849,0.3545347467608952
I022,N3,107,849,0.12603062426383982
I022,REM,68,849,0.0800942285041225
I024,Wake,200,830,0.24096385542168675
I024,N1,85,830,0.10240963855421686
I024,N2,244,830,0.29397590361445786
I024,N3,134,830,0.1614457831325301
I024,REM,167,830,0.20120481927710843
I026,Wake,303,1062,0.2853107344632768
I026,N1,215,1062,0.2024482109227872
I026,N2,208,1062,0.1958568738229755
I026,N3,165,1062,0.1553672316384181
I026,REM,171,1062,0.16101694915254236
ALL_INCLUDED,Wake,3974,15429,0.25756691943742305
ALL_INCLUDED,N1,1895,15429,0.12282066238900771
ALL_INCLUDED,N2,4498,15429,0.2915289390109534
ALL_INCLUDED,N3,2936,15429,0.19029101043489532
ALL_INCLUDED,REM,2126,15429,0.13779246872772052
