dataset,subject_id,oracle_role,montage_variant,oracle_split_seed,cohort_version,data_contract_version,preprocessing_version
isruc_s1,I001,ORACLE_CALIBRATION,ISRUC_A1A2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I002,ORACLE_EVALUATION,ISRUC_A1A2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I003,ORACLE_EVALUATION,ISRUC_A1A2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I004,ORACLE_EVALUATION,ISRUC_A1A2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I005,ORACLE_EVALUATION,ISRUC_A1A2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I006,ORACLE_EVALUATION,ISRUC_A1A2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I007,ORACLE_EVALUATION,ISRUC_A1A2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I008,ORACLE_EVALUATION,ISRUC_A1A2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I009,ORACLE_EVALUATION,ISRUC_A1A2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I010,ORACLE_CALIBRATION,ISRUC_A1A2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I011,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I012,ORACLE_EVALUATION,ISRUC_A1A2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I013,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I014,ORACLE_CALIBRATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I015,ORACLE_EVALUATION,ISRUC_A1A2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I016,ORACLE_EVALUATION,ISRUC_A1A2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I017,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I018,ORACLE_EVALUATION,ISRUC_A1A2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I019,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I020,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I021,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I022,ORACLE_EVALUATION,ISRUC_A1A2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I023,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I024,ORACLE_CALIBRATION,ISRUC_A1A2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I025,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I026,ORACLE_EVALUATION,ISRUC_A1A2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I027,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I028,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I029,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I030,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I031,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I032,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I033,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I034,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I035,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I036,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I037,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I038,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I039,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I041,ORACLE_CALIBRATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I042,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I043,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I044,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I045,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I046,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I047,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I048,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I049,ORACLE_CALIBRATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I050,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I051,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I052,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I053,ORACLE_CALIBRATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I054,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I055,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I056,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I057,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I058,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I059,ORACLE_CALIBRATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I060,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I061,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I062,ORACLE_CALIBRATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I063,ORACLE_CALIBRATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I064,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I065,ORACLE_CALIBRATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I066,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I067,ORACLE_CALIBRATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I068,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I069,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I070,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I071,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I072,ORACLE_CALIBRATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I073,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I074,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I075,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I076,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I077,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I078,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I079,ORACLE_CALIBRATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I080,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I081,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I082,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I083,ORACLE_CALIBRATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I084,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I085,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I086,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I087,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I088,ORACLE_CALIBRATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I089,ORACLE_CALIBRATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I090,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I091,ORACLE_CALIBRATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I092,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I093,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I094,ORACLE_CALIBRATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I095,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I096,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
isruc_s1,I097,ORACLE_EVALUATION,ISRUC_M1M2,2027,isruc_original_v3,1.2.0,0.1.0
