direction,condition,macro_F1,NLL,Brier,ERROR_AUROC,ERROR_AUPRC,AURC,coverage_alpha_0.10,abs_gap_alpha_0.10,mean_set_size_alpha_0.10
D1_SLEEPEDF_TO_ISRUC,C0,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,0.217100,0.116680,0.941503,0.513267,0.008727,0.999578,-0.099578,2.880201
D1_SLEEPEDF_TO_ISRUC,C1,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,0.285673,0.147876,0.933630,0.555727,0.013341,0.998542,-0.098542,3.777620
D1_SLEEPEDF_TO_ISRUC,C2,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,0.670508,0.356380,0.821334,0.544962,0.092689,0.993416,-0.093416,4.000000
D1_SLEEPEDF_TO_ISRUC,C3,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,1.001996,0.486777,0.727681,0.544111,0.187996,0.979853,-0.079853,3.988505
D1_SLEEPEDF_TO_ISRUC,C4,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,1.055852,0.543830,0.697928,0.581713,0.257754,0.978588,-0.078588,3.999966
D1_SLEEPEDF_TO_ISRUC,C5,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,1.587294,0.809347,0.559897,0.699027,0.603092,0.938105,-0.038105,4.000000
D2_ISRUC_TO_SLEEPEDF,C0,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,0.623809,0.336011,0.807277,0.519866,0.087661,0.965614,-0.065614,2.531602
D2_ISRUC_TO_SLEEPEDF,C1,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,0.798375,0.420700,0.783951,0.571031,0.133577,0.985284,-0.085284,3.246266
D2_ISRUC_TO_SLEEPEDF,C2,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,1.171167,0.611621,0.684221,0.629023,0.326439,0.969858,-0.069858,3.809335
D2_ISRUC_TO_SLEEPEDF,C3,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,1.007769,0.457813,0.751719,0.548376,0.160848,0.891155,0.008845,2.526658
D2_ISRUC_TO_SLEEPEDF,C4,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,1.496221,0.657987,0.715945,0.661875,0.318772,0.875758,0.024242,3.395233
D2_ISRUC_TO_SLEEPEDF,C5,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,1.185907,0.671008,0.596485,0.613813,0.453596,0.919532,-0.019532,3.381699
