experiment_id,condition,metric,b0_point,b1_point,delta_b1_minus_b0,ci95_low,ci95_high,probability_variant,bootstrap_replicates
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,0.7439463706220779,0.7549223274969569,0.010975956874878956,-0.0002261338651635358,0.014143252367065573,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C0,NLL,0.21726757397285865,0.2179036243349625,0.000636050362103846,-0.0032647310836494115,0.005019093527102909,SOURCE_TEMPERATURE_SCALED,2000
D1_SLEEPEDF_TO_ISRUC,C0,Brier,0.11674694416820632,0.11788157547044135,0.0011346313022350396,-0.0012773935343314926,0.0037033849282306327,SOURCE_TEMPERATURE_SCALED,2000
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,0.9411477684152634,0.9412169976479526,6.922923268926073e-05,-0.0020572156089159826,0.001710537686470797,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,0.5118865103371485,0.5231805442002128,0.011294033863064268,-0.005217462384758488,0.019425090528270367,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C0,AURC,0.00883829052895782,0.008900741690087787,6.245116112996683e-05,-0.00021374022245446432,0.0005674928565826323,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C0,coverage_0.1,0.999578411221148,0.9993925298528187,-0.00018588136832931035,-0.00034898814611482033,-4.2724087840673164e-05,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C0,gap_0.1,-0.09957841122114804,-0.09939252985281866,0.00018588136832937974,4.272408784074255e-05,0.0003489881461148616,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C0,coverage_0.05,0.9995842525142732,0.9995024530223087,-8.179949196451819e-05,-0.00020400229476549847,3.4552594186587625e-05,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C0,gap_0.05,-0.04958425251427322,-0.04950245302230871,8.179949196450431e-05,-3.455259418652084e-05,0.00020400229476564728,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C1,macro-F1,0.658328202886741,0.6979277631126571,0.03959956022591615,0.025539702095539938,0.045142992925330035,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C1,NLL,0.28567348260968495,0.2634846737452594,-0.022188808864425535,-0.029626564922173644,-0.015075402331030987,SOURCE_TEMPERATURE_SCALED,2000
D1_SLEEPEDF_TO_ISRUC,C1,Brier,0.14784358683469384,0.1396414990280412,-0.00820208780665263,-0.011353728840989253,-0.0048345595741637985,SOURCE_TEMPERATURE_SCALED,2000
D1_SLEEPEDF_TO_ISRUC,C1,ERROR_AUROC,0.9331882185539667,0.9315283402268126,-0.0016598783271540851,-0.007712663918811441,0.004697240037280474,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C1,ERROR_AUPRC,0.5540524480716574,0.5264969654172257,-0.02755548265443175,-0.05831800630402482,0.0008951574755028465,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C1,AURC,0.013467065889754304,0.012525157759383265,-0.0009419081303710386,-0.0015869247745810692,-4.3859851690120286e-05,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C1,coverage_0.1,0.9985273994053304,0.9992016106637044,0.000674211258373969,6.607794704829863e-05,0.001666908706545905,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C1,gap_0.1,-0.09852739940533053,-0.09920161066370448,-0.0006742112583739412,-0.0016669087065458647,-6.607794704829588e-05,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C1,coverage_0.05,0.9985273994053304,0.9992073960936777,0.0006799966883472841,6.688892070621233e-05,0.0016754148316113324,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C1,gap_0.05,-0.048527399405330615,-0.04920739609367771,-0.0006799966883470968,-0.0016754148316112574,-6.688892070631874e-05,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C2,macro-F1,0.4663614043130864,0.6473552496424083,0.1809938453293219,0.14501012202340238,0.20735865704996048,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C2,NLL,0.672213635238746,0.3401217211419925,-0.3320919140967535,-0.42998623766050326,-0.24075400510920675,SOURCE_TEMPERATURE_SCALED,2000
D1_SLEEPEDF_TO_ISRUC,C2,Brier,0.3572945762736253,0.1765306248667912,-0.18076395140683413,-0.23509450198662046,-0.12882115347888523,SOURCE_TEMPERATURE_SCALED,2000
D1_SLEEPEDF_TO_ISRUC,C2,ERROR_AUROC,0.8159577548316774,0.9140757451969206,0.09811799036524316,0.07068576522302905,0.12619502704399496,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C2,ERROR_AUPRC,0.529976334280391,0.5311161284751664,0.0011397941947753898,-0.04711691738691214,0.04871755485269574,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C2,AURC,0.09591255290397788,0.01984779195623861,-0.07606476094773927,-0.11810090368155404,-0.0425376698558117,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C2,coverage_0.1,0.9933847779003538,0.9976511154308988,0.00426633753054495,0.002384083912327681,0.006114626850252917,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C2,gap_0.1,-0.09338477790035381,-0.09765111543089881,-0.004266337530545006,-0.006114626850253027,-0.0023840839123278283,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C2,coverage_0.05,0.9933847779003538,0.9976511154308988,0.00426633753054495,0.002384083912327681,0.006114626850252917,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C2,gap_0.05,-0.04338477790035387,-0.04765111543089887,-0.004266337530545006,-0.006114626850253026,-0.0023840839123278213,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C3,macro-F1,0.5946698287240717,0.6127209839207023,0.018051155196630586,0.011439737171622852,0.024298038013239053,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C3,NLL,1.001556766640964,0.9134040911190454,-0.08815267552191852,-0.11635614974633994,-0.06177353116067641,SOURCE_TEMPERATURE_SCALED,2000
D1_SLEEPEDF_TO_ISRUC,C3,Brier,0.4865923595348629,0.46264751471409693,-0.023944844820765976,-0.03135860887211809,-0.01696532119330307,SOURCE_TEMPERATURE_SCALED,2000
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUROC,0.726655179546814,0.7454008875438394,0.01874570799702535,0.01236581752143027,0.025076767388229126,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUPRC,0.5405641101781566,0.5527869282903785,0.012222818112221812,0.003224719470770282,0.021073896733630894,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C3,AURC,0.18814948639005502,0.17092781601599571,-0.017221670374059306,-0.022775717074374573,-0.011780666109062081,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C3,coverage_0.1,0.979879870634393,0.9836864027230384,0.0038065320886454534,0.0018945647279719092,0.006002777240016518,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C3,gap_0.1,-0.07987987063439306,-0.08368640272303833,-0.003806532088645273,-0.006002777240016516,-0.0018945647279717758,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C3,coverage_0.05,0.979879870634393,0.9841491998089095,0.004269329174516501,0.002306385719405843,0.006495210398335397,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C3,gap_0.05,-0.029879870634393128,-0.034149199808909625,-0.004269329174516497,-0.006495210398335435,-0.0023063857194056646,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C4,macro-F1,0.506284390139537,0.5430113747134614,0.036726984573924426,0.031410503939488355,0.04214707415828722,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C4,NLL,1.0554644746496,1.0282266255823884,-0.027237849067211606,-0.03940266709354621,-0.01576451033987052,SOURCE_TEMPERATURE_SCALED,2000
D1_SLEEPEDF_TO_ISRUC,C4,Brier,0.5436002399043489,0.5240507022247133,-0.01954953767963563,-0.024483472522459263,-0.015399994350999976,SOURCE_TEMPERATURE_SCALED,2000
D1_SLEEPEDF_TO_ISRUC,C4,ERROR_AUROC,0.6980018678482707,0.7212887546194698,0.023286886771199167,0.018009736373725195,0.028538224631128196,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C4,ERROR_AUPRC,0.580664891228336,0.5863720499631265,0.005707158734790552,-0.0036159837259313377,0.014632010875018031,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C4,AURC,0.25698022230772005,0.22728119294083457,-0.029699029366885482,-0.03492147904860734,-0.02452239344541245,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C4,coverage_0.1,0.9786079308860774,0.9762629881762809,-0.0023449427097965714,-0.0042181302723647675,-0.00040075610160372765,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C4,gap_0.1,-0.07860793088607744,-0.0762629881762809,0.0023449427097965436,0.00040075610160372375,0.004218130272364768,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C4,coverage_0.05,0.9786079308860774,0.9762816493490982,-0.0023262815369792245,-0.004201590048475881,-0.00038110131749177393,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C4,gap_0.05,-0.028607930886077507,-0.02628164934909834,0.0023262815369791655,0.00038110131749177214,0.004201590048475915,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C5,macro-F1,0.2892359840367654,0.4751071661103973,0.1858711820736319,0.16785946159372084,0.2029565738163169,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C5,NLL,1.586957576017577,1.2009525584453185,-0.38600501757225847,-0.45604276850115333,-0.3153344365050995,SOURCE_TEMPERATURE_SCALED,2000
D1_SLEEPEDF_TO_ISRUC,C5,Brier,0.8091867530299053,0.6020224766607662,-0.20716427636913903,-0.23799845663984484,-0.1761817343269302,SOURCE_TEMPERATURE_SCALED,2000
D1_SLEEPEDF_TO_ISRUC,C5,ERROR_AUROC,0.5610294089048806,0.6764117077799984,0.11538229887511775,0.09247808946749421,0.13806632850809147,UNCALIBRATED,2000
