experiment_id,condition,true_class,predicted_class,b0_row_normalized,b1_row_normalized,b1_minus_b0
D1_SLEEPEDF_TO_ISRUC,C0,0,0,0.984560901860251,0.9826217708538749,-0.0019391310063761047
D1_SLEEPEDF_TO_ISRUC,C0,0,1,0.010500887398935121,0.012793334647998422,0.0022924472490633008
D1_SLEEPEDF_TO_ISRUC,C0,0,2,0.0016022480773023073,0.0014954315388154866,-0.0001068165384868207
D1_SLEEPEDF_TO_ISRUC,C0,0,3,0.0009202655623479918,0.0007312824557943864,-0.00018898310655360545
D1_SLEEPEDF_TO_ISRUC,C0,0,4,0.0024156971011634787,0.0023581805035167293,-5.751659764674944e-05
D1_SLEEPEDF_TO_ISRUC,C0,1,0,0.15469146238377007,0.14018033248802478,-0.014511129895745295
D1_SLEEPEDF_TO_ISRUC,C0,1,1,0.4501267962806424,0.5225415610030995,0.07241476472245706
D1_SLEEPEDF_TO_ISRUC,C0,1,2,0.2781065088757396,0.23316427162581008,-0.044942237249929545
D1_SLEEPEDF_TO_ISRUC,C0,1,3,0.0036630036630036626,0.0038038884192730348,0.0001408847562693722
D1_SLEEPEDF_TO_ISRUC,C0,1,4,0.11341222879684416,0.10030994646379261,-0.013102282333051551
D1_SLEEPEDF_TO_ISRUC,C0,2,0,0.013075965130759653,0.00989345509893455,-0.003182510031825103
D1_SLEEPEDF_TO_ISRUC,C0,2,1,0.07890549328905493,0.1012868410128684,0.022381347723813477
D1_SLEEPEDF_TO_ISRUC,C0,2,2,0.8485886259858862,0.8148263456482635,-0.03376228033762274
D1_SLEEPEDF_TO_ISRUC,C0,2,3,0.032759097827590976,0.039781375397813755,0.007022277570222779
D1_SLEEPEDF_TO_ISRUC,C0,2,4,0.02667081776670818,0.03421198284211983,0.007541165075411648
D1_SLEEPEDF_TO_ISRUC,C0,3,0,0.0037921880925293893,0.0011376564277588168,-0.0026545316647705727
D1_SLEEPEDF_TO_ISRUC,C0,3,1,0.0007584376185058779,0.0036025786879029203,0.0028441410693970425
D1_SLEEPEDF_TO_ISRUC,C0,3,2,0.3043230944254835,0.285551763367463,-0.01877133105802048
D1_SLEEPEDF_TO_ISRUC,C0,3,3,0.6909366704588548,0.7089495638983694,0.01801289343951462
D1_SLEEPEDF_TO_ISRUC,C0,3,4,0.00018960940462646946,0.0007584376185058779,0.0005688282138794084
