dataset,subject_id,recording_id,provider_url,http_status,provider_content_length,local_bytes,edf_declared_bytes,byte_delta,checksum_status,header_valid,body_valid,terminal_status,failure_code
isruc_s1,I001,I001,https://data.nemar.org/nm000111/v1.0.1/sub-I001/eeg/sub-I001_task-sleep_eeg.edf,EXISTING_VALID,91778304,91778304,143885120,-52106816,MATCH,PASS,FAIL,EXCLUDED_PROVIDER_INTEGRITY,EDF_DECLARED_BYTE_MISMATCH
isruc_s1,I002,I002,https://data.nemar.org/nm000111/v1.0.1/sub-I002/eeg/sub-I002_task-sleep_eeg.edf,EXISTING_VALID,58458112,58458112,157619120,-99161008,MATCH,PASS,FAIL,EXCLUDED_PROVIDER_INTEGRITY,EDF_DECLARED_BYTE_MISMATCH
isruc_s1,I003,I003,https://data.nemar.org/nm000111/v1.0.1/sub-I003/eeg/sub-I003_task-sleep_eeg.edf,EXISTING_VALID,154185620,154185620,154185620,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I004,I004,https://data.nemar.org/nm000111/v1.0.1/sub-I004/eeg/sub-I004_task-sleep_eeg.edf,EXISTING_VALID,157455620,157455620,157455620,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I005,I005,https://data.nemar.org/nm000111/v1.0.1/sub-I005/eeg/sub-I005_task-sleep_eeg.edf,EXISTING_VALID,143067620,143067620,143067620,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I006,I006,https://data.nemar.org/nm000111/v1.0.1/sub-I006/eeg/sub-I006_task-sleep_eeg.edf,200,146664620,146664620,146664620,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I007,I007,https://data.nemar.org/nm000111/v1.0.1/sub-I007/eeg/sub-I007_task-sleep_eeg.edf,200,152550620,152550620,152550620,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I008,I008,https://data.nemar.org/nm000111/v1.0.1/sub-I008/eeg/sub-I008_task-sleep_eeg.edf,200,120689632,120689632,120689632,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I009,I009,https://data.nemar.org/nm000111/v1.0.1/sub-I009/eeg/sub-I009_task-sleep_eeg.edf,200,158436620,158436620,158436620,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I010,I010,https://data.nemar.org/nm000111/v1.0.1/sub-I010/eeg/sub-I010_task-sleep_eeg.edf,200,137672120,137672120,137672120,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I011,I011,https://data.nemar.org/nm000111/v1.0.1/sub-I011/eeg/sub-I011_task-sleep_eeg.edf,200,198907900,198907900,198907900,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I012,I012,https://data.nemar.org/nm000111/v1.0.1/sub-I012/eeg/sub-I012_task-sleep_eeg.edf,200,138980120,138980120,138980120,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I013,I013,https://data.nemar.org/nm000111/v1.0.1/sub-I013/eeg/sub-I013_task-sleep_eeg.edf,200,144212120,144212120,144212120,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I014,I014,https://data.nemar.org/nm000111/v1.0.1/sub-I014/eeg/sub-I014_task-sleep_eeg.edf,200,146777120,146777120,146777120,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I015,I015,https://data.nemar.org/nm000111/v1.0.1/sub-I015/eeg/sub-I015_task-sleep_eeg.edf,200,128516120,128516120,128516120,0,MATCH,PASS,PASS,ACQUIRED,
isruc_s1,I016,I016,https://data.nemar.org/nm000111/v1.0.1/sub-I016/eeg/sub-I016_task-sleep_eeg.edf,200,144375620,144375620,144375620,0,MATCH,PASS,PASS,ACQUIRED,
