dataset,subject_id,recording_id,provider_url,http_status,provider_content_length,local_bytes,edf_declared_bytes,byte_delta,checksum_status,header_valid,body_valid,terminal_status,failure_code
sleep_edf_sc,SC_02,SC4021E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4021E0-PSG.edf,EXISTING_VALID,51147008,51147008,51147008,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_06,SC4061E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4061E0-PSG.edf,EXISTING_VALID,50526848,50526848,50526848,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_10,SC4101E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4101E0-PSG.edf,200,49614848,49614848,49614848,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_14,SC4142E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4142E0-PSG.edf,200,50599808,50599808,50599808,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_18,SC4182E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4182E0-PSG.edf,200,51840128,51840128,51840128,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_22,SC4222E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4222E0-PSG.edf,200,50344448,50344448,50344448,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_26,SC4262F0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4262F0-PSG.edf,200,49614848,49614848,49614848,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_30,SC4302E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4302E0-PSG.edf,200,51219968,51219968,51219968,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_34,SC4342F0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4342F0-PSG.edf,200,50891648,50891648,50891648,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_40,SC4401E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4401E0-PSG.edf,200,47973248,47973248,47973248,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_44,SC4441E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4441E0-PSG.edf,200,47790848,47790848,47790848,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_48,SC4481F0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4481F0-PSG.edf,200,52533248,52533248,52533248,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_52,SC4522E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4522E0-PSG.edf,200,50599808,50599808,50599808,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_56,SC4562F0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4562F0-PSG.edf,200,51074048,51074048,51074048,0,MATCH,PASS,PASS,ACQUIRED,
sleep_edf_sc,SC_60,SC4602E0,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4602E0-PSG.edf,200,51074048,51074048,51074048,0,MATCH,PASS,PASS,ACQUIRED,
