model_family,direction,seed,condition,alpha,randomized_qhat,historical_qhat,delta_qhat
B0,D1_SLEEPEDF_TO_ISRUC,17,C0,0.1,0.9192648606098055,0.9999999967016777,-0.08073513609187222
B0,D1_SLEEPEDF_TO_ISRUC,17,C1,0.1,0.9192648606098055,0.9999999967016777,-0.08073513609187222
B0,D1_SLEEPEDF_TO_ISRUC,17,C2,0.1,0.9192648606098055,0.9999999967016777,-0.08073513609187222
B0,D1_SLEEPEDF_TO_ISRUC,17,C3,0.1,0.9192648606098055,0.9999999967016777,-0.08073513609187222
B0,D1_SLEEPEDF_TO_ISRUC,17,C4,0.1,0.9192648606098055,0.9999999967016777,-0.08073513609187222
B0,D1_SLEEPEDF_TO_ISRUC,17,C5,0.1,0.9192648606098055,0.9999999967016777,-0.08073513609187222
B0,D1_SLEEPEDF_TO_ISRUC,17,C0,0.05,0.962447015059225,0.9999999994737416,-0.0375529844145166
B0,D1_SLEEPEDF_TO_ISRUC,17,C1,0.05,0.962447015059225,0.9999999994737416,-0.0375529844145166
B0,D1_SLEEPEDF_TO_ISRUC,17,C2,0.05,0.962447015059225,0.9999999994737416,-0.0375529844145166
B0,D1_SLEEPEDF_TO_ISRUC,17,C3,0.05,0.962447015059225,0.9999999994737416,-0.0375529844145166
B0,D1_SLEEPEDF_TO_ISRUC,17,C4,0.05,0.962447015059225,0.9999999994737416,-0.0375529844145166
B0,D1_SLEEPEDF_TO_ISRUC,17,C5,0.05,0.962447015059225,0.9999999994737416,-0.0375529844145166
B0,D1_SLEEPEDF_TO_ISRUC,42,C0,0.1,0.9182203466413403,0.9999999951442968,-0.08177964850295649
B0,D1_SLEEPEDF_TO_ISRUC,42,C1,0.1,0.9182203466413403,0.9999999951442968,-0.08177964850295649
B0,D1_SLEEPEDF_TO_ISRUC,42,C2,0.1,0.9182203466413403,0.9999999951442968,-0.08177964850295649
B0,D1_SLEEPEDF_TO_ISRUC,42,C3,0.1,0.9182203466413403,0.9999999951442968,-0.08177964850295649
B0,D1_SLEEPEDF_TO_ISRUC,42,C4,0.1,0.9182203466413403,0.9999999951442968,-0.08177964850295649
B0,D1_SLEEPEDF_TO_ISRUC,42,C5,0.1,0.9182203466413403,0.9999999951442968,-0.08177964850295649
B0,D1_SLEEPEDF_TO_ISRUC,42,C0,0.05,0.9629534244486181,0.9999999992237567,-0.03704657477513862
B0,D1_SLEEPEDF_TO_ISRUC,42,C1,0.05,0.9629534244486181,0.9999999992237567,-0.03704657477513862
B0,D1_SLEEPEDF_TO_ISRUC,42,C2,0.05,0.9629534244486181,0.9999999992237567,-0.03704657477513862
B0,D1_SLEEPEDF_TO_ISRUC,42,C3,0.05,0.9629534244486181,0.9999999992237567,-0.03704657477513862
B0,D1_SLEEPEDF_TO_ISRUC,42,C4,0.05,0.9629534244486181,0.9999999992237567,-0.03704657477513862
B0,D1_SLEEPEDF_TO_ISRUC,42,C5,0.05,0.9629534244486181,0.9999999992237567,-0.03704657477513862
B0,D1_SLEEPEDF_TO_ISRUC,2026,C0,0.1,0.9113387886083302,0.9999999720826965,-0.08866118347436636
B0,D1_SLEEPEDF_TO_ISRUC,2026,C1,0.1,0.9113387886083302,0.9999999720826965,-0.08866118347436636
B0,D1_SLEEPEDF_TO_ISRUC,2026,C2,0.1,0.9113387886083302,0.9999999720826965,-0.08866118347436636
B0,D1_SLEEPEDF_TO_ISRUC,2026,C3,0.1,0.9113387886083302,0.9999999720826965,-0.08866118347436636
B0,D1_SLEEPEDF_TO_ISRUC,2026,C4,0.1,0.9113387886083302,0.9999999720826965,-0.08866118347436636
B0,D1_SLEEPEDF_TO_ISRUC,2026,C5,0.1,0.9113387886083302,0.9999999720826965,-0.08866118347436636
B0,D1_SLEEPEDF_TO_ISRUC,2026,C0,0.05,0.9588027100077723,0.9999999953148415,-0.04119728530706923
B0,D1_SLEEPEDF_TO_ISRUC,2026,C1,0.05,0.9588027100077723,0.9999999953148415,-0.04119728530706923
B0,D1_SLEEPEDF_TO_ISRUC,2026,C2,0.05,0.9588027100077723,0.9999999953148415,-0.04119728530706923
B0,D1_SLEEPEDF_TO_ISRUC,2026,C3,0.05,0.9588027100077723,0.9999999953148415,-0.04119728530706923
B0,D1_SLEEPEDF_TO_ISRUC,2026,C4,0.05,0.9588027100077723,0.9999999953148415,-0.04119728530706923
B0,D1_SLEEPEDF_TO_ISRUC,2026,C5,0.05,0.9588027100077723,0.9999999953148415,-0.04119728530706923
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,0.1,0.9205145544172537,0.999999972345888,-0.07948541792863428
B1,D1_SLEEPEDF_TO_ISRUC,17,C1,0.1,0.9205145544172537,0.999999972345888,-0.07948541792863428
B1,D1_SLEEPEDF_TO_ISRUC,17,C2,0.1,0.9205145544172537,0.999999972345888,-0.07948541792863428
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,0.1,0.9205145544172537,0.999999972345888,-0.07948541792863428
B1,D1_SLEEPEDF_TO_ISRUC,17,C4,0.1,0.9205145544172537,0.999999972345888,-0.07948541792863428
B1,D1_SLEEPEDF_TO_ISRUC,17,C5,0.1,0.9205145544172537,0.999999972345888,-0.07948541792863428
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,0.05,0.9653750926928348,0.9999999926567367,-0.034624899963901834
B1,D1_SLEEPEDF_TO_ISRUC,17,C1,0.05,0.9653750926928348,0.9999999926567367,-0.034624899963901834
B1,D1_SLEEPEDF_TO_ISRUC,17,C2,0.05,0.9653750926928348,0.9999999926567367,-0.034624899963901834
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,0.05,0.9653750926928348,0.9999999926567367,-0.034624899963901834
B1,D1_SLEEPEDF_TO_ISRUC,17,C4,0.05,0.9653750926928348,0.9999999926567367,-0.034624899963901834
B1,D1_SLEEPEDF_TO_ISRUC,17,C5,0.05,0.9653750926928348,0.9999999926567367,-0.034624899963901834
B1,D1_SLEEPEDF_TO_ISRUC,42,C0,0.1,0.9149691939810894,0.9999999517388675,-0.08503075775777802
B1,D1_SLEEPEDF_TO_ISRUC,42,C1,0.1,0.9149691939810894,0.9999999517388675,-0.08503075775777802
B1,D1_SLEEPEDF_TO_ISRUC,42,C2,0.1,0.9149691939810894,0.9999999517388675,-0.08503075775777802
B1,D1_SLEEPEDF_TO_ISRUC,42,C3,0.1,0.9149691939810894,0.9999999517388675,-0.08503075775777802
B1,D1_SLEEPEDF_TO_ISRUC,42,C4,0.1,0.9149691939810894,0.9999999517388675,-0.08503075775777802
B1,D1_SLEEPEDF_TO_ISRUC,42,C5,0.1,0.9149691939810894,0.9999999517388675,-0.08503075775777802
B1,D1_SLEEPEDF_TO_ISRUC,42,C0,0.05,0.961455287023525,0.9999999899194,-0.03854470289587497
B1,D1_SLEEPEDF_TO_ISRUC,42,C1,0.05,0.961455287023525,0.9999999899194,-0.03854470289587497
B1,D1_SLEEPEDF_TO_ISRUC,42,C2,0.05,0.961455287023525,0.9999999899194,-0.03854470289587497
B1,D1_SLEEPEDF_TO_ISRUC,42,C3,0.05,0.961455287023525,0.9999999899194,-0.03854470289587497
B1,D1_SLEEPEDF_TO_ISRUC,42,C4,0.05,0.961455287023525,0.9999999899194,-0.03854470289587497
B1,D1_SLEEPEDF_TO_ISRUC,42,C5,0.05,0.961455287023525,0.9999999899194,-0.03854470289587497
B1,D1_SLEEPEDF_TO_ISRUC,2026,C0,0.1,0.905291128359987,0.9999989194246987,-0.09470779106471161
B1,D1_SLEEPEDF_TO_ISRUC,2026,C1,0.1,0.905291128359987,0.9999989194246987,-0.09470779106471161
B1,D1_SLEEPEDF_TO_ISRUC,2026,C2,0.1,0.905291128359987,0.9999989194246987,-0.09470779106471161
B1,D1_SLEEPEDF_TO_ISRUC,2026,C3,0.1,0.905291128359987,0.9999989194246987,-0.09470779106471161
B1,D1_SLEEPEDF_TO_ISRUC,2026,C4,0.1,0.905291128359987,0.9999989194246987,-0.09470779106471161
B1,D1_SLEEPEDF_TO_ISRUC,2026,C5,0.1,0.905291128359987,0.9999989194246987,-0.09470779106471161
B1,D1_SLEEPEDF_TO_ISRUC,2026,C0,0.05,0.9546581753371367,0.9999997455840398,-0.04534157024690311
B1,D1_SLEEPEDF_TO_ISRUC,2026,C1,0.05,0.9546581753371367,0.9999997455840398,-0.04534157024690311
B1,D1_SLEEPEDF_TO_ISRUC,2026,C2,0.05,0.9546581753371367,0.9999997455840398,-0.04534157024690311
B1,D1_SLEEPEDF_TO_ISRUC,2026,C3,0.05,0.9546581753371367,0.9999997455840398,-0.04534157024690311
B1,D1_SLEEPEDF_TO_ISRUC,2026,C4,0.05,0.9546581753371367,0.9999997455840398,-0.04534157024690311
B1,D1_SLEEPEDF_TO_ISRUC,2026,C5,0.05,0.9546581753371367,0.9999997455840398,-0.04534157024690311
B0,D2_ISRUC_TO_SLEEPEDF,17,C0,0.1,0.9350399483797552,0.9988652814637266,-0.06382533308397131
B0,D2_ISRUC_TO_SLEEPEDF,17,C1,0.1,0.9350399483797552,0.9988652814637266,-0.06382533308397131
B0,D2_ISRUC_TO_SLEEPEDF,17,C2,0.1,0.9350399483797552,0.9988652814637266,-0.06382533308397131
B0,D2_ISRUC_TO_SLEEPEDF,17,C3,0.1,0.9350399483797552,0.9988652814637266,-0.06382533308397131
B0,D2_ISRUC_TO_SLEEPEDF,17,C4,0.1,0.9350399483797552,0.9988652814637266,-0.06382533308397131
B0,D2_ISRUC_TO_SLEEPEDF,17,C5,0.1,0.9350399483797552,0.9988652814637266,-0.06382533308397131
B0,D2_ISRUC_TO_SLEEPEDF,17,C0,0.05,0.9721573654640037,0.9997317739802749,-0.027574408516271243
B0,D2_ISRUC_TO_SLEEPEDF,17,C1,0.05,0.9721573654640037,0.9997317739802749,-0.027574408516271243
B0,D2_ISRUC_TO_SLEEPEDF,17,C2,0.05,0.9721573654640037,0.9997317739802749,-0.027574408516271243
B0,D2_ISRUC_TO_SLEEPEDF,17,C3,0.05,0.9721573654640037,0.9997317739802749,-0.027574408516271243
B0,D2_ISRUC_TO_SLEEPEDF,17,C4,0.05,0.9721573654640037,0.9997317739802749,-0.027574408516271243
B0,D2_ISRUC_TO_SLEEPEDF,17,C5,0.05,0.9721573654640037,0.9997317739802749,-0.027574408516271243
B0,D2_ISRUC_TO_SLEEPEDF,42,C0,0.1,0.9404154359198005,0.9990182181892268,-0.05860278226942628
B0,D2_ISRUC_TO_SLEEPEDF,42,C1,0.1,0.9404154359198005,0.9990182181892268,-0.05860278226942628
B0,D2_ISRUC_TO_SLEEPEDF,42,C2,0.1,0.9404154359198005,0.9990182181892268,-0.05860278226942628
B0,D2_ISRUC_TO_SLEEPEDF,42,C3,0.1,0.9404154359198005,0.9990182181892268,-0.05860278226942628
B0,D2_ISRUC_TO_SLEEPEDF,42,C4,0.1,0.9404154359198005,0.9990182181892268,-0.05860278226942628
B0,D2_ISRUC_TO_SLEEPEDF,42,C5,0.1,0.9404154359198005,0.9990182181892268,-0.05860278226942628
B0,D2_ISRUC_TO_SLEEPEDF,42,C0,0.05,0.9757422098583807,0.9998281182606624,-0.024085908402281753
B0,D2_ISRUC_TO_SLEEPEDF,42,C1,0.05,0.9757422098583807,0.9998281182606624,-0.024085908402281753
B0,D2_ISRUC_TO_SLEEPEDF,42,C2,0.05,0.9757422098583807,0.9998281182606624,-0.024085908402281753
B0,D2_ISRUC_TO_SLEEPEDF,42,C3,0.05,0.9757422098583807,0.9998281182606624,-0.024085908402281753
B0,D2_ISRUC_TO_SLEEPEDF,42,C4,0.05,0.9757422098583807,0.9998281182606624,-0.024085908402281753
B0,D2_ISRUC_TO_SLEEPEDF,42,C5,0.05,0.9757422098583807,0.9998281182606624,-0.024085908402281753
B0,D2_ISRUC_TO_SLEEPEDF,2026,C0,0.1,0.8982233774689425,0.9951230063346641,-0.09689962886572157
B0,D2_ISRUC_TO_SLEEPEDF,2026,C1,0.1,0.8982233774689425,0.9951230063346641,-0.09689962886572157
B0,D2_ISRUC_TO_SLEEPEDF,2026,C2,0.1,0.8982233774689425,0.9951230063346641,-0.09689962886572157
B0,D2_ISRUC_TO_SLEEPEDF,2026,C3,0.1,0.8982233774689425,0.9951230063346641,-0.09689962886572157
B0,D2_ISRUC_TO_SLEEPEDF,2026,C4,0.1,0.8982233774689425,0.9951230063346641,-0.09689962886572157
B0,D2_ISRUC_TO_SLEEPEDF,2026,C5,0.1,0.8982233774689425,0.9951230063346641,-0.09689962886572157
B0,D2_ISRUC_TO_SLEEPEDF,2026,C0,0.05,0.9466702473770523,0.9982237137460845,-0.05155346636903224
B0,D2_ISRUC_TO_SLEEPEDF,2026,C1,0.05,0.9466702473770523,0.9982237137460845,-0.05155346636903224
B0,D2_ISRUC_TO_SLEEPEDF,2026,C2,0.05,0.9466702473770523,0.9982237137460845,-0.05155346636903224
B0,D2_ISRUC_TO_SLEEPEDF,2026,C3,0.05,0.9466702473770523,0.9982237137460845,-0.05155346636903224
B0,D2_ISRUC_TO_SLEEPEDF,2026,C4,0.05,0.9466702473770523,0.9982237137460845,-0.05155346636903224
B0,D2_ISRUC_TO_SLEEPEDF,2026,C5,0.05,0.9466702473770523,0.9982237137460845,-0.05155346636903224
B1,D2_ISRUC_TO_SLEEPEDF,17,C0,0.1,0.9167302734485488,0.9985796947398331,-0.08184942129128425
B1,D2_ISRUC_TO_SLEEPEDF,17,C1,0.1,0.9167302734485488,0.9985796947398331,-0.08184942129128425
B1,D2_ISRUC_TO_SLEEPEDF,17,C2,0.1,0.9167302734485488,0.9985796947398331,-0.08184942129128425
B1,D2_ISRUC_TO_SLEEPEDF,17,C3,0.1,0.9167302734485488,0.9985796947398331,-0.08184942129128425
B1,D2_ISRUC_TO_SLEEPEDF,17,C4,0.1,0.9167302734485488,0.9985796947398331,-0.08184942129128425
B1,D2_ISRUC_TO_SLEEPEDF,17,C5,0.1,0.9167302734485488,0.9985796947398331,-0.08184942129128425
B1,D2_ISRUC_TO_SLEEPEDF,17,C0,0.05,0.9633710082308694,0.999716754784349,-0.03634574655347955
B1,D2_ISRUC_TO_SLEEPEDF,17,C1,0.05,0.9633710082308694,0.999716754784349,-0.03634574655347955
B1,D2_ISRUC_TO_SLEEPEDF,17,C2,0.05,0.9633710082308694,0.999716754784349,-0.03634574655347955
B1,D2_ISRUC_TO_SLEEPEDF,17,C3,0.05,0.9633710082308694,0.999716754784349,-0.03634574655347955
B1,D2_ISRUC_TO_SLEEPEDF,17,C4,0.05,0.9633710082308694,0.999716754784349,-0.03634574655347955
B1,D2_ISRUC_TO_SLEEPEDF,17,C5,0.05,0.9633710082308694,0.999716754784349,-0.03634574655347955
B1,D2_ISRUC_TO_SLEEPEDF,42,C0,0.1,0.9373749250706547,0.9988601836674033,-0.06148525859674858
B1,D2_ISRUC_TO_SLEEPEDF,42,C1,0.1,0.9373749250706547,0.9988601836674033,-0.06148525859674858
B1,D2_ISRUC_TO_SLEEPEDF,42,C2,0.1,0.9373749250706547,0.9988601836674033,-0.06148525859674858
B1,D2_ISRUC_TO_SLEEPEDF,42,C3,0.1,0.9373749250706547,0.9988601836674033,-0.06148525859674858
B1,D2_ISRUC_TO_SLEEPEDF,42,C4,0.1,0.9373749250706547,0.9988601836674033,-0.06148525859674858
B1,D2_ISRUC_TO_SLEEPEDF,42,C5,0.1,0.9373749250706547,0.9988601836674033,-0.06148525859674858
B1,D2_ISRUC_TO_SLEEPEDF,42,C0,0.05,0.9730781472177126,0.9998126615786131,-0.026734514360900574
B1,D2_ISRUC_TO_SLEEPEDF,42,C1,0.05,0.9730781472177126,0.9998126615786131,-0.026734514360900574
B1,D2_ISRUC_TO_SLEEPEDF,42,C2,0.05,0.9730781472177126,0.9998126615786131,-0.026734514360900574
B1,D2_ISRUC_TO_SLEEPEDF,42,C3,0.05,0.9730781472177126,0.9998126615786131,-0.026734514360900574
B1,D2_ISRUC_TO_SLEEPEDF,42,C4,0.05,0.9730781472177126,0.9998126615786131,-0.026734514360900574
B1,D2_ISRUC_TO_SLEEPEDF,42,C5,0.05,0.9730781472177126,0.9998126615786131,-0.026734514360900574
B1,D2_ISRUC_TO_SLEEPEDF,2026,C0,0.1,0.9271700932782777,0.9993270164733723,-0.07215692319509459
B1,D2_ISRUC_TO_SLEEPEDF,2026,C1,0.1,0.9271700932782777,0.9993270164733723,-0.07215692319509459
B1,D2_ISRUC_TO_SLEEPEDF,2026,C2,0.1,0.9271700932782777,0.9993270164733723,-0.07215692319509459
B1,D2_ISRUC_TO_SLEEPEDF,2026,C3,0.1,0.9271700932782777,0.9993270164733723,-0.07215692319509459
B1,D2_ISRUC_TO_SLEEPEDF,2026,C4,0.1,0.9271700932782777,0.9993270164733723,-0.07215692319509459
B1,D2_ISRUC_TO_SLEEPEDF,2026,C5,0.1,0.9271700932782777,0.9993270164733723,-0.07215692319509459
B1,D2_ISRUC_TO_SLEEPEDF,2026,C0,0.05,0.9677453405780588,0.9999150995077122,-0.03216975892965335
B1,D2_ISRUC_TO_SLEEPEDF,2026,C1,0.05,0.9677453405780588,0.9999150995077122,-0.03216975892965335
B1,D2_ISRUC_TO_SLEEPEDF,2026,C2,0.05,0.9677453405780588,0.9999150995077122,-0.03216975892965335
B1,D2_ISRUC_TO_SLEEPEDF,2026,C3,0.05,0.9677453405780588,0.9999150995077122,-0.03216975892965335
B1,D2_ISRUC_TO_SLEEPEDF,2026,C4,0.05,0.9677453405780588,0.9999150995077122,-0.03216975892965335
B1,D2_ISRUC_TO_SLEEPEDF,2026,C5,0.05,0.9677453405780588,0.9999150995077122,-0.03216975892965335
