direction,model_family,seed,split_condition,path,historical_expected_hash,observed_hash,status
D1_SLEEPEDF_TO_ISRUC,b0,17,C0,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C0.npz,NOT_AVAILABLE_IN_FROZEN_MANIFEST,267fd41029562ae3a674683887a6a1d317807583542cddf7ee2c7a69e42de7d7,PASS_OBSERVED_FILE
D1_SLEEPEDF_TO_ISRUC,b0,17,C1,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C1.npz,NOT_AVAILABLE_IN_FROZEN_MANIFEST,0ce4e2f1c6efc2e7d6d7e2f1133bf43d8aab9eefdefa24ad7a1ecc036d35185f,PASS_OBSERVED_FILE
D1_SLEEPEDF_TO_ISRUC,b0,17,C2,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C2.npz,NOT_AVAILABLE_IN_FROZEN_MANIFEST,c7c532b17ad271a3ca66d8b5ca1bf29be6a17d6dc077d36359ec3a9a3bd7af18,PASS_OBSERVED_FILE
D1_SLEEPEDF_TO_ISRUC,b0,17,C3,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz,NOT_AVAILABLE_IN_FROZEN_MANIFEST,e57c3fb5a8844d808018000e72972049a419b5261219fcf4d98e27ecc6366302,PASS_OBSERVED_FILE
D1_SLEEPEDF_TO_ISRUC,b0,17,C4,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz,NOT_AVAILABLE_IN_FROZEN_MANIFEST,169a64622b6d414a303b97215e6f5ec4665416b475df7c50b3750f07254bd8b5,PASS_OBSERVED_FILE
D1_SLEEPEDF_TO_ISRUC,b0,17,C5,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C5.npz,NOT_AVAILABLE_IN_FROZEN_MANIFEST,b4a84ac27a8277e2312a4ee32952d703ffa407fbb50907466f04ab6af68b9fa0,PASS_OBSERVED_FILE
D1_SLEEPEDF_TO_ISRUC,b0,42,C0,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_42/C0.npz,NOT_AVAILABLE_IN_FROZEN_MANIFEST,180d08ee7e97b2e3675ec533774a05285f30a289f1ca2574d3ea39f686528b40,PASS_OBSERVED_FILE
D1_SLEEPEDF_TO_ISRUC,b0,42,C1,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_42/C1.npz,NOT_AVAILABLE_IN_FROZEN_MANIFEST,7c2760d8567226bd2284b62e2593c5433b084a7d42ca954be0c7a4ea3289c7a8,PASS_OBSERVED_FILE
D1_SLEEPEDF_TO_ISRUC,b0,42,C2,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_42/C2.npz,NOT_AVAILABLE_IN_FROZEN_MANIFEST,ee1ead4d8510e7127e2c45b2e32c6163d3645a0c5f08169129a973e7cdee564a,PASS_OBSERVED_FILE
D1_SLEEPEDF_TO_ISRUC,b0,42,C3,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_42/C3.npz,NOT_AVAILABLE_IN_FROZEN_MANIFEST,7214054a632ff729481da62efe23b5f5d886ef35ab3045478ce401af747d9a8e,PASS_OBSERVED_FILE
