model_family,direction,seed,condition,alpha,population,qhat,coverage,mean_set_size,median_set_size,empty_fraction,size_1_fraction,size_2_fraction,size_3_fraction,size_4_fraction,size_5_fraction,epoch_count,subject_count,primary_cell
B0,D1_SLEEPEDF_TO_ISRUC,17,C4,0.1,COMPLETE_TARGET,0.9192648606098055,0.8300340379792189,1.962211125044787,2.0,0.009931476173414546,0.32927266212826944,0.3797026155499821,0.25091812970261557,0.030096739519885347,7.837692583303476e-05,89312,99,D1_SLEEPEDF_TO_ISRUC_C4
B0,D1_SLEEPEDF_TO_ISRUC,17,C5,0.1,COMPLETE_TARGET,0.9192648606098055,0.7255240057327123,2.431117878896453,2.0,0.0031462737370118237,0.12030858115370835,0.4022639734862057,0.3917166786098173,0.08169115012540308,0.0008733428878538158,89312,99,D1_SLEEPEDF_TO_ISRUC_C5
B0,D1_SLEEPEDF_TO_ISRUC,17,C4,0.05,COMPLETE_TARGET,0.962447015059225,0.8956803117162307,2.3825577749910427,2.0,0.0019370297384450018,0.19962603009673952,0.32777230383375133,0.35705168398423504,0.11183267646005016,0.0017802758867789322,89312,99,D1_SLEEPEDF_TO_ISRUC_C4
B0,D1_SLEEPEDF_TO_ISRUC,17,C5,0.05,COMPLETE_TARGET,0.962447015059225,0.8320942314582587,2.982981010390541,3.0,0.000772572554639914,0.05097859190254389,0.21255822285919027,0.46195360085990683,0.2476598889286994,0.026077122895019705,89312,99,D1_SLEEPEDF_TO_ISRUC_C5
B0,D1_SLEEPEDF_TO_ISRUC,42,C4,0.1,COMPLETE_TARGET,0.9182203466413403,0.8410851845216768,2.073237638839126,2.0,0.0070539233249731275,0.2730652096022931,0.3970015227517019,0.28544876388391255,0.03732981010390541,0.00010077033321390182,89312,99,D1_SLEEPEDF_TO_ISRUC_C4
B0,D1_SLEEPEDF_TO_ISRUC,42,C5,0.1,COMPLETE_TARGET,0.9182203466413403,0.7619244894303118,2.5706959871013972,3.0,0.003571748477248298,0.11300833034754568,0.2917972948763884,0.4937634360444285,0.09649319240415621,0.0013659978502328913,89312,99,D1_SLEEPEDF_TO_ISRUC_C5
B0,D1_SLEEPEDF_TO_ISRUC,42,C4,0.05,COMPLETE_TARGET,0.9629534244486181,0.9059700824077391,2.541192672877105,3.0,0.001231637405947689,0.14485175564313865,0.30751746685775705,0.40644034396273737,0.13780902902185596,0.002149767108563239,89312,99,D1_SLEEPEDF_TO_ISRUC_C4
B0,D1_SLEEPEDF_TO_ISRUC,42,C5,0.05,COMPLETE_TARGET,0.9629534244486181,0.8593134181297026,3.1791136689358654,3.0,0.0009965066284485847,0.06309342529559298,0.1049019168756718,0.4500291114295951,0.34876612325331424,0.03221291651737728,89312,99,D1_SLEEPEDF_TO_ISRUC_C5
B0,D1_SLEEPEDF_TO_ISRUC,2026,C4,0.1,COMPLETE_TARGET,0.9113387886083302,0.8218604442852024,2.0168734324614834,2.0,0.00940523109996417,0.2953018631314941,0.3916942852024364,0.2763346470798997,0.02714080974561089,0.0001231637405947689,89312,99,D1_SLEEPEDF_TO_ISRUC_C4
B0,D1_SLEEPEDF_TO_ISRUC,2026,C5,0.1,COMPLETE_TARGET,0.9113387886083302,0.7543667144392691,2.512473127911143,3.0,0.003997223217484773,0.11534844141884629,0.33198226442135437,0.46208796130419205,0.08602427445360086,0.0005598351845216769,89312,99,D1_SLEEPEDF_TO_ISRUC_C5
