model_family,direction,seed,alpha,calibration_n,randomized_qhat,historical_qhat,randomized_minus_historical,source_cal_hash,status
B0,D1_SLEEPEDF_TO_ISRUC,17,0.1,39561,0.9192648606098055,0.9999999967016777,-0.08073513609187222,218b2c847e7607ab143657b539fab52fb8071a2323d64f4e7c33320c502a528a,PASS
B0,D1_SLEEPEDF_TO_ISRUC,17,0.05,39561,0.962447015059225,0.9999999994737416,-0.0375529844145166,218b2c847e7607ab143657b539fab52fb8071a2323d64f4e7c33320c502a528a,PASS
B0,D1_SLEEPEDF_TO_ISRUC,42,0.1,39561,0.9182203466413403,0.9999999951442968,-0.08177964850295649,66b5286064b5854390100b67924ae3b0b8f893c811cec368c701a89ac78fe33c,PASS
B0,D1_SLEEPEDF_TO_ISRUC,42,0.05,39561,0.9629534244486181,0.9999999992237567,-0.03704657477513862,66b5286064b5854390100b67924ae3b0b8f893c811cec368c701a89ac78fe33c,PASS
B0,D1_SLEEPEDF_TO_ISRUC,2026,0.1,39561,0.9113387886083302,0.9999999720826965,-0.08866118347436636,349d727f14a0048b09f39e3232cfc34518f0d256d84f7f750d33ef3ccda6ae5e,PASS
B0,D1_SLEEPEDF_TO_ISRUC,2026,0.05,39561,0.9588027100077723,0.9999999953148415,-0.04119728530706923,349d727f14a0048b09f39e3232cfc34518f0d256d84f7f750d33ef3ccda6ae5e,PASS
B1,D1_SLEEPEDF_TO_ISRUC,17,0.1,39561,0.9205145544172537,0.999999972345888,-0.07948541792863428,bc2320c57df185207fb4d9144773f8bfea8c1620fe4b8ad33c53c808c2ec68bd,PASS
B1,D1_SLEEPEDF_TO_ISRUC,17,0.05,39561,0.9653750926928348,0.9999999926567367,-0.034624899963901834,bc2320c57df185207fb4d9144773f8bfea8c1620fe4b8ad33c53c808c2ec68bd,PASS
B1,D1_SLEEPEDF_TO_ISRUC,42,0.1,39561,0.9149691939810894,0.9999999517388675,-0.08503075775777802,f736d6ef63da78e44a7a38db7784c8f15d584886160bb726f27bb26eb2481841,PASS
B1,D1_SLEEPEDF_TO_ISRUC,42,0.05,39561,0.961455287023525,0.9999999899194,-0.03854470289587497,f736d6ef63da78e44a7a38db7784c8f15d584886160bb726f27bb26eb2481841,PASS
B1,D1_SLEEPEDF_TO_ISRUC,2026,0.1,39561,0.905291128359987,0.9999989194246987,-0.09470779106471161,3c215f939794f8e50d93ed440f8a3c6512a77401dbfae5f351089f90d1bfa3dd,PASS
B1,D1_SLEEPEDF_TO_ISRUC,2026,0.05,39561,0.9546581753371367,0.9999997455840398,-0.04534157024690311,3c215f939794f8e50d93ed440f8a3c6512a77401dbfae5f351089f90d1bfa3dd,PASS
B0,D2_ISRUC_TO_SLEEPEDF,17,0.1,8899,0.9350399483797552,0.9988652814637266,-0.06382533308397131,6dd7b01939edb44f2d7b15beb34d7dba1e64b963271662f49d8a6bb9b13a5e53,PASS
B0,D2_ISRUC_TO_SLEEPEDF,17,0.05,8899,0.9721573654640037,0.9997317739802749,-0.027574408516271243,6dd7b01939edb44f2d7b15beb34d7dba1e64b963271662f49d8a6bb9b13a5e53,PASS
B0,D2_ISRUC_TO_SLEEPEDF,42,0.1,8899,0.9404154359198005,0.9990182181892268,-0.05860278226942628,167d11664e597091cd43f8035b3a71f36d9b378fe8fba8a32b2e23c6500d4b79,PASS
B0,D2_ISRUC_TO_SLEEPEDF,42,0.05,8899,0.9757422098583807,0.9998281182606624,-0.024085908402281753,167d11664e597091cd43f8035b3a71f36d9b378fe8fba8a32b2e23c6500d4b79,PASS
B0,D2_ISRUC_TO_SLEEPEDF,2026,0.1,8899,0.8982233774689425,0.9951230063346641,-0.09689962886572157,6e0f2321f7f2053868bcc105043251f2566c0f50a7f56a9d3466e2161f6957d9,PASS
B0,D2_ISRUC_TO_SLEEPEDF,2026,0.05,8899,0.9466702473770523,0.9982237137460845,-0.05155346636903224,6e0f2321f7f2053868bcc105043251f2566c0f50a7f56a9d3466e2161f6957d9,PASS
B1,D2_ISRUC_TO_SLEEPEDF,17,0.1,8899,0.9167302734485488,0.9985796947398331,-0.08184942129128425,ad1c0a283c10a78b3380ac5d0376620e811761c60a3bb12b1f1e30e9b0d408b8,PASS
B1,D2_ISRUC_TO_SLEEPEDF,17,0.05,8899,0.9633710082308694,0.999716754784349,-0.03634574655347955,ad1c0a283c10a78b3380ac5d0376620e811761c60a3bb12b1f1e30e9b0d408b8,PASS
B1,D2_ISRUC_TO_SLEEPEDF,42,0.1,8899,0.9373749250706547,0.9988601836674033,-0.06148525859674858,5de4e329fab13d7fd8d081ae77dc2469c02c9459c51689f740365a5dc8da70a9,PASS
B1,D2_ISRUC_TO_SLEEPEDF,42,0.05,8899,0.9730781472177126,0.9998126615786131,-0.026734514360900574,5de4e329fab13d7fd8d081ae77dc2469c02c9459c51689f740365a5dc8da70a9,PASS
B1,D2_ISRUC_TO_SLEEPEDF,2026,0.1,8899,0.9271700932782777,0.9993270164733723,-0.07215692319509459,dab4c0a7d775001c26df8152100c29279a40e58c8a55b013d0bc8ce1dda41e94,PASS
B1,D2_ISRUC_TO_SLEEPEDF,2026,0.05,8899,0.9677453405780588,0.9999150995077122,-0.03216975892965335,dab4c0a7d775001c26df8152100c29279a40e58c8a55b013d0bc8ce1dda41e94,PASS
