model_family,direction,seed,condition,alpha,population,qhat,coverage,mean_set_size,median_set_size,empty_fraction,size_1_fraction,size_2_fraction,size_3_fraction,size_4_fraction,size_5_fraction,epoch_count,subject_count
B0,D1_SLEEPEDF_TO_ISRUC,17,C0,0.1,SOURCE_TEST,0.9192648606098055,0.9094001666203833,1.1601117745070815,1.0,0.05972299361288531,0.7646487086920299,0.13366078866981393,0.03972854762565954,0.002238961399611219,0.0,57616,11
B0,D1_SLEEPEDF_TO_ISRUC,17,C1,0.1,SOURCE_TEST,0.9192648606098055,0.9103721188558733,1.277804776450986,1.0,0.054654956956401,0.7127360455429047,0.140690086087198,0.08398708692029992,0.007931824493196335,0.0,57616,11
B0,D1_SLEEPEDF_TO_ISRUC,17,C2,0.1,SOURCE_TEST,0.9192648606098055,0.8977888086642599,1.813246320466537,1.0,0.030165231880033325,0.47839141905026383,0.2038149125242988,0.2241738405998334,0.06256942515967787,0.0008851707858928075,57616,11
B0,D1_SLEEPEDF_TO_ISRUC,17,C3,0.1,COMPLETE_TARGET,0.9192648606098055,0.8132725725546399,1.6768183446793263,1.0,0.021799982085274096,0.4818725367251881,0.31179460766750267,0.1668420816911501,0.017623611608742387,6.718022214260122e-05,89312,99
B0,D1_SLEEPEDF_TO_ISRUC,17,C4,0.1,COMPLETE_TARGET,0.9192648606098055,0.8300340379792189,1.962211125044787,2.0,0.009931476173414546,0.32927266212826944,0.3797026155499821,0.25091812970261557,0.030096739519885347,7.837692583303476e-05,89312,99
B0,D1_SLEEPEDF_TO_ISRUC,17,C5,0.1,COMPLETE_TARGET,0.9192648606098055,0.7255240057327123,2.431117878896453,2.0,0.0031462737370118237,0.12030858115370835,0.4022639734862057,0.3917166786098173,0.08169115012540308,0.0008733428878538158,89312,99
B0,D1_SLEEPEDF_TO_ISRUC,17,C0,0.05,SOURCE_TEST,0.962447015059225,0.9540926131630103,1.2948660094418216,1.0,0.02648569841710636,0.7451749514023882,0.14700777561788392,0.06978964176617607,0.011403082477089698,0.00013885031935573453,57616,11
B0,D1_SLEEPEDF_TO_ISRUC,17,C1,0.05,SOURCE_TEST,0.962447015059225,0.9571126076089975,1.4631005276312135,1.0,0.023014440433212997,0.6843064426548181,0.1346153846153846,0.12305609552901972,0.034643154679255765,0.0003644820883088031,57616,11
B0,D1_SLEEPEDF_TO_ISRUC,17,C2,0.05,SOURCE_TEST,0.962447015059225,0.9523569841710636,2.1890099972229935,2.0,0.01095181893918356,0.41283671202443767,0.17515967786725908,0.19515412385448486,0.18909677867259095,0.016800888642043876,57616,11
B0,D1_SLEEPEDF_TO_ISRUC,17,C3,0.05,COMPLETE_TARGET,0.962447015059225,0.8760748835542816,2.010692852024364,2.0,0.006091006807595844,0.36043308849874595,0.32173728054460765,0.24093067001074883,0.07004657828735221,0.0007613758509494805,89312,99
B0,D1_SLEEPEDF_TO_ISRUC,17,C4,0.05,COMPLETE_TARGET,0.962447015059225,0.8956803117162307,2.3825577749910427,2.0,0.0019370297384450018,0.19962603009673952,0.32777230383375133,0.35705168398423504,0.11183267646005016,0.0017802758867789322,89312,99
B0,D1_SLEEPEDF_TO_ISRUC,17,C5,0.05,COMPLETE_TARGET,0.962447015059225,0.8320942314582587,2.982981010390541,3.0,0.000772572554639914,0.05097859190254389,0.21255822285919027,0.46195360085990683,0.2476598889286994,0.026077122895019705,89312,99
B0,D1_SLEEPEDF_TO_ISRUC,42,C0,0.1,SOURCE_TEST,0.9182203466413403,0.9105109691752291,1.1484483476811997,1.0,0.059427936684254376,0.7778915579005832,0.11989725076367676,0.04037073035267981,0.0024125242988058872,0.0,57616,11
B0,D1_SLEEPEDF_TO_ISRUC,42,C1,0.1,SOURCE_TEST,0.9182203466413403,0.9202999166898084,1.3058872535406831,1.0,0.05029852818661483,0.7040058317134129,0.14473410163843378,0.09145029158567065,0.009493890585948348,1.7356289919466816e-05,57616,11
