model_family,direction,seed,alpha,calibration_n,quantile_rank_k,reconstructed_qhat,historical_qhat,absolute_difference,checkpoint_sha256,normalization_sha256,source_subject_count,source_recording_count,observation_identity_complete,probability_rows_finite,probability_row_sum_pass,status
B0,D1_SLEEPEDF_TO_ISRUC,17,0.1,39561,35606,0.9999999967016777,0.9999999967016777,0.0,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,be93b208d5cd3bf5b567b55ea76030a132d78108b6c6167dba6bb0d1d0199fb3,8,15,True,True,True,PROVENANCE_EQUIVALENT_RECONSTRUCTION
B0,D1_SLEEPEDF_TO_ISRUC,17,0.05,39561,37584,0.9999999994737416,0.9999999994737416,0.0,3e0ca3d3d7a345a4b2add8900499485bf2cf72afccb522de64d5d3115a9a5f9c,be93b208d5cd3bf5b567b55ea76030a132d78108b6c6167dba6bb0d1d0199fb3,8,15,True,True,True,PROVENANCE_EQUIVALENT_RECONSTRUCTION
B0,D1_SLEEPEDF_TO_ISRUC,42,0.1,39561,35606,0.9999999951442968,0.9999999951442968,0.0,380496b69b5622944d259a0abd163325daecf39638ca3af4a1f6c01a9738d8fb,be93b208d5cd3bf5b567b55ea76030a132d78108b6c6167dba6bb0d1d0199fb3,8,15,True,True,True,PROVENANCE_EQUIVALENT_RECONSTRUCTION
B0,D1_SLEEPEDF_TO_ISRUC,42,0.05,39561,37584,0.9999999992237567,0.9999999992237567,0.0,380496b69b5622944d259a0abd163325daecf39638ca3af4a1f6c01a9738d8fb,be93b208d5cd3bf5b567b55ea76030a132d78108b6c6167dba6bb0d1d0199fb3,8,15,True,True,True,PROVENANCE_EQUIVALENT_RECONSTRUCTION
B0,D1_SLEEPEDF_TO_ISRUC,2026,0.1,39561,35606,0.9999999720826965,0.9999999720826965,0.0,edf8d12f40c33d3096de3dffd0c6fcfc5028b3923bb2e6894fc9e2a83e96ce45,be93b208d5cd3bf5b567b55ea76030a132d78108b6c6167dba6bb0d1d0199fb3,8,15,True,True,True,PROVENANCE_EQUIVALENT_RECONSTRUCTION
B0,D1_SLEEPEDF_TO_ISRUC,2026,0.05,39561,37584,0.9999999953148415,0.9999999953148415,0.0,edf8d12f40c33d3096de3dffd0c6fcfc5028b3923bb2e6894fc9e2a83e96ce45,be93b208d5cd3bf5b567b55ea76030a132d78108b6c6167dba6bb0d1d0199fb3,8,15,True,True,True,PROVENANCE_EQUIVALENT_RECONSTRUCTION
B1,D1_SLEEPEDF_TO_ISRUC,17,0.1,39561,35606,0.999999972345888,0.999999972345888,0.0,7a006909e9f5cfc29b004a1af5d8536f218265e292b63db904dd09a0ff9fc1a5,be93b208d5cd3bf5b567b55ea76030a132d78108b6c6167dba6bb0d1d0199fb3,8,15,True,True,True,PROVENANCE_EQUIVALENT_RECONSTRUCTION
B1,D1_SLEEPEDF_TO_ISRUC,17,0.05,39561,37584,0.9999999926567367,0.9999999926567367,0.0,7a006909e9f5cfc29b004a1af5d8536f218265e292b63db904dd09a0ff9fc1a5,be93b208d5cd3bf5b567b55ea76030a132d78108b6c6167dba6bb0d1d0199fb3,8,15,True,True,True,PROVENANCE_EQUIVALENT_RECONSTRUCTION
B1,D1_SLEEPEDF_TO_ISRUC,42,0.1,39561,35606,0.9999999517388675,0.9999999517388675,0.0,b0e5e0989e60b8ba5194ad80a3fc60f5cd87c37c9c7ce20c535783524ed8c5b7,be93b208d5cd3bf5b567b55ea76030a132d78108b6c6167dba6bb0d1d0199fb3,8,15,True,True,True,PROVENANCE_EQUIVALENT_RECONSTRUCTION
B1,D1_SLEEPEDF_TO_ISRUC,42,0.05,39561,37584,0.9999999899194,0.9999999899194,0.0,b0e5e0989e60b8ba5194ad80a3fc60f5cd87c37c9c7ce20c535783524ed8c5b7,be93b208d5cd3bf5b567b55ea76030a132d78108b6c6167dba6bb0d1d0199fb3,8,15,True,True,True,PROVENANCE_EQUIVALENT_RECONSTRUCTION
B1,D1_SLEEPEDF_TO_ISRUC,2026,0.1,39561,35606,0.9999989194246987,0.9999989194246987,0.0,23ea8b05dac65a10f29f5caf305b203ee381415521ddc8af5665dcff686b967f,be93b208d5cd3bf5b567b55ea76030a132d78108b6c6167dba6bb0d1d0199fb3,8,15,True,True,True,PROVENANCE_EQUIVALENT_RECONSTRUCTION
B1,D1_SLEEPEDF_TO_ISRUC,2026,0.05,39561,37584,0.9999997455840398,0.9999997455840398,0.0,23ea8b05dac65a10f29f5caf305b203ee381415521ddc8af5665dcff686b967f,be93b208d5cd3bf5b567b55ea76030a132d78108b6c6167dba6bb0d1d0199fb3,8,15,True,True,True,PROVENANCE_EQUIVALENT_RECONSTRUCTION
B0,D2_ISRUC_TO_SLEEPEDF,17,0.1,8899,8010,0.9988652814637266,0.9988652814637266,0.0,bb82549b8860d07c83c85f27cd65a72b905d60ff220eab5942da9966c4d3afe6,3a56d5cbf37bba4a27d55b94251ed1a299b9449eaa31d2aa9d94e56b69aa967e,10,10,True,True,True,PROVENANCE_EQUIVALENT_RECONSTRUCTION
