model_family,direction,seed,alpha,coverage,mean_set_size,median_set_size,empty_fraction,size_1_fraction,size_2_fraction,size_3_fraction,size_4_fraction,size_5_fraction,qhat,population
B0,D1_SLEEPEDF_TO_ISRUC,17,0.1,0.9000278051616492,1.2281539900406966,1.0,0.05490255554712975,0.7224792093223124,0.16559237633022422,0.053638684563079804,0.0033618968175728623,2.5277419680998963e-05,0.9192648606098055,SOURCE_CAL
B0,D1_SLEEPEDF_TO_ISRUC,17,0.05,0.950026541290665,1.3974874244837088,1.0,0.02386188417886302,0.681479234599732,0.18460099593033544,0.09362756249842016,0.016228103435201334,0.0002022193574479917,0.962447015059225,SOURCE_CAL
B0,D1_SLEEPEDF_TO_ISRUC,42,0.1,0.9000278051616492,1.21761330603372,1.0,0.05464978135031976,0.7383787063016607,0.145977098657769,0.05669725234448068,0.004297161345769824,0.0,0.9182203466413403,SOURCE_CAL
B0,D1_SLEEPEDF_TO_ISRUC,42,0.05,0.950026541290665,1.3866939662799223,1.0,0.022699122873537068,0.7040266929551832,0.15952579560678445,0.09152953666489724,0.022067187381512095,0.0001516645180859938,0.9629534244486181,SOURCE_CAL
B0,D1_SLEEPEDF_TO_ISRUC,2026,0.1,0.9000025277419681,1.2245898738656757,1.0,0.059073329794494575,0.7242486286999823,0.15325699552589672,0.05990748464396754,0.003463006496296858,5.055483936199793e-05,0.9113387886083302,SOURCE_CAL
B0,D1_SLEEPEDF_TO_ISRUC,2026,0.05,0.950026541290665,1.4011526503374536,1.0,0.026465458406005914,0.6862313894997598,0.16758929248502313,0.09949192386441193,0.019842774449584186,0.00037916129521498444,0.9588027100077723,SOURCE_CAL
B1,D1_SLEEPEDF_TO_ISRUC,17,0.1,0.9000278051616492,1.2259548545284498,1.0,0.05080761355880792,0.7264730416319102,0.17105229898132,0.049290968377947976,0.0023760774500139028,0.0,0.9205145544172537,SOURCE_CAL
B1,D1_SLEEPEDF_TO_ISRUC,17,0.05,0.950026541290665,1.4013548696949016,1.0,0.02123303253203913,0.6781678926215212,0.19327115088091806,0.09274285280958519,0.014509238896893406,7.58322590429969e-05,0.9653750926928348,SOURCE_CAL
B1,D1_SLEEPEDF_TO_ISRUC,42,0.1,0.9000278051616492,1.243017112813124,1.0,0.054675058770000756,0.7193700867015496,0.1588433052753975,0.06248578145142944,0.00462576780162281,0.0,0.9149691939810894,SOURCE_CAL
B1,D1_SLEEPEDF_TO_ISRUC,42,0.05,0.950026541290665,1.4197315538029878,1.0,0.023786051919820025,0.6792042668284421,0.1755264022648568,0.09666085286014003,0.02462020676929299,0.0002022193574479917,0.961455287023525,SOURCE_CAL
B1,D1_SLEEPEDF_TO_ISRUC,2026,0.1,0.9000278051616492,1.2861403907889082,1.0,0.05631809104926569,0.6862061120800789,0.17636055711432977,0.07724779454513284,0.0038674452111928416,0.0,0.905291128359987,SOURCE_CAL
B1,D1_SLEEPEDF_TO_ISRUC,2026,0.05,0.950001263870984,1.4841636965698541,1.0,0.025100477743231972,0.6386087308207579,0.18664846692449635,0.12636182098531382,0.02322994868683805,5.055483936199793e-05,0.9546581753371367,SOURCE_CAL
B0,D2_ISRUC_TO_SLEEPEDF,17,0.1,0.9001011349589841,1.6912012585683784,2.0,0.015057871670974266,0.409821328239128,0.4508371727160355,0.11742892459826947,0.0068547027755927635,0.0,0.9350399483797552,SOURCE_CAL
B0,D2_ISRUC_TO_SLEEPEDF,17,0.05,0.9501067535678166,2.0340487695246656,2.0,0.004944375772558714,0.2690189908978537,0.44870210135970334,0.24272390156197327,0.03359928081806945,0.0010113495898415553,0.9721573654640037,SOURCE_CAL
B0,D2_ISRUC_TO_SLEEPEDF,42,0.1,0.8999887627823351,1.7117653668951567,2.0,0.013372289021238342,0.4063377907630071,0.4424092594673559,0.13091358579615686,0.006967074952241825,0.0,0.9404154359198005,SOURCE_CAL
B0,D2_ISRUC_TO_SLEEPEDF,42,0.05,0.9499943813911675,2.0571974379143723,2.0,0.003708281829419036,0.2630632655354534,0.4448814473536352,0.2500280930441623,0.03730756264748848,0.0010113495898415553,0.9757422098583807,SOURCE_CAL
B0,D2_ISRUC_TO_SLEEPEDF,2026,0.1,0.8999887627823351,1.755927632318238,2.0,0.018316664793797056,0.38206540060680977,0.4321833913922913,0.16024272390156197,0.007191819305539949,0.0,0.8982233774689425,SOURCE_CAL
B0,D2_ISRUC_TO_SLEEPEDF,2026,0.05,0.9499943813911675,2.1098999887627823,2.0,0.00662995842229464,0.26767052477806497,0.38554893808293067,0.28992021575457916,0.04978087425553433,0.0004494887065962468,0.9466702473770523,SOURCE_CAL
