experiment,variant,seed,temperature,aps_q_0.10,aps_q_0.05
D1_SLEEPEDF_TO_ISRUC,B0_W,17,1.3915207163504602,0.9999757097873315,0.9999986027828152
D1_SLEEPEDF_TO_ISRUC,B1_W,17,1.3915207163504602,0.9999757097873315,0.9999986027828152
D1_SLEEPEDF_TO_ISRUC,B0_W,42,1.2818682602172917,0.9999148935234922,0.9999916993636493
D1_SLEEPEDF_TO_ISRUC,B1_W,42,1.2818682602172917,0.9999148935234922,0.9999916993636493
D1_SLEEPEDF_TO_ISRUC,B0_W,2026,1.1033294788627153,0.9998741783148426,0.9999883027160066
D1_SLEEPEDF_TO_ISRUC,B1_W,2026,1.1033294788627153,0.9998741783148426,0.9999883027160066
D2_ISRUC_TO_SLEEPEDF,B0_W,17,1.086384102496626,0.9966296324383898,0.9989655589773995
D2_ISRUC_TO_SLEEPEDF,B1_W,17,1.086384102496626,0.9966296324383898,0.9989655589773995
D2_ISRUC_TO_SLEEPEDF,B0_W,42,1.3755444796482637,0.9991011186960079,0.9998597495246303
D2_ISRUC_TO_SLEEPEDF,B1_W,42,1.3755444796482637,0.9991011186960079,0.9998597495246303
D2_ISRUC_TO_SLEEPEDF,B0_W,2026,1.2912280528862765,0.9985757362549851,0.9997402979691989
D2_ISRUC_TO_SLEEPEDF,B1_W,2026,1.2912280528862765,0.9985757362549851,0.9997402979691989
