job_id,experiment,variant,seed,selected_epoch,selected_dev_macro_f1,selected_dev_nll,epochs_executed,checkpoint_sha256,normalization_sha256,initialization_sha256,protocol_sha256,status,wall_clock_seconds
R2_D1_SLEEPEDF_TO_ISRUC_B0_W_SEED_17,D1_SLEEPEDF_TO_ISRUC,B0_W,17,9,0.7315511331298279,0.7168090600188872,15,e958e3896bd4e5318a87914cf5f4f88a625f7617dd885bec0bd40e5db2c36cf7,4298b1eb4726531c45a312028f9e0c6b25e46c71657de17d26a447d835991707,5bc6fa67fbacf3d071edd519341235ef78b292d7951cfa56c76c1725e228204c,c5cad2d75cdc5c6100caebaac2f1ea16d292b8d3a69d5d2bda283587dcfe004b,COMPLETE,881.5787858963013
R2_D1_SLEEPEDF_TO_ISRUC_B0_W_SEED_42,D1_SLEEPEDF_TO_ISRUC,B0_W,42,8,0.7172256224611036,0.6031359872227838,14,104fa722afe9ae256e41e8102224da148670e492f943a56f9beb3715dfdc1a61,4298b1eb4726531c45a312028f9e0c6b25e46c71657de17d26a447d835991707,5401f3196abc5998856b3e6196cd4a2cd1f6b0d616c564daf35867bcf6563580,c5cad2d75cdc5c6100caebaac2f1ea16d292b8d3a69d5d2bda283587dcfe004b,COMPLETE,834.5062811374664
R2_D1_SLEEPEDF_TO_ISRUC_B0_W_SEED_2026,D1_SLEEPEDF_TO_ISRUC,B0_W,2026,6,0.726661053572862,0.5701772932829822,12,d8db49560a535f1e33d92c811752cdf0e2529b9004c06d7091d8e8e935d365e6,4298b1eb4726531c45a312028f9e0c6b25e46c71657de17d26a447d835991707,61d98ae233e4074d37a59bbf5d7cf85af6b32980371ee4810ce6dc0d82673ede,c5cad2d75cdc5c6100caebaac2f1ea16d292b8d3a69d5d2bda283587dcfe004b,COMPLETE,702.2615258693695
R2_D1_SLEEPEDF_TO_ISRUC_B1_W_SEED_17,D1_SLEEPEDF_TO_ISRUC,B1_W,17,10,0.7427101702219179,0.5020641012681597,16,8928971e93b5c376fd94a563121c7e972453c9b42a9e4db664f4a80418eb3512,4298b1eb4726531c45a312028f9e0c6b25e46c71657de17d26a447d835991707,5bc6fa67fbacf3d071edd519341235ef78b292d7951cfa56c76c1725e228204c,c5cad2d75cdc5c6100caebaac2f1ea16d292b8d3a69d5d2bda283587dcfe004b,COMPLETE,888.9537982940674
R2_D1_SLEEPEDF_TO_ISRUC_B1_W_SEED_42,D1_SLEEPEDF_TO_ISRUC,B1_W,42,12,0.7392668325128628,0.5597290747826181,18,3dac7d6c4b4263afdc83f380196cdfa2bd9f707044d3ccb3e65ba48efb285b95,4298b1eb4726531c45a312028f9e0c6b25e46c71657de17d26a447d835991707,5401f3196abc5998856b3e6196cd4a2cd1f6b0d616c564daf35867bcf6563580,c5cad2d75cdc5c6100caebaac2f1ea16d292b8d3a69d5d2bda283587dcfe004b,COMPLETE,852.2777581214905
R2_D1_SLEEPEDF_TO_ISRUC_B1_W_SEED_2026,D1_SLEEPEDF_TO_ISRUC,B1_W,2026,9,0.7388200560166331,0.5851118573263906,15,a420811df52e1aca38f0256107f995d6911907dda16c9a0724c93b8e7fb98c31,4298b1eb4726531c45a312028f9e0c6b25e46c71657de17d26a447d835991707,61d98ae233e4074d37a59bbf5d7cf85af6b32980371ee4810ce6dc0d82673ede,c5cad2d75cdc5c6100caebaac2f1ea16d292b8d3a69d5d2bda283587dcfe004b,COMPLETE,711.6764485836029
R2_D2_ISRUC_TO_SLEEPEDF_B0_W_SEED_17,D2_ISRUC_TO_SLEEPEDF,B0_W,17,4,0.7434193001114223,0.6043393730400739,10,4fe8d46abaf277a61d108818bf0e120ace67f6f40886c918c7ebbbeae42783c1,9b2b949d44a12ca1dcd0228a2ada794ef36caa8efeaae5ea6bf2e53944c28f9a,5bc6fa67fbacf3d071edd519341235ef78b292d7951cfa56c76c1725e228204c,c5cad2d75cdc5c6100caebaac2f1ea16d292b8d3a69d5d2bda283587dcfe004b,COMPLETE,194.27573466300964
R2_D2_ISRUC_TO_SLEEPEDF_B0_W_SEED_42,D2_ISRUC_TO_SLEEPEDF,B0_W,42,10,0.7544664469558959,0.6395396579574768,16,b109363fd2d9dbf609081bf837c30d6ac6d2a1455015cd73382a2b0e7c3c9462,9b2b949d44a12ca1dcd0228a2ada794ef36caa8efeaae5ea6bf2e53944c28f9a,5401f3196abc5998856b3e6196cd4a2cd1f6b0d616c564daf35867bcf6563580,c5cad2d75cdc5c6100caebaac2f1ea16d292b8d3a69d5d2bda283587dcfe004b,COMPLETE,311.85511779785156
R2_D2_ISRUC_TO_SLEEPEDF_B0_W_SEED_2026,D2_ISRUC_TO_SLEEPEDF,B0_W,2026,8,0.7497880941488817,0.6027420680384991,14,cc69ff954625657698134cd535fed8d206f59cd1a63f24f98c315b249b7939c9,9b2b949d44a12ca1dcd0228a2ada794ef36caa8efeaae5ea6bf2e53944c28f9a,61d98ae233e4074d37a59bbf5d7cf85af6b32980371ee4810ce6dc0d82673ede,c5cad2d75cdc5c6100caebaac2f1ea16d292b8d3a69d5d2bda283587dcfe004b,COMPLETE,278.93647384643555
R2_D2_ISRUC_TO_SLEEPEDF_B1_W_SEED_17,D2_ISRUC_TO_SLEEPEDF,B1_W,17,14,0.748220139611166,0.6346840862579403,20,6b5257fa7b5bb9b86628516a5da64ca1e3ef05dc8b0589cc0e6234e56e3233c3,9b2b949d44a12ca1dcd0228a2ada794ef36caa8efeaae5ea6bf2e53944c28f9a,5bc6fa67fbacf3d071edd519341235ef78b292d7951cfa56c76c1725e228204c,c5cad2d75cdc5c6100caebaac2f1ea16d292b8d3a69d5d2bda283587dcfe004b,COMPLETE,400.99086022377014
