dataset,phase,Wake,N1,N2,N3,REM,total_epochs,Wake_fraction
sleep_edf_sc,BEFORE,1997,58,250,220,125,2650,0.7535849056603774
sleep_edf_sc,AFTER,188,58,250,220,125,841,0.2235434007134364
sleep_edf_sc,BEFORE,1885,59,373,297,215,2829,0.6663131848709791
sleep_edf_sc,AFTER,183,59,373,297,215,1127,0.16237799467613132
sleep_edf_sc,BEFORE,1856,109,562,105,170,2802,0.662384011420414
sleep_edf_sc,AFTER,157,109,562,105,170,1103,0.14233907524932005
sleep_edf_sc,BEFORE,1824,92,660,96,176,2848,0.6404494382022472
sleep_edf_sc,AFTER,162,92,660,96,176,1186,0.13659359190556492
sleep_edf_sc,BEFORE,1907,94,545,95,163,2804,0.6800998573466477
sleep_edf_sc,AFTER,128,94,545,95,163,1025,0.1248780487804878
sleep_edf_sc,BEFORE,1871,184,402,119,179,2755,0.6791288566243194
sleep_edf_sc,AFTER,125,184,402,119,179,1009,0.12388503468780972
sleep_edf_sc,BEFORE,2008,61,485,57,209,2820,0.7120567375886525
sleep_edf_sc,AFTER,140,61,485,57,209,952,0.14705882352941177
sleep_edf_sc,BEFORE,1957,45,400,131,199,2732,0.7163250366032211
sleep_edf_sc,AFTER,136,45,400,131,199,911,0.14928649835345773
sleep_edf_sc,BEFORE,1534,166,620,53,196,2569,0.5971195017516543
sleep_edf_sc,AFTER,200,166,620,53,196,1235,0.16194331983805668
sleep_edf_sc,BEFORE,1773,137,514,94,270,2788,0.6359397417503587
sleep_edf_sc,AFTER,185,137,514,94,270,1200,0.15416666666666667
sleep_edf_sc,BEFORE,2258,44,217,135,68,2722,0.8295371050698016
sleep_edf_sc,AFTER,208,44,217,135,68,672,0.30952380952380953
sleep_edf_sc,BEFORE,1780,114,616,114,180,2804,0.6348074179743224
sleep_edf_sc,AFTER,222,114,616,114,180,1246,0.1781701444622793
sleep_edf_sc,BEFORE,2069,56,407,136,102,2770,0.7469314079422382
sleep_edf_sc,AFTER,142,56,407,136,102,843,0.16844602609727166
sleep_edf_sc,BEFORE,2007,90,417,129,187,2830,0.7091872791519435
sleep_edf_sc,AFTER,193,90,417,129,187,1016,0.18996062992125984
sleep_edf_sc,BEFORE,1958,89,403,162,198,2810,0.6967971530249111
sleep_edf_sc,AFTER,124,89,403,162,198,976,0.12704918032786885
sleep_edf_sc,BEFORE,1904,84,392,222,168,2770,0.6873646209386282
sleep_edf_sc,AFTER,407,84,392,222,168,1273,0.3197172034564022
sleep_edf_sc,BEFORE,1985,68,262,350,131,2796,0.7099427753934192
sleep_edf_sc,AFTER,323,68,262,350,131,1134,0.2848324514991182
sleep_edf_sc,BEFORE,1724,39,329,282,260,2634,0.6545178435839029
sleep_edf_sc,AFTER,144,39,329,282,260,1054,0.1366223908918406
sleep_edf_sc,BEFORE,1739,19,561,170,232,2721,0.6391032708563028
sleep_edf_sc,AFTER,150,19,561,170,232,1132,0.13250883392226148
sleep_edf_sc,BEFORE,1079,81,512,107,265,2044,0.5278864970645792
sleep_edf_sc,AFTER,139,81,512,107,265,1104,0.12590579710144928
sleep_edf_sc,BEFORE,1770,65,671,6,207,2719,0.6509746230231703
sleep_edf_sc,AFTER,155,65,671,6,207,1104,0.1403985507246377
sleep_edf_sc,BEFORE,1909,117,607,25,199,2857,0.6681834091704585
sleep_edf_sc,AFTER,144,117,607,25,199,1092,0.13186813186813187
sleep_edf_sc,BEFORE,1839,13,502,129,158,2641,0.69632714880727
sleep_edf_sc,AFTER,126,13,502,129,158,928,0.13577586206896552
sleep_edf_sc,BEFORE,2104,18,396,111,151,2780,0.7568345323741007
sleep_edf_sc,AFTER,126,18,396,111,151,802,0.1571072319201995
sleep_edf_sc,BEFORE,1809,48,463,107,258,2685,0.6737430167597765
sleep_edf_sc,AFTER,176,48,463,107,258,1052,0.16730038022813687
sleep_edf_sc,BEFORE,1919,121,287,80,199,2606,0.7363775901765157
sleep_edf_sc,AFTER,290,121,287,80,199,977,0.2968270214943705
sleep_edf_sc,BEFORE,1941,57,497,147,172,2814,0.6897654584221748
sleep_edf_sc,AFTER,155,57,497,147,172,1028,0.1507782101167315
sleep_edf_sc,BEFORE,1939,29,404,151,233,2756,0.70355587808418
sleep_edf_sc,AFTER,187,29,404,151,233,1004,0.18625498007968128
sleep_edf_sc,BEFORE,2003,27,386,145,213,2774,0.7220620043258832
sleep_edf_sc,AFTER,181,27,386,145,213,952,0.19012605042016806
sleep_edf_sc,BEFORE,1836,41,354,177,208,2616,0.7018348623853211
sleep_edf_sc,AFTER,172,41,354,177,208,952,0.18067226890756302
sleep_edf_sc,BEFORE,1904,47,438,178,292,2859,0.6659671213711088
sleep_edf_sc,AFTER,807,47,438,178,292,1762,0.45800227014755956
sleep_edf_sc,BEFORE,1693,55,448,165,260,2621,0.6459366653948875
sleep_edf_sc,AFTER,216,55,448,165,260,1144,0.1888111888111888
