dataset,stage,class,count,proportion
isruc_s1,AFTER,Wake,264,0.003030094346119413
isruc_s1,AFTER,N1,73,0.0008378669972224135
isruc_s1,AFTER,N2,194,0.002226660239193811
isruc_s1,AFTER,N3,231,0.0026513325528544868
isruc_s1,AFTER,REM,118,0.0013543603516745861
isruc_s1,AFTER,Wake,195,0.0022381378692927483
isruc_s1,AFTER,N1,115,0.0013199274613777748
isruc_s1,AFTER,N2,345,0.003959782384133324
isruc_s1,AFTER,N3,157,0.001801987925533136
isruc_s1,AFTER,REM,102,0.0011707182700915915
isruc_s1,AFTER,Wake,132,0.0015150471730597066
isruc_s1,AFTER,N1,165,0.0018938089663246332
isruc_s1,AFTER,N2,246,0.002823497004338544
isruc_s1,AFTER,N3,173,0.0019856300071161305
isruc_s1,AFTER,REM,227,0.002605422032458738
isruc_s1,AFTER,Wake,28,0.0003213736427702408
isruc_s1,AFTER,N1,65,0.0007460459564309161
isruc_s1,AFTER,N2,426,0.004889470422147235
isruc_s1,AFTER,N3,214,0.0024562128411725545
isruc_s1,AFTER,REM,230,0.0026398549227555496
isruc_s1,AFTER,Wake,206,0.0023643918003810574
isruc_s1,AFTER,N1,108,0.0012395840506852144
isruc_s1,AFTER,N2,265,0.0030415719762183504
isruc_s1,AFTER,N3,164,0.001882331336225696
isruc_s1,AFTER,REM,42,0.0004820604641553612
isruc_s1,AFTER,Wake,124,0.0014232261322682093
isruc_s1,AFTER,N1,16,0.00018364208158299476
isruc_s1,AFTER,N2,60,0.0006886578059362303
isruc_s1,AFTER,N3,99,0.00113628537979478
isruc_s1,AFTER,REM,0,0.0
isruc_s1,AFTER,Wake,134,0.001538002433257581
isruc_s1,AFTER,N1,171,0.001962674746918256
isruc_s1,AFTER,N2,205,0.0023529141702821202
isruc_s1,AFTER,N3,234,0.0026857654431512983
isruc_s1,AFTER,REM,189,0.0021692720886991256
isruc_s1,AFTER,Wake,221,0.002536556251865115
isruc_s1,AFTER,N1,126,0.0014461813924660837
isruc_s1,AFTER,N2,281,0.003225214057801345
isruc_s1,AFTER,N3,214,0.0024562128411725545
isruc_s1,AFTER,REM,62,0.0007116130661341046
isruc_s1,AFTER,Wake,150,0.0017216445148405758
isruc_s1,AFTER,N1,173,0.0019856300071161305
isruc_s1,AFTER,N2,341,0.003913871863737576
isruc_s1,AFTER,N3,159,0.0018249431857310103
isruc_s1,AFTER,REM,146,0.001675733994444827
isruc_s1,AFTER,Wake,294,0.0033744232490875285
isruc_s1,AFTER,N1,90,0.0010329867089043454
isruc_s1,AFTER,N2,308,0.0035351100704726487
isruc_s1,AFTER,N3,96,0.0011018524894979684
isruc_s1,AFTER,REM,28,0.0003213736427702408
isruc_s1,AFTER,Wake,303,0.0034777219199779628
isruc_s1,AFTER,N1,96,0.0011018524894979684
isruc_s1,AFTER,N2,274,0.003144870647108785
isruc_s1,AFTER,N3,209,0.002398824690677869
isruc_s1,AFTER,REM,87,0.0009985538186075339
isruc_s1,AFTER,Wake,167,0.0019167642265225076
isruc_s1,AFTER,N1,79,0.0009067327778160366
isruc_s1,AFTER,N2,149,0.0017101668847416386
isruc_s1,AFTER,N3,334,0.0038335284530450152
isruc_s1,AFTER,REM,121,0.0013887932419713977
isruc_s1,AFTER,Wake,493,0.005658471638776025
isruc_s1,AFTER,N1,111,0.001274016940982026
isruc_s1,AFTER,N2,39,0.0004476275738585497
isruc_s1,AFTER,N3,64,0.000734568326331979
isruc_s1,AFTER,REM,17,0.00019511971168193192
isruc_s1,AFTER,Wake,380,0.004361499437596125
isruc_s1,AFTER,N1,112,0.0012854945710809632
isruc_s1,AFTER,N2,181,0.002077451047907628
isruc_s1,AFTER,N3,104,0.001193673530289466
isruc_s1,AFTER,REM,49,0.0005624038748479214
isruc_s1,AFTER,Wake,188,0.0021577944586001884
isruc_s1,AFTER,N1,85,0.0009755985584096596
isruc_s1,AFTER,N2,158,0.0018134655556320731
isruc_s1,AFTER,N3,181,0.002077451047907628
isruc_s1,AFTER,REM,169,0.001939719486720382
isruc_s1,AFTER,Wake,157,0.001801987925533136
isruc_s1,AFTER,N1,154,0.0017675550352363244
isruc_s1,AFTER,N2,329,0.0037761403025503293
isruc_s1,AFTER,N3,120,0.0013773156118724605
isruc_s1,AFTER,REM,123,0.001411748502169272
isruc_s1,AFTER,Wake,376,0.004315588917200377
isruc_s1,AFTER,N1,159,0.0018249431857310103
isruc_s1,AFTER,N2,212,0.0024332575809746806
isruc_s1,AFTER,N3,55,0.0006312696554415444
isruc_s1,AFTER,REM,49,0.0005624038748479214
isruc_s1,AFTER,Wake,136,0.0015609576934554554
isruc_s1,AFTER,N1,108,0.0012395840506852144
isruc_s1,AFTER,N2,438,0.005027201983334481
isruc_s1,AFTER,N3,154,0.0017675550352363244
isruc_s1,AFTER,REM,163,0.0018708537061267589
isruc_s1,AFTER,Wake,338,0.003879438973440764
isruc_s1,AFTER,N1,150,0.0017216445148405758
isruc_s1,AFTER,N2,191,0.0021922273488969996
isruc_s1,AFTER,N3,68,0.0007804788467277277
isruc_s1,AFTER,REM,81,0.0009296880380139109
isruc_s1,AFTER,Wake,271,0.0031104377568119735
isruc_s1,AFTER,N1,98,0.0011248077496958428
isruc_s1,AFTER,N2,152,0.00174459977503845
isruc_s1,AFTER,N3,309,0.003546587700571586
isruc_s1,AFTER,REM,120,0.0013773156118724605
isruc_s1,AFTER,Wake,377,0.004327066547299314
isruc_s1,AFTER,N1,137,0.0015724353235543925
isruc_s1,AFTER,N2,180,0.002065973417808691
isruc_s1,AFTER,N3,141,0.001618345843950141
isruc_s1,AFTER,REM,219,0.0025136009916672405
isruc_s1,AFTER,Wake,227,0.002605422032458738
isruc_s1,AFTER,N1,67,0.0007690012166287905
isruc_s1,AFTER,N2,301,0.003454766659780089
isruc_s1,AFTER,N3,107,0.0012281064205862773
isruc_s1,AFTER,REM,68,0.0007804788467277277
isruc_s1,AFTER,Wake,259,0.0029727061956247272
isruc_s1,AFTER,N1,114,0.0013084498312788376
isruc_s1,AFTER,N2,312,0.0035810205908683975
isruc_s1,AFTER,N3,65,0.0007460459564309161
isruc_s1,AFTER,REM,135,0.0015494800633565182
isruc_s1,AFTER,Wake,200,0.0022955260197874343
isruc_s1,AFTER,N1,85,0.0009755985584096596
isruc_s1,AFTER,N2,244,0.00280054174414067
isruc_s1,AFTER,N3,134,0.001538002433257581
isruc_s1,AFTER,REM,167,0.0019167642265225076
isruc_s1,AFTER,Wake,136,0.0015609576934554554
isruc_s1,AFTER,N1,61,0.0007001354360351674
isruc_s1,AFTER,N2,294,0.0033744232490875285
isruc_s1,AFTER,N3,134,0.001538002433257581
isruc_s1,AFTER,REM,296,0.003397378509285403
isruc_s1,AFTER,Wake,303,0.0034777219199779628
isruc_s1,AFTER,N1,215,0.0024676904712714917
isruc_s1,AFTER,N2,208,0.002387347060578932
isruc_s1,AFTER,N3,165,0.0018938089663246332
isruc_s1,AFTER,REM,171,0.001962674746918256
isruc_s1,AFTER,Wake,289,0.0033170350985928425
isruc_s1,AFTER,N1,57,0.0006542249156394188
isruc_s1,AFTER,N2,218,0.0025021233615683033
isruc_s1,AFTER,N3,239,0.002743153593645984
isruc_s1,AFTER,REM,104,0.001193673530289466
isruc_s1,AFTER,Wake,61,0.0007001354360351674
isruc_s1,AFTER,N1,97,0.0011133301195969056
isruc_s1,AFTER,N2,174,0.0019971076372150677
isruc_s1,AFTER,N3,217,0.002490645731469366
isruc_s1,AFTER,REM,333,0.003822050822946078
isruc_s1,AFTER,Wake,241,0.0027661088538438582
isruc_s1,AFTER,N1,203,0.002329958910084246
isruc_s1,AFTER,N2,259,0.0029727061956247272
isruc_s1,AFTER,N3,174,0.0019971076372150677
isruc_s1,AFTER,REM,35,0.000401717053462801
isruc_s1,AFTER,Wake,271,0.0031104377568119735
isruc_s1,AFTER,N1,124,0.0014232261322682093
isruc_s1,AFTER,N2,344,0.003948304754034387
isruc_s1,AFTER,N3,72,0.0008263893671234763
isruc_s1,AFTER,REM,71,0.0008149117370245391
isruc_s1,AFTER,Wake,91,0.0010444643390032826
isruc_s1,AFTER,N1,154,0.0017675550352363244
isruc_s1,AFTER,N2,401,0.004602529669673806
isruc_s1,AFTER,N3,118,0.0013543603516745861
isruc_s1,AFTER,REM,113,0.0012969722011799004
isruc_s1,AFTER,Wake,52,0.000596836765144733
isruc_s1,AFTER,N1,224,0.0025709891421619264
isruc_s1,AFTER,N2,466,0.005348575626104722
isruc_s1,AFTER,N3,130,0.0014920919128618322
isruc_s1,AFTER,REM,138,0.0015839129536533297
isruc_s1,AFTER,Wake,244,0.00280054174414067
isruc_s1,AFTER,N1,54,0.0006197920253426072
isruc_s1,AFTER,N2,267,0.0030645272364162248
isruc_s1,AFTER,N3,90,0.0010329867089043454
isruc_s1,AFTER,REM,55,0.0006312696554415444
isruc_s1,AFTER,Wake,78,0.0008952551477170994
isruc_s1,AFTER,N1,163,0.0018708537061267589
isruc_s1,AFTER,N2,331,0.0037990955627482037
isruc_s1,AFTER,N3,175,0.002008585267314005
isruc_s1,AFTER,REM,124,0.0014232261322682093
isruc_s1,AFTER,Wake,306,0.0035121548102747743
isruc_s1,AFTER,N1,88,0.001010031448706471
