dataset,subject,roles_seen,status
isruc_s1,I001,TRAIN,PASS
isruc_s1,I002,TRAIN,PASS
isruc_s1,I003,DEV,PASS
isruc_s1,I004,TRAIN,PASS
isruc_s1,I005,TRAIN,PASS
isruc_s1,I006,TEST,PASS
isruc_s1,I007,TRAIN,PASS
isruc_s1,I008,TRAIN,PASS
isruc_s1,I009,CALIBRATION,PASS
isruc_s1,I010,TRAIN,PASS
isruc_s1,I011,TRAIN,PASS
isruc_s1,I012,TRAIN,PASS
isruc_s1,I013,TRAIN,PASS
isruc_s1,I014,TRAIN,PASS
isruc_s1,I015,TRAIN,PASS
isruc_s1,I016,DEV,PASS
isruc_s1,I017,TEST,PASS
isruc_s1,I018,CALIBRATION,PASS
isruc_s1,I019,TRAIN,PASS
isruc_s1,I020,TRAIN,PASS
isruc_s1,I021,TEST,PASS
isruc_s1,I022,TEST,PASS
isruc_s1,I023,TRAIN,PASS
isruc_s1,I024,TRAIN,PASS
isruc_s1,I025,TRAIN,PASS
isruc_s1,I026,DEV,PASS
isruc_s1,I027,TRAIN,PASS
isruc_s1,I028,DEV,PASS
isruc_s1,I029,TEST,PASS
isruc_s1,I030,TRAIN,PASS
isruc_s1,I031,CALIBRATION,PASS
isruc_s1,I032,DEV,PASS
isruc_s1,I033,DEV,PASS
isruc_s1,I034,TEST,PASS
isruc_s1,I035,DEV,PASS
isruc_s1,I036,TEST,PASS
isruc_s1,I037,TRAIN,PASS
isruc_s1,I038,TEST,PASS
isruc_s1,I039,TRAIN,PASS
isruc_s1,I041,TRAIN,PASS
isruc_s1,I042,TRAIN,PASS
isruc_s1,I043,CALIBRATION,PASS
isruc_s1,I044,CALIBRATION,PASS
isruc_s1,I045,TEST,PASS
isruc_s1,I046,TRAIN,PASS
isruc_s1,I047,DEV,PASS
isruc_s1,I048,DEV,PASS
isruc_s1,I049,TEST,PASS
isruc_s1,I050,TRAIN,PASS
isruc_s1,I051,TRAIN,PASS
isruc_s1,I052,TRAIN,PASS
isruc_s1,I053,DEV,PASS
isruc_s1,I054,CALIBRATION,PASS
isruc_s1,I055,DEV,PASS
isruc_s1,I056,DEV,PASS
isruc_s1,I057,TRAIN,PASS
isruc_s1,I058,TRAIN,PASS
isruc_s1,I059,CALIBRATION,PASS
isruc_s1,I060,TRAIN,PASS
isruc_s1,I061,TEST,PASS
isruc_s1,I062,TEST,PASS
isruc_s1,I063,TRAIN,PASS
isruc_s1,I064,TRAIN,PASS
isruc_s1,I065,TEST,PASS
isruc_s1,I066,TRAIN,PASS
isruc_s1,I067,TRAIN,PASS
isruc_s1,I068,TRAIN,PASS
isruc_s1,I069,TRAIN,PASS
isruc_s1,I070,TRAIN,PASS
isruc_s1,I071,TRAIN,PASS
isruc_s1,I072,CALIBRATION,PASS
isruc_s1,I073,TRAIN,PASS
isruc_s1,I074,TRAIN,PASS
isruc_s1,I075,TRAIN,PASS
isruc_s1,I076,TRAIN,PASS
isruc_s1,I077,DEV,PASS
isruc_s1,I078,TRAIN,PASS
isruc_s1,I079,TRAIN,PASS
isruc_s1,I080,TRAIN,PASS
isruc_s1,I081,TRAIN,PASS
isruc_s1,I082,TRAIN,PASS
isruc_s1,I083,TRAIN,PASS
isruc_s1,I084,TEST,PASS
isruc_s1,I085,TRAIN,PASS
isruc_s1,I086,TRAIN,PASS
isruc_s1,I087,DEV,PASS
isruc_s1,I088,DEV,PASS
isruc_s1,I089,TRAIN,PASS
isruc_s1,I090,TRAIN,PASS
isruc_s1,I091,TRAIN,PASS
isruc_s1,I092,CALIBRATION,PASS
isruc_s1,I093,CALIBRATION,PASS
isruc_s1,I094,TEST,PASS
isruc_s1,I095,TRAIN,PASS
isruc_s1,I096,TRAIN,PASS
isruc_s1,I097,TRAIN,PASS
isruc_s1,I098,TRAIN,PASS
isruc_s1,I099,TRAIN,PASS
isruc_s1,I100,TRAIN,PASS
sleep_edf_sc,SC_00,TEST,PASS
sleep_edf_sc,SC_01,CALIBRATION,PASS
sleep_edf_sc,SC_02,TEST,PASS
sleep_edf_sc,SC_03,TRAIN,PASS
sleep_edf_sc,SC_04,TRAIN,PASS
sleep_edf_sc,SC_05,TRAIN,PASS
sleep_edf_sc,SC_06,TRAIN,PASS
sleep_edf_sc,SC_07,TRAIN,PASS
sleep_edf_sc,SC_08,DEV,PASS
sleep_edf_sc,SC_09,DEV,PASS
sleep_edf_sc,SC_10,DEV,PASS
sleep_edf_sc,SC_11,DEV,PASS
sleep_edf_sc,SC_12,TRAIN,PASS
sleep_edf_sc,SC_13,TRAIN,PASS
sleep_edf_sc,SC_14,TEST,PASS
sleep_edf_sc,SC_15,DEV,PASS
sleep_edf_sc,SC_16,TEST,PASS
sleep_edf_sc,SC_17,CALIBRATION,PASS
sleep_edf_sc,SC_18,TRAIN,PASS
sleep_edf_sc,SC_19,DEV,PASS
sleep_edf_sc,SC_20,DEV,PASS
sleep_edf_sc,SC_21,TRAIN,PASS
sleep_edf_sc,SC_22,DEV,PASS
sleep_edf_sc,SC_23,TRAIN,PASS
sleep_edf_sc,SC_24,TRAIN,PASS
sleep_edf_sc,SC_25,TRAIN,PASS
sleep_edf_sc,SC_26,TRAIN,PASS
sleep_edf_sc,SC_27,TRAIN,PASS
sleep_edf_sc,SC_28,TRAIN,PASS
sleep_edf_sc,SC_29,DEV,PASS
sleep_edf_sc,SC_30,TEST,PASS
sleep_edf_sc,SC_31,TRAIN,PASS
sleep_edf_sc,SC_32,CALIBRATION,PASS
sleep_edf_sc,SC_33,TRAIN,PASS
sleep_edf_sc,SC_34,TEST,PASS
sleep_edf_sc,SC_35,TRAIN,PASS
sleep_edf_sc,SC_36,CALIBRATION,PASS
sleep_edf_sc,SC_37,TEST,PASS
sleep_edf_sc,SC_38,DEV,PASS
sleep_edf_sc,SC_40,TRAIN,PASS
sleep_edf_sc,SC_41,TRAIN,PASS
sleep_edf_sc,SC_42,TRAIN,PASS
sleep_edf_sc,SC_43,TEST,PASS
sleep_edf_sc,SC_44,DEV,PASS
sleep_edf_sc,SC_45,TRAIN,PASS
sleep_edf_sc,SC_46,TRAIN,PASS
sleep_edf_sc,SC_47,TRAIN,PASS
sleep_edf_sc,SC_48,TRAIN,PASS
sleep_edf_sc,SC_49,CALIBRATION,PASS
sleep_edf_sc,SC_50,TRAIN,PASS
sleep_edf_sc,SC_51,CALIBRATION,PASS
sleep_edf_sc,SC_52,TEST,PASS
sleep_edf_sc,SC_53,TEST,PASS
sleep_edf_sc,SC_54,TRAIN,PASS
sleep_edf_sc,SC_55,DEV,PASS
sleep_edf_sc,SC_56,TRAIN,PASS
sleep_edf_sc,SC_57,TRAIN,PASS
sleep_edf_sc,SC_58,TEST,PASS
sleep_edf_sc,SC_59,TRAIN,PASS
sleep_edf_sc,SC_60,TRAIN,PASS
sleep_edf_sc,SC_61,TRAIN,PASS
sleep_edf_sc,SC_62,TRAIN,PASS
sleep_edf_sc,SC_63,TRAIN,PASS
sleep_edf_sc,SC_64,TRAIN,PASS
sleep_edf_sc,SC_65,TRAIN,PASS
sleep_edf_sc,SC_66,CALIBRATION,PASS
sleep_edf_sc,SC_67,TRAIN,PASS
sleep_edf_sc,SC_70,TRAIN,PASS
sleep_edf_sc,SC_71,TRAIN,PASS
sleep_edf_sc,SC_72,TRAIN,PASS
sleep_edf_sc,SC_73,TRAIN,PASS
sleep_edf_sc,SC_74,TRAIN,PASS
sleep_edf_sc,SC_75,TRAIN,PASS
sleep_edf_sc,SC_76,TRAIN,PASS
sleep_edf_sc,SC_77,CALIBRATION,PASS
sleep_edf_sc,SC_80,TRAIN,PASS
sleep_edf_sc,SC_81,TRAIN,PASS
sleep_edf_sc,SC_82,TRAIN,PASS
