experiment,condition,seed,effect_B1W_minus_B0W
D1_SLEEPEDF_TO_ISRUC,C4,17,0.020173385624561613
D1_SLEEPEDF_TO_ISRUC,C4,42,0.08875367483540458
D1_SLEEPEDF_TO_ISRUC,C4,2026,0.07019730600271179
D1_SLEEPEDF_TO_ISRUC,C5,17,0.03738787943893673
D1_SLEEPEDF_TO_ISRUC,C5,42,0.11159439951274563
D1_SLEEPEDF_TO_ISRUC,C5,2026,-0.03364112583129486
D2_ISRUC_TO_SLEEPEDF,C4,17,0.03693446213705687
D2_ISRUC_TO_SLEEPEDF,C4,42,0.018439168171134113
D2_ISRUC_TO_SLEEPEDF,C4,2026,0.018796590138758784
D2_ISRUC_TO_SLEEPEDF,C5,17,0.00824419295339418
D2_ISRUC_TO_SLEEPEDF,C5,42,-0.024409835878576924
D2_ISRUC_TO_SLEEPEDF,C5,2026,0.02907945987616023
