dataset,subject_id,recording_id,valid_epochs,covered_epochs,excluded_short_segment_epochs,excluded_short_segment_percent,contiguous_segments,train_sequences_stride10,evaluation_windows_stride1,status
sleep_edf_sc,SC_00,SC4001E0,2650,2650,0,0.0,1,264,2631,PASS
sleep_edf_sc,SC_00,SC4002E0,2829,2829,0,0.0,2,281,2810,PASS
sleep_edf_sc,SC_01,SC4011E0,2802,2802,0,0.0,1,279,2783,PASS
sleep_edf_sc,SC_01,SC4012E0,2848,2848,0,0.0,1,283,2829,PASS
sleep_edf_sc,SC_02,SC4021E0,2804,2804,0,0.0,1,279,2785,PASS
sleep_edf_sc,SC_02,SC4022E0,2755,2755,0,0.0,2,274,2736,PASS
sleep_edf_sc,SC_03,SC4031E0,2820,2820,0,0.0,1,281,2801,PASS
sleep_edf_sc,SC_03,SC4032E0,2732,2732,0,0.0,1,272,2713,PASS
sleep_edf_sc,SC_04,SC4041E0,2569,2569,0,0.0,2,255,2550,PASS
sleep_edf_sc,SC_04,SC4042E0,2788,2788,0,0.0,5,277,2769,PASS
sleep_edf_sc,SC_05,SC4051E0,2722,2722,0,0.0,1,271,2703,PASS
sleep_edf_sc,SC_05,SC4052E0,2804,2804,0,0.0,3,279,2785,PASS
sleep_edf_sc,SC_06,SC4061E0,2770,2770,0,0.0,1,276,2751,PASS
sleep_edf_sc,SC_06,SC4062E0,2830,2830,0,0.0,1,282,2811,PASS
sleep_edf_sc,SC_07,SC4071E0,2810,2810,0,0.0,1,280,2791,PASS
sleep_edf_sc,SC_07,SC4072E0,2770,2770,0,0.0,1,276,2751,PASS
sleep_edf_sc,SC_08,SC4081E0,2796,2796,0,0.0,1,278,2777,PASS
sleep_edf_sc,SC_08,SC4082E0,2634,2634,0,0.0,1,262,2615,PASS
sleep_edf_sc,SC_09,SC4091E0,2721,2721,24,0.8820286659316428,11,271,2702,PASS
sleep_edf_sc,SC_09,SC4092E0,2044,2044,53,2.592954990215264,14,203,2025,PASS
sleep_edf_sc,SC_10,SC4101E0,2719,2719,0,0.0,2,270,2700,PASS
sleep_edf_sc,SC_10,SC4102E0,2857,2857,0,0.0,2,284,2838,PASS
sleep_edf_sc,SC_11,SC4111E0,2641,2641,0,0.0,2,263,2622,PASS
sleep_edf_sc,SC_11,SC4112E0,2780,2780,0,0.0,1,277,2761,PASS
sleep_edf_sc,SC_12,SC4121E0,2685,2685,0,0.0,1,267,2666,PASS
sleep_edf_sc,SC_12,SC4122E0,2606,2606,0,0.0,1,259,2587,PASS
sleep_edf_sc,SC_13,SC4131E0,2814,2814,0,0.0,1,280,2795,PASS
sleep_edf_sc,SC_14,SC4141E0,2756,2756,0,0.0,1,274,2737,PASS
sleep_edf_sc,SC_14,SC4142E0,2774,2774,0,0.0,1,276,2755,PASS
sleep_edf_sc,SC_15,SC4151E0,2616,2616,0,0.0,5,260,2597,PASS
sleep_edf_sc,SC_15,SC4152E0,2859,2859,0,0.0,6,284,2840,PASS
sleep_edf_sc,SC_16,SC4161E0,2621,2621,0,0.0,5,261,2602,PASS
sleep_edf_sc,SC_16,SC4162E0,2750,2750,0,0.0,3,274,2731,PASS
sleep_edf_sc,SC_17,SC4171E0,2741,2741,0,0.0,2,273,2722,PASS
sleep_edf_sc,SC_17,SC4172E0,2720,2720,0,0.0,4,271,2701,PASS
sleep_edf_sc,SC_18,SC4181E0,2756,2756,0,0.0,1,274,2737,PASS
sleep_edf_sc,SC_18,SC4182E0,2842,2842,0,0.0,1,283,2823,PASS
sleep_edf_sc,SC_19,SC4191E0,2774,2774,0,0.0,1,276,2755,PASS
sleep_edf_sc,SC_19,SC4192E0,2605,2605,14,0.5374280230326296,5,259,2586,PASS
sleep_edf_sc,SC_20,SC4201E0,2803,2803,0,0.0,2,279,2784,PASS
sleep_edf_sc,SC_20,SC4202E0,2670,2670,0,0.0,1,266,2651,PASS
sleep_edf_sc,SC_21,SC4211E0,2805,2805,0,0.0,6,279,2786,PASS
sleep_edf_sc,SC_21,SC4212E0,2694,2694,0,0.0,1,268,2675,PASS
sleep_edf_sc,SC_22,SC4221E0,2700,2700,0,0.0,1,269,2681,PASS
sleep_edf_sc,SC_22,SC4222E0,2760,2760,0,0.0,1,275,2741,PASS
sleep_edf_sc,SC_23,SC4231E0,2743,2743,0,0.0,4,273,2724,PASS
sleep_edf_sc,SC_23,SC4232E0,2635,2635,31,1.1764705882352942,6,262,2616,PASS
sleep_edf_sc,SC_24,SC4241E0,2700,2700,0,0.0,3,269,2681,PASS
sleep_edf_sc,SC_24,SC4242E0,2710,2710,0,0.0,1,270,2691,PASS
sleep_edf_sc,SC_25,SC4251E0,2760,2760,0,0.0,1,275,2741,PASS
sleep_edf_sc,SC_25,SC4252E0,2665,2665,0,0.0,2,265,2646,PASS
sleep_edf_sc,SC_26,SC4261F0,2800,2800,0,0.0,1,279,2781,PASS
sleep_edf_sc,SC_26,SC4262F0,2720,2720,0,0.0,1,271,2701,PASS
sleep_edf_sc,SC_27,SC4271F0,2440,2440,0,0.0,1,243,2421,PASS
sleep_edf_sc,SC_27,SC4272F0,2870,2870,0,0.0,1,286,2851,PASS
sleep_edf_sc,SC_28,SC4281G0,2788,2788,0,0.0,1,277,2769,PASS
sleep_edf_sc,SC_28,SC4282G0,2814,2814,0,0.0,1,280,2795,PASS
sleep_edf_sc,SC_29,SC4291G0,2756,2756,0,0.0,1,274,2737,PASS
sleep_edf_sc,SC_29,SC4292G0,2807,2807,17,0.6056287851799074,4,279,2788,PASS
sleep_edf_sc,SC_30,SC4301E0,2644,2644,0,0.0,3,263,2625,PASS
sleep_edf_sc,SC_30,SC4302E0,2808,2808,0,0.0,1,279,2789,PASS
sleep_edf_sc,SC_31,SC4311E0,2670,2670,0,0.0,1,266,2651,PASS
sleep_edf_sc,SC_31,SC4312E0,2700,2700,0,0.0,1,269,2681,PASS
sleep_edf_sc,SC_32,SC4321E0,2689,2689,0,0.0,2,267,2670,PASS
sleep_edf_sc,SC_32,SC4322E0,2616,2616,0,0.0,1,260,2597,PASS
sleep_edf_sc,SC_33,SC4331F0,2809,2809,0,0.0,2,279,2790,PASS
sleep_edf_sc,SC_33,SC4332F0,2758,2758,0,0.0,3,274,2739,PASS
sleep_edf_sc,SC_34,SC4341F0,2750,2750,0,0.0,1,274,2731,PASS
sleep_edf_sc,SC_34,SC4342F0,2790,2790,0,0.0,1,278,2771,PASS
sleep_edf_sc,SC_35,SC4351F0,2710,2710,0,0.0,1,270,2691,PASS
sleep_edf_sc,SC_35,SC4352F0,2530,2530,0,0.0,3,252,2511,PASS
sleep_edf_sc,SC_36,SC4362F0,2266,2266,0,0.0,1,225,2247,PASS
sleep_edf_sc,SC_37,SC4371F0,2850,2850,0,0.0,1,284,2831,PASS
sleep_edf_sc,SC_37,SC4372F0,2840,2840,0,0.0,1,283,2821,PASS
sleep_edf_sc,SC_38,SC4381F0,2750,2750,0,0.0,1,274,2731,PASS
sleep_edf_sc,SC_38,SC4382F0,2770,2770,0,0.0,1,276,2751,PASS
sleep_edf_sc,SC_40,SC4401E0,2630,2630,0,0.0,1,262,2611,PASS
sleep_edf_sc,SC_40,SC4402E0,2790,2790,0,0.0,1,278,2771,PASS
sleep_edf_sc,SC_41,SC4411E0,2728,2728,0,0.0,1,271,2709,PASS
sleep_edf_sc,SC_41,SC4412E0,2765,2765,0,0.0,1,275,2746,PASS
sleep_edf_sc,SC_42,SC4421E0,2764,2764,0,0.0,1,275,2745,PASS
sleep_edf_sc,SC_42,SC4422E0,2682,2682,0,0.0,1,267,2663,PASS
sleep_edf_sc,SC_43,SC4431E0,2723,2723,0,0.0,1,271,2704,PASS
sleep_edf_sc,SC_43,SC4432E0,2780,2780,0,0.0,1,277,2761,PASS
sleep_edf_sc,SC_44,SC4441E0,2620,2620,0,0.0,1,261,2601,PASS
sleep_edf_sc,SC_44,SC4442E0,2778,2778,0,0.0,1,276,2759,PASS
sleep_edf_sc,SC_45,SC4451F0,2790,2790,0,0.0,1,278,2771,PASS
sleep_edf_sc,SC_45,SC4452F0,2670,2670,0,0.0,1,266,2651,PASS
sleep_edf_sc,SC_46,SC4461F0,2695,2695,0,0.0,2,268,2676,PASS
sleep_edf_sc,SC_46,SC4462F0,2854,2854,0,0.0,3,284,2835,PASS
sleep_edf_sc,SC_47,SC4471F0,2739,2739,0,0.0,2,272,2720,PASS
sleep_edf_sc,SC_47,SC4472F0,2789,2789,0,0.0,2,277,2770,PASS
sleep_edf_sc,SC_48,SC4481F0,2880,2880,0,0.0,1,287,2861,PASS
sleep_edf_sc,SC_48,SC4482F0,2880,2880,0,0.0,1,287,2861,PASS
sleep_edf_sc,SC_49,SC4491G0,2800,2800,0,0.0,1,279,2781,PASS
sleep_edf_sc,SC_49,SC4492G0,2135,2135,0,0.0,2,212,2116,PASS
sleep_edf_sc,SC_50,SC4501E0,2750,2750,0,0.0,1,274,2731,PASS
sleep_edf_sc,SC_50,SC4502E0,2770,2770,0,0.0,1,276,2751,PASS
