dataset,subject_id,recording_id,psg_acquired,official_checksum_match,hypnogram_acquired,psg_filename,matched_hypnogram_filename,pair_prefix,pair_confidence,required_channels_present,eeg_rate,eog_rate,eeg_unit,eog_unit,psg_duration_seconds,annotation_duration_seconds,first_annotation_onset_seconds,final_annotation_end_seconds,valid_source_staging_events,exact_failure_point,terminal_status
sleep_edf_sc,SC_00,SC4001E0,True,True,True,SC4001E0-PSG.edf,SC4001EC-Hypnogram.edf,SC4001E,EXACT_UNIQUE,True,100.0,100.0,uV,uV,79500.0,86400.0,0.0,86400.0,153,INCLUDED,INCLUDED
sleep_edf_sc,SC_00,SC4002E0,True,True,True,SC4002E0-PSG.edf,SC4002EC-Hypnogram.edf,SC4002E,EXACT_UNIQUE,True,100.0,100.0,uV,uV,84900.0,86400.0,0.0,86400.0,150,INCLUDED,INCLUDED
sleep_edf_sc,SC_01,SC4011E0,True,True,True,SC4011E0-PSG.edf,SC4011EH-Hypnogram.edf,SC4011E,EXACT_UNIQUE,True,100.0,100.0,uV,uV,84060.0,86400.0,0.0,86400.0,125,INCLUDED,INCLUDED
sleep_edf_sc,SC_01,SC4012E0,True,True,True,SC4012E0-PSG.edf,SC4012EC-Hypnogram.edf,SC4012E,EXACT_UNIQUE,True,100.0,100.0,uV,uV,85500.0,86400.0,0.0,86400.0,170,INCLUDED,INCLUDED
sleep_edf_sc,SC_02,SC4021E0,True,True,True,SC4021E0-PSG.edf,SC4021EH-Hypnogram.edf,SC4021E,EXACT_UNIQUE,True,100.0,100.0,uV,uV,84120.0,86400.0,0.0,86400.0,160,INCLUDED,INCLUDED
sleep_edf_sc,SC_02,SC4022E0,True,True,True,SC4022E0-PSG.edf,SC4022EJ-Hypnogram.edf,SC4022E,EXACT_UNIQUE,True,100.0,100.0,uV,uV,82680.0,86400.0,0.0,86400.0,177,INCLUDED,INCLUDED
sleep_edf_sc,SC_03,SC4031E0,True,True,True,SC4031E0-PSG.edf,SC4031EC-Hypnogram.edf,SC4031E,EXACT_UNIQUE,True,100.0,100.0,uV,uV,84600.0,86400.0,0.0,86400.0,118,INCLUDED,INCLUDED
sleep_edf_sc,SC_03,SC4032E0,True,True,True,SC4032E0-PSG.edf,SC4032EP-Hypnogram.edf,SC4032E,EXACT_UNIQUE,True,100.0,100.0,uV,uV,81960.0,86400.0,0.0,86400.0,122,INCLUDED,INCLUDED
sleep_edf_sc,SC_04,SC4041E0,True,True,True,SC4041E0-PSG.edf,SC4041EC-Hypnogram.edf,SC4041E,EXACT_UNIQUE,True,100.0,100.0,uV,uV,77100.0,86400.0,0.0,86400.0,159,INCLUDED,INCLUDED
sleep_edf_sc,SC_04,SC4042E0,True,True,True,SC4042E0-PSG.edf,SC4042EC-Hypnogram.edf,SC4042E,EXACT_UNIQUE,True,100.0,100.0,uV,uV,83760.0,86400.0,0.0,86400.0,173,INCLUDED,INCLUDED
