dataset,recording_path,url,range_supported,content_range,signal_count,labels,physical_dimensions,sampling_hz,samples_per_record,records,record_duration_s,duration_s,edf_plus,patient_header_redacted,header_bytes_inspected,status
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4001E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,TRUE,bytes 0-2047/48338048,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2650,30.0,79500.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4002E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4002E0-PSG.edf,TRUE,bytes 0-2047/51621248,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2830,30.0,84900.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4011E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,TRUE,bytes 0-2047/51110528,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2802,30.0,84060.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4012E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4012E0-PSG.edf,TRUE,bytes 0-2047/51986048,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2850,30.0,85500.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4021E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4021E0-PSG.edf,TRUE,bytes 0-2047/51147008,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2804,30.0,84120.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4022E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4022E0-PSG.edf,TRUE,bytes 0-2047/50271488,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2756,30.0,82680.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4031E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4031E0-PSG.edf,TRUE,bytes 0-2047/51438848,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2820,30.0,84600.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4032E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4032E0-PSG.edf,TRUE,bytes 0-2047/49833728,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2732,30.0,81960.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4041E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4041E0-PSG.edf,TRUE,bytes 0-2047/46878848,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2570,30.0,77100.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4042E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4042E0-PSG.edf,TRUE,bytes 0-2047/50928128,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2792,30.0,83760.0,False,TRUE,2048,VERIFIED
