recording_id,psg_filename,matched_hypnogram_filename,pair_prefix,pair_confidence
SC4001E0,SC4001E0-PSG.edf,SC4001EC-Hypnogram.edf,SC4001E,EXACT_UNIQUE
SC4002E0,SC4002E0-PSG.edf,SC4002EC-Hypnogram.edf,SC4002E,EXACT_UNIQUE
SC4011E0,SC4011E0-PSG.edf,SC4011EH-Hypnogram.edf,SC4011E,EXACT_UNIQUE
SC4012E0,SC4012E0-PSG.edf,SC4012EC-Hypnogram.edf,SC4012E,EXACT_UNIQUE
SC4021E0,SC4021E0-PSG.edf,SC4021EH-Hypnogram.edf,SC4021E,EXACT_UNIQUE
SC4022E0,SC4022E0-PSG.edf,SC4022EJ-Hypnogram.edf,SC4022E,EXACT_UNIQUE
SC4031E0,SC4031E0-PSG.edf,SC4031EC-Hypnogram.edf,SC4031E,EXACT_UNIQUE
SC4032E0,SC4032E0-PSG.edf,SC4032EP-Hypnogram.edf,SC4032E,EXACT_UNIQUE
SC4041E0,SC4041E0-PSG.edf,SC4041EC-Hypnogram.edf,SC4041E,EXACT_UNIQUE
SC4042E0,SC4042E0-PSG.edf,SC4042EC-Hypnogram.edf,SC4042E,EXACT_UNIQUE
SC4051E0,SC4051E0-PSG.edf,SC4051EC-Hypnogram.edf,SC4051E,EXACT_UNIQUE
SC4052E0,SC4052E0-PSG.edf,SC4052EC-Hypnogram.edf,SC4052E,EXACT_UNIQUE
SC4061E0,SC4061E0-PSG.edf,SC4061EC-Hypnogram.edf,SC4061E,EXACT_UNIQUE
SC4062E0,SC4062E0-PSG.edf,SC4062EC-Hypnogram.edf,SC4062E,EXACT_UNIQUE
SC4071E0,SC4071E0-PSG.edf,SC4071EC-Hypnogram.edf,SC4071E,EXACT_UNIQUE
SC4072E0,SC4072E0-PSG.edf,SC4072EH-Hypnogram.edf,SC4072E,EXACT_UNIQUE
SC4081E0,SC4081E0-PSG.edf,SC4081EC-Hypnogram.edf,SC4081E,EXACT_UNIQUE
SC4082E0,SC4082E0-PSG.edf,SC4082EP-Hypnogram.edf,SC4082E,EXACT_UNIQUE
SC4091E0,SC4091E0-PSG.edf,SC4091EC-Hypnogram.edf,SC4091E,EXACT_UNIQUE
