dataset,hypnogram_file,raw_label,count,source_sha256
sleep_edf_sc,SC4001EC-Hypnogram.edf,Sleep stage 1,24,a4cf67694ade1b52a0ddd06d5817fd45d2d3e8bac5302f640f3e9cfbbf12a996
sleep_edf_sc,SC4001EC-Hypnogram.edf,Sleep stage 2,40,a4cf67694ade1b52a0ddd06d5817fd45d2d3e8bac5302f640f3e9cfbbf12a996
sleep_edf_sc,SC4001EC-Hypnogram.edf,Sleep stage 3,48,a4cf67694ade1b52a0ddd06d5817fd45d2d3e8bac5302f640f3e9cfbbf12a996
sleep_edf_sc,SC4001EC-Hypnogram.edf,Sleep stage 4,23,a4cf67694ade1b52a0ddd06d5817fd45d2d3e8bac5302f640f3e9cfbbf12a996
sleep_edf_sc,SC4001EC-Hypnogram.edf,Sleep stage ?,1,a4cf67694ade1b52a0ddd06d5817fd45d2d3e8bac5302f640f3e9cfbbf12a996
sleep_edf_sc,SC4001EC-Hypnogram.edf,Sleep stage R,6,a4cf67694ade1b52a0ddd06d5817fd45d2d3e8bac5302f640f3e9cfbbf12a996
sleep_edf_sc,SC4001EC-Hypnogram.edf,Sleep stage W,12,a4cf67694ade1b52a0ddd06d5817fd45d2d3e8bac5302f640f3e9cfbbf12a996
sleep_edf_sc,SC4002EC-Hypnogram.edf,Movement time,1,76e8457a67eaaaa62c7f6cc6e098fbe1c0a9c3fa02fa90ea01460aa481d71e82
sleep_edf_sc,SC4002EC-Hypnogram.edf,Sleep stage 1,32,76e8457a67eaaaa62c7f6cc6e098fbe1c0a9c3fa02fa90ea01460aa481d71e82
sleep_edf_sc,SC4002EC-Hypnogram.edf,Sleep stage 2,37,76e8457a67eaaaa62c7f6cc6e098fbe1c0a9c3fa02fa90ea01460aa481d71e82
sleep_edf_sc,SC4002EC-Hypnogram.edf,Sleep stage 3,30,76e8457a67eaaaa62c7f6cc6e098fbe1c0a9c3fa02fa90ea01460aa481d71e82
sleep_edf_sc,SC4002EC-Hypnogram.edf,Sleep stage 4,16,76e8457a67eaaaa62c7f6cc6e098fbe1c0a9c3fa02fa90ea01460aa481d71e82
sleep_edf_sc,SC4002EC-Hypnogram.edf,Sleep stage ?,1,76e8457a67eaaaa62c7f6cc6e098fbe1c0a9c3fa02fa90ea01460aa481d71e82
sleep_edf_sc,SC4002EC-Hypnogram.edf,Sleep stage R,12,76e8457a67eaaaa62c7f6cc6e098fbe1c0a9c3fa02fa90ea01460aa481d71e82
sleep_edf_sc,SC4002EC-Hypnogram.edf,Sleep stage W,23,76e8457a67eaaaa62c7f6cc6e098fbe1c0a9c3fa02fa90ea01460aa481d71e82
sleep_edf_sc,SC4011EH-Hypnogram.edf,Sleep stage 1,33,5bbf7b4ed8a95c8d20e4347b08c2ded2ee21e2dac4680dedf629795adc2edc83
sleep_edf_sc,SC4011EH-Hypnogram.edf,Sleep stage 2,40,5bbf7b4ed8a95c8d20e4347b08c2ded2ee21e2dac4680dedf629795adc2edc83
sleep_edf_sc,SC4011EH-Hypnogram.edf,Sleep stage 3,21,5bbf7b4ed8a95c8d20e4347b08c2ded2ee21e2dac4680dedf629795adc2edc83
sleep_edf_sc,SC4011EH-Hypnogram.edf,Sleep stage 4,8,5bbf7b4ed8a95c8d20e4347b08c2ded2ee21e2dac4680dedf629795adc2edc83
sleep_edf_sc,SC4011EH-Hypnogram.edf,Sleep stage ?,1,5bbf7b4ed8a95c8d20e4347b08c2ded2ee21e2dac4680dedf629795adc2edc83
sleep_edf_sc,SC4011EH-Hypnogram.edf,Sleep stage R,8,5bbf7b4ed8a95c8d20e4347b08c2ded2ee21e2dac4680dedf629795adc2edc83
sleep_edf_sc,SC4011EH-Hypnogram.edf,Sleep stage W,15,5bbf7b4ed8a95c8d20e4347b08c2ded2ee21e2dac4680dedf629795adc2edc83
sleep_edf_sc,SC4012EC-Hypnogram.edf,Sleep stage 1,42,b6323df8b3867a5fdbd80f0cd8233b59659ac496fa48c8c7277f48bfbb1d9a0e
sleep_edf_sc,SC4012EC-Hypnogram.edf,Sleep stage 2,55,b6323df8b3867a5fdbd80f0cd8233b59659ac496fa48c8c7277f48bfbb1d9a0e
sleep_edf_sc,SC4012EC-Hypnogram.edf,Sleep stage 3,29,b6323df8b3867a5fdbd80f0cd8233b59659ac496fa48c8c7277f48bfbb1d9a0e
sleep_edf_sc,SC4012EC-Hypnogram.edf,Sleep stage 4,9,b6323df8b3867a5fdbd80f0cd8233b59659ac496fa48c8c7277f48bfbb1d9a0e
sleep_edf_sc,SC4012EC-Hypnogram.edf,Sleep stage ?,1,b6323df8b3867a5fdbd80f0cd8233b59659ac496fa48c8c7277f48bfbb1d9a0e
sleep_edf_sc,SC4012EC-Hypnogram.edf,Sleep stage R,18,b6323df8b3867a5fdbd80f0cd8233b59659ac496fa48c8c7277f48bfbb1d9a0e
sleep_edf_sc,SC4012EC-Hypnogram.edf,Sleep stage W,17,b6323df8b3867a5fdbd80f0cd8233b59659ac496fa48c8c7277f48bfbb1d9a0e
sleep_edf_sc,SC4021EH-Hypnogram.edf,Sleep stage 1,22,62b49b26bf08941cb0e974cfeeb0a820bf7dd43fb0c66dd89b4c3a6c0ee45dd8
sleep_edf_sc,SC4021EH-Hypnogram.edf,Sleep stage 2,56,62b49b26bf08941cb0e974cfeeb0a820bf7dd43fb0c66dd89b4c3a6c0ee45dd8
sleep_edf_sc,SC4021EH-Hypnogram.edf,Sleep stage 3,43,62b49b26bf08941cb0e974cfeeb0a820bf7dd43fb0c66dd89b4c3a6c0ee45dd8
sleep_edf_sc,SC4021EH-Hypnogram.edf,Sleep stage 4,15,62b49b26bf08941cb0e974cfeeb0a820bf7dd43fb0c66dd89b4c3a6c0ee45dd8
sleep_edf_sc,SC4021EH-Hypnogram.edf,Sleep stage ?,1,62b49b26bf08941cb0e974cfeeb0a820bf7dd43fb0c66dd89b4c3a6c0ee45dd8
sleep_edf_sc,SC4021EH-Hypnogram.edf,Sleep stage R,15,62b49b26bf08941cb0e974cfeeb0a820bf7dd43fb0c66dd89b4c3a6c0ee45dd8
sleep_edf_sc,SC4021EH-Hypnogram.edf,Sleep stage W,9,62b49b26bf08941cb0e974cfeeb0a820bf7dd43fb0c66dd89b4c3a6c0ee45dd8
