dataset,source_role,purpose,subject_id,recording_id,path
sleep_edf_sc,TRAIN,normalization_fit,SC_03,SC4031E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4031E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_03,SC4032E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4032E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_04,SC4041E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4041E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_04,SC4042E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4042E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_05,SC4051E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4051E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_05,SC4052E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4052E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_06,SC4061E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4061E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_06,SC4062E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4062E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_07,SC4071E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4071E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_07,SC4072E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4072E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_12,SC4121E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4121E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_12,SC4122E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4122E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_13,SC4131E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4131E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_18,SC4181E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4181E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_18,SC4182E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4182E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_21,SC4211E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4211E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_21,SC4212E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4212E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_23,SC4231E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4231E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_23,SC4232E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4232E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_24,SC4241E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4241E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_24,SC4242E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4242E0__core_v1.npz
sleep_edf_sc,TRAIN,normalization_fit,SC_25,SC4251E0,C:\Users\rohan\ShiftSleep-UQ\data\processed\core_v1_1\sleep_edf_sc__SC4251E0__core_v1.npz
