phase,dataset,source_role,purpose,operation,subject_id,recording_id,path
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_00,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C0.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_02,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C0.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_14,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C0.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_16,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C0.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_30,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C0.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_34,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C0.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_37,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C0.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_43,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C0.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_52,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C0.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_53,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C0.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_58,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C0.npz
