experiment,condition,metric,replicate,authoritative_value,engine_value,absolute_error,tolerance,status
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,0,0.7323470277197979,0.7323470277197979,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,0,0.9367315856874256,0.9367315856874256,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,0,0.5324518974947955,0.5323369361189166,0.00011496137587885258,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,AURC,0,0.011312201231569318,0.011311389956764837,8.112748044811213e-07,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,1,0.7478513624788105,0.7478513624788105,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,1,0.946082635622049,0.946082635622049,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,1,0.5135325824701668,0.5133732517698633,0.00015933070030349494,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,AURC,1,0.007537973710771685,0.0075375278936973406,4.458170743447745e-07,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,2,0.7475071548226708,0.7475071548226708,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,2,0.942820194213056,0.942820194213056,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,2,0.4968738354894942,0.4967064317485834,0.00016740374091078758,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,AURC,2,0.007720315379547721,0.007719704857361541,6.105221861795601e-07,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,3,0.7477069182033045,0.7477069182033045,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,3,0.9463103697835059,0.9463103697835059,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,3,0.5361069158218964,0.5359003003459408,0.00020661547595557384,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,AURC,3,0.007903927058059658,0.007903226585580339,7.004724793188699e-07,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,4,0.7518033515465151,0.7518033515465151,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,4,0.9458206717850954,0.9458206717850954,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,4,0.5161713351279333,0.5160236571695805,0.00014767795835279873,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,AURC,4,0.007333738400538984,0.007333183481379592,5.549191593925279e-07,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,5,0.7627082150818508,0.7627082150818508,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,5,0.9372587127457822,0.9372587127457822,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,5,0.4948910414601504,0.4946296613992836,0.00026138006086678933,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,AURC,5,0.009032795384866435,0.009031690087708747,1.1052971576885895e-06,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,6,0.7581622367033916,0.7581622367033916,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,6,0.9425712274886472,0.9425712274886472,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,6,0.5050016612842197,0.5047787512538603,0.00022291003035945778,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,AURC,6,0.00787624246065405,0.007875736001335593,5.064593184573446e-07,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,7,0.7667592183126644,0.7667592183126644,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,7,0.9446014156974435,0.9446014156974435,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,7,0.4967519501204715,0.4965384443861651,0.0002135057343063962,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,AURC,7,0.007072703016354761,0.0070722819399604035,4.21076394357435e-07,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,8,0.746390275045805,0.746390275045805,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,8,0.9411071852786287,0.9411071852786287,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,8,0.5061495639982162,0.5060174063766948,0.00013215762152141153,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,AURC,8,0.008405016823375362,0.008404526945717467,4.898776578953629e-07,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,9,0.7231904072858043,0.7231904072858043,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,9,0.9382362832661024,0.9382362832661024,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,9,0.5239492745060202,0.5237949420435157,0.00015433246250451393,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,AURC,9,0.010312066985482633,0.010311597221779038,4.6976370359462505e-07,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,10,0.7357284440763411,0.7357284440763411,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,10,0.9405096869700335,0.9405096869700335,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,10,0.5042042354002598,0.50435968434152,0.00015544894126018338,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,AURC,10,0.008741728748594317,0.008741041145945053,6.876026492647763e-07,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,11,0.7525462561567245,0.7525462561567245,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,11,0.9477892588294837,0.9477892588294837,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,11,0.5387695987975879,0.538440150615251,0.0003294481823369333,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,AURC,11,0.0076229670885479646,0.007622151051712628,8.160368353367017e-07,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,12,0.7497675097438847,0.7497675097438847,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,12,0.943042587211654,0.943042587211654,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,12,0.5331773436530218,0.5327912571740079,0.0003860864790139473,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,AURC,12,0.008989483156314615,0.008988247791204966,1.2353651096495832e-06,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,13,0.7455869549355417,0.7455869549355417,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,13,0.9395750323366237,0.9395750323366237,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,13,0.4934445561081278,0.4932666662703309,0.00017788983779692957,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,AURC,13,0.008518687416277567,0.008518021266135134,6.661501424330696e-07,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,14,0.7433333265511305,0.7433333265511305,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,14,0.9422728894919156,0.9422728894919156,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,14,0.5184779232505661,0.5184080029007053,6.992034986075257e-05,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,AURC,14,0.008626911138997124,0.008626672411239466,2.387277576575836e-07,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,15,0.7445947526991682,0.7445947526991682,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,15,0.9366968206858592,0.9366968206858592,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,15,0.521810530449248,0.5217194594883349,9.107096091309774e-05,1e-10,FAIL
