model,experiment,seed,condition,replicate,metric,optimized_value,literal_value,absolute_error,tolerance,pass_
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,0,macro-F1,0.7501526343655041,0.7501526343655041,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,0,NLL,0.2546010689888527,0.2546010689888527,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,0,Brier,0.13599115788379734,0.13599115788379731,2.7755575615628914e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,0,ECE,0.016942114659905666,0.016942114659905656,1.0408340855860843e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,0,ERROR_AUROC,0.9339647954395431,0.9339647954395431,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,0,ERROR_AUPRC,0.524067900923242,0.5240679009232432,1.2212453270876722e-15,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,0,AURC,0.011687841757574832,0.011687841757574834,1.734723475976807e-18,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,0,coverage,0.998988472069621,0.998988472069621,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,0,mean_set_size,2.5728212909189208,2.5728212909189208,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,1,macro-F1,0.7565347674447254,0.7565347674447254,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,1,NLL,0.21230314238151685,0.21230314238151685,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,1,Brier,0.11333677336214706,0.11333677336214706,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,1,ECE,0.012340928273745128,0.012340928273745135,6.938893903907228e-18,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,1,ERROR_AUROC,0.9414780729621752,0.9414780729621752,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,1,ERROR_AUPRC,0.5038564091477729,0.5038564091477722,6.661338147750939e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,1,AURC,0.008175444090932288,0.008175444090932312,2.42861286636753e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,1,coverage,0.9991996798719488,0.9991996798719488,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,1,mean_set_size,2.4883953581432574,2.4883953581432574,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,2,macro-F1,0.7569300790038527,0.7569300790038527,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,2,NLL,0.1996747373732859,0.1996747373732859,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,2,Brier,0.10908180262682327,0.10908180262682327,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,2,ECE,0.00918728249275587,0.00918728249275588,8.673617379884035e-18,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,2,ERROR_AUROC,0.9427025493141172,0.9427025493141172,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,2,ERROR_AUPRC,0.4988841864863123,0.49888418648631194,3.3306690738754696e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,2,AURC,0.007789707603384249,0.007789707603384263,1.3877787807814457e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,2,coverage,0.999270896623557,0.999270896623557,0.0,1e-12,True
