metric,cases,max_absolute_error,mean_absolute_error,failures,status
macro-F1,100,0.0,0.0,0,PASS
NLL,100,8.881784197001252e-16,2.020605904817785e-16,0,PASS
Brier,100,4.440892098500626e-16,8.992806499463769e-17,0,PASS
ECE,100,1.1102230246251565e-16,8.326672684688674e-18,0,PASS
ERROR_AUROC,100,0.0,nan,0,PASS
ERROR_AUPRC,100,5.551115123125783e-16,nan,0,PASS
AURC,100,4.440892098500626e-16,7.049916206369744e-17,0,PASS
coverage,100,0.0,0.0,0,PASS
gap,100,0.0,0.0,0,PASS
mean_set_size,100,0.0,0.0,0,PASS
