citation_key,title,authors,venue,year,DOI,publication_type,peer_reviewed,category,exact_relevance,manuscript_section,claim_supported,verification_source,verification_status
supratak2017deepsleepnet,"DeepSleepNet: A Model for Automatic Sleep Stage Scoring Based on Raw Single-Channel EEG","Akara Supratak; Hao Dong; Chao Wu; Yike Guo",IEEE Transactions on Neural Systems and Rehabilitation Engineering,2017,10.1109/TNSRE.2017.2721116,journal-article,yes,automatic sleep staging,Raw-EEG convolutional-recurrent automatic staging baseline,Related Work,Representative deep sleep-staging architecture,Crossref DOI metadata,VERIFIED_AND_USED
phan2019seqsleepnet,"SeqSleepNet: End-to-End Hierarchical Recurrent Neural Network for Sequence-to-Sequence Automatic Sleep Staging","Huy Phan; Fernando Andreotti; Navin Cooray; Oliver Y. Chen; Maarten De Vos",IEEE Transactions on Neural Systems and Rehabilitation Engineering,2019,10.1109/TNSRE.2019.2896659,journal-article,yes,automatic sleep staging,Sequence-to-sequence temporal sleep staging,Related Work,Temporal context in sleep staging,Crossref DOI metadata,VERIFIED_AND_USED
supratak2020tinysleepnet,"TinySleepNet: An Efficient Deep Learning Model for Sleep Stage Scoring Based on Raw Single-Channel EEG","Akara Supratak; Yike Guo",EMBC,2020,10.1109/EMBC44109.2020.9176741,conference-paper,yes,automatic sleep staging,Efficient single-channel sleep staging,Related Work,Deployment-oriented efficient baseline,Crossref DOI metadata,VERIFIED_AND_USED
perslev2021usleep,"U-Sleep: Resilient High-Frequency Sleep Staging","Mathias Perslev; Sune Darkner; Lykke Kempfner; Miki Nikolic; Poul Jørgen Jennum; Christian Igel",npj Digital Medicine,2021,10.1038/s41746-021-00440-5,journal-article,yes,automatic sleep staging,High-frequency robust sleep staging,Related Work,Modern robust sleep-staging context,Crossref DOI metadata,VERIFIED_AND_USED
phan2022sleeptransformer,"SleepTransformer: Automatic Sleep Staging With Interpretability and Uncertainty Quantification","Huy Phan; Kaare Mikkelsen; Oliver Y. Chen; Philipp Koch; Alfred Mertins; Maarten De Vos",IEEE Transactions on Biomedical Engineering,2022,10.1109/TBME.2022.3147187,journal-article,yes,sleep uncertainty,Interpretability and uncertainty-aware sleep staging,Related Work,Uncertainty motivates reliability evaluation,Crossref DOI metadata,VERIFIED_AND_USED
vainikka2026directuq,"Direct Quantification of Uncertainty in Deep Learning-Based Automatic Sleep Staging","Miika Vainikka; Riku Huttunen; Samu Kainulainen; Henri Korkalainen; Matias Rusanen",IEEE Transactions on Biomedical Engineering,2026,10.1109/TBME.2025.3623380,journal-article,yes,sleep uncertainty,Direct uncertainty quantification for sleep staging,Related Work,Recent sleep uncertainty context,Crossref DOI metadata,VERIFIED_AND_USED
zhao2021unsupervisedsleepdomain,"Unsupervised Sleep Staging System Based on Domain Adaptation","Ranqi Zhao; Yi Xia; Yongliang Zhang",Biomedical Signal Processing and Control,2021,10.1016/j.bspc.2021.102937,journal-article,yes,cross-dataset/domain generalization,Domain adaptation for sleep staging,Related Work,Cross-dataset adaptation context,Crossref DOI metadata,VERIFIED_AND_USED
zhou2025sourcefree,"Personalized Sleep Staging Leveraging Source-Free Unsupervised Domain Adaptation","Yangxuan Zhou; Sha Zhao; Jiquan Wang; Haiteng Jiang; Shijian Li; Benyan Luo; Tao Li; Gang Pan",AAAI,2025,10.1609/aaai.v39i13.33592,conference-paper,yes,cross-dataset/domain generalization,Source-free adaptation for sleep staging,Related Work,Target-free/source-free distinction,Crossref DOI metadata,VERIFIED_AND_USED
zhu2023multisource,"Multi-Source Unsupervised Domain-Adaptation for Automatic Sleep Staging","Yangxin Zhu; Shikui Tu; Lin Zhang; Lei Xu",IEEE BIBM,2023,10.1109/BIBM58861.2023.10385825,conference-paper,yes,cross-dataset/domain generalization,Multi-source sleep-staging adaptation,Related Work,Multiple-source transfer context,Crossref DOI metadata,VERIFIED_AND_USED
zhou2022dgsurvey,"Domain Generalization: A Survey","Kaiyang Zhou; Ziwei Liu; Yu Qiao; Tao Xiang; Chen Change Loy",IEEE TPAMI,2022,10.1109/TPAMI.2022.3195549,journal-article,yes,domain generalization,General domain-generalization framing,Related Work,Shift and domain-generalization terminology,Crossref DOI metadata,VERIFIED_AND_USED
