citation_key,used,bibliography_entry,status
angelopoulos2023conformal,YES,YES,PASS
dey2023conformalordinal,YES,YES,PASS
geifman2019selectivenet,YES,YES,PASS
guo2017calibration,YES,YES,PASS
imtiaz2015sleepedf,YES,YES,PASS
khalighi2016isruc,YES,YES,PASS
perslev2021usleep,YES,YES,PASS
phan2019seqsleepnet,YES,YES,PASS
phan2022sleeptransformer,YES,YES,PASS
prinster2022jaws,YES,YES,PASS
supratak2017deepsleepnet,YES,YES,PASS
supratak2020tinysleepnet,YES,YES,PASS
thagaard2020uncertaintyshift,YES,YES,PASS
vainikka2026directuq,YES,YES,PASS
yang2023sleepclip,YES,YES,PASS
zhao2021unsupervisedsleepdomain,YES,YES,PASS
zhou2022dgsurvey,YES,YES,PASS
zhou2025sourcefree,YES,YES,PASS
zhu2023multisource,YES,YES,PASS
