direction,condition,metric,canonical_value,figure_source_value,delta,status
D1,C0,macro_F1,0.7479975565180403,0.7479975565180403,0,PASS
D1,C0,NLL,0.22027111064291127,0.22027111064291127,0,PASS
D1,C0,AURC,0.008754427262024453,0.008754427262024453,0,PASS
D1,C0,abs_gap_alpha_0.10,-0.09957766361195959,-0.09957766361195959,0,PASS
D1,C1,macro_F1,0.6633590456109645,0.6633590456109645,0,PASS
D1,C1,NLL,0.28017133608030936,0.28017133608030936,0,PASS
D1,C1,AURC,0.013381227882334494,0.013381227882334494,0,PASS
D1,C1,abs_gap_alpha_0.10,-0.09854207164676476,-0.09854207164676476,0,PASS
D1,C2,macro_F1,0.4662658916578722,0.4662658916578722,0,PASS
D1,C2,NLL,0.6795648008328651,0.6795648008328651,0,PASS
D1,C2,AURC,0.09406260615611405,0.09406260615611405,0,PASS
D1,C2,abs_gap_alpha_0.10,-0.09341618069054891,-0.09341618069054891,0,PASS
D1,C3,macro_F1,0.5948987191379381,0.5948987191379381,0,PASS
D1,C3,NLL,1.0942263503766367,1.0942263503766367,0,PASS
D1,C3,AURC,0.1881268837040546,0.1881268837040546,0,PASS
D1,C3,abs_gap_alpha_0.10,-0.07985339782634655,-0.07985339782634655,0,PASS
D1,C4,macro_F1,0.5063910424775941,0.5063910424775941,0,PASS
D1,C4,NLL,1.1172660930665559,1.1172660930665559,0,PASS
D1,C4,AURC,0.25705495972924736,0.25705495972924736,0,PASS
D1,C4,abs_gap_alpha_0.10,-0.07858817030932759,-0.07858817030932759,0,PASS
D1,C5,macro_F1,0.28955462494661527,0.28955462494661527,0,PASS
D1,C5,NLL,1.726679451639888,1.726679451639888,0,PASS
D1,C5,AURC,0.6026596616865945,0.6026596616865945,0,PASS
D1,C5,abs_gap_alpha_0.10,-0.03810462199928336,-0.03810462199928336,0,PASS
D2,C0,macro_F1,0.73072363068128,0.73072363068128,0,PASS
D2,C0,NLL,0.6355828923983516,0.6355828923983516,0,PASS
D2,C0,AURC,0.0886485880922413,0.0886485880922413,0,PASS
D2,C0,abs_gap_alpha_0.10,-0.06561449979152867,-0.06561449979152867,0,PASS
D2,C1,macro_F1,0.6462870090953093,0.6462870090953093,0,PASS
D2,C1,NLL,0.7961944341007207,0.7961944341007207,0,PASS
D2,C1,AURC,0.13441528842298545,0.13441528842298545,0,PASS
D2,C1,abs_gap_alpha_0.10,-0.08528437936869988,-0.08528437936869988,0,PASS
D2,C2,macro_F1,0.4847806745234773,0.4847806745234773,0,PASS
D2,C2,NLL,1.1879795139937463,1.1879795139937463,0,PASS
D2,C2,AURC,0.32971057735423065,0.32971057735423065,0,PASS
D2,C2,abs_gap_alpha_0.10,-0.06985750374022022,-0.06985750374022022,0,PASS
D2,C3,macro_F1,0.4835434871729308,0.4835434871729308,0,PASS
D2,C3,NLL,1.1089578677682947,1.1089578677682947,0,PASS
D2,C3,AURC,0.16342615421244097,0.16342615421244097,0,PASS
D2,C3,abs_gap_alpha_0.10,0.008844766937937195,0.008844766937937195,0,PASS
D2,C4,macro_F1,0.38231459305527987,0.38231459305527987,0,PASS
D2,C4,NLL,1.6074360815552524,1.6074360815552524,0,PASS
D2,C4,AURC,0.3236179747490642,0.3236179747490642,0,PASS
D2,C4,abs_gap_alpha_0.10,0.02424219786116451,0.02424219786116451,0,PASS
D2,C5,macro_F1,0.3604298679242472,0.3604298679242472,0,PASS
D2,C5,NLL,1.2605518443735386,1.2605518443735386,0,PASS
D2,C5,AURC,0.4574303629363763,0.4574303629363763,0,PASS
D2,C5,abs_gap_alpha_0.10,-0.019532197001645917,-0.019532197001645917,0,PASS
