direction,condition,metric,canonical_value,displayed_rounded_value,status
D1,C0,macro-F1,0.7479975565180403,.74800,PASS
D1,C0,NLL,0.22027111064291127,.22027,PASS
D1,C0,AURC,0.008754427262024453,.00875,PASS
D1,C0,abs-gap,-0.09957766361195959,.09958,PASS
D1,C1,macro-F1,0.6633590456109645,.66336,PASS
D1,C1,NLL,0.28017133608030936,.28017,PASS
D1,C1,AURC,0.013381227882334494,.01338,PASS
D1,C1,abs-gap,-0.09854207164676476,.09854,PASS
D1,C2,macro-F1,0.4662658916578722,.46627,PASS
D1,C2,NLL,0.6795648008328651,.67956,PASS
D1,C2,AURC,0.09406260615611405,.09406,PASS
D1,C2,abs-gap,-0.09341618069054891,.09342,PASS
D1,C3,macro-F1,0.5948987191379381,.59490,PASS
D1,C3,NLL,1.0942263503766367,1.09423,PASS
D1,C3,AURC,0.1881268837040546,.18813,PASS
D1,C3,abs-gap,-0.07985339782634655,.07985,PASS
D1,C4,macro-F1,0.5063910424775941,.50639,PASS
D1,C4,NLL,1.1172660930665559,1.11727,PASS
D1,C4,AURC,0.25705495972924736,.25705,PASS
D1,C4,abs-gap,-0.07858817030932759,.07859,PASS
D1,C5,macro-F1,0.28955462494661527,.28955,PASS
D1,C5,NLL,1.726679451639888,1.72668,PASS
D1,C5,AURC,0.6026596616865945,.60266,PASS
D1,C5,abs-gap,-0.03810462199928336,.03810,PASS
D2,C0,macro-F1,0.73072363068128,.73072,PASS
D2,C0,NLL,0.6355828923983516,.63558,PASS
D2,C0,AURC,0.0886485880922413,.08865,PASS
D2,C0,abs-gap,-0.06561449979152867,.06561,PASS
D2,C1,macro-F1,0.6462870090953093,.64629,PASS
D2,C1,NLL,0.7961944341007207,.79619,PASS
D2,C1,AURC,0.13441528842298545,.13442,PASS
D2,C1,abs-gap,-0.08528437936869988,.08528,PASS
D2,C2,macro-F1,0.4847806745234773,.48478,PASS
D2,C2,NLL,1.1879795139937463,1.18798,PASS
D2,C2,AURC,0.32971057735423065,.32971,PASS
D2,C2,abs-gap,-0.06985750374022022,.06986,PASS
D2,C3,macro-F1,0.4835434871729308,.48354,PASS
D2,C3,NLL,1.1089578677682947,1.10896,PASS
D2,C3,AURC,0.16342615421244097,.16343,PASS
D2,C3,abs-gap,0.008844766937937195,.00884,PASS
D2,C4,macro-F1,0.38231459305527987,.38231,PASS
D2,C4,NLL,1.6074360815552524,1.60744,PASS
D2,C4,AURC,0.3236179747490642,.32362,PASS
D2,C4,abs-gap,0.02424219786116451,.02424,PASS
D2,C5,macro-F1,0.3604298679242472,.36043,PASS
D2,C5,NLL,1.2605518443735386,1.26055,PASS
D2,C5,AURC,0.4574303629363763,.45743,PASS
D2,C5,abs-gap,-0.019532197001645917,.01953,PASS
