citation_key,used_in_main,bibliography_entry,verification_status
angelopoulos2023conformal,YES,YES,VERIFIED
dey2023conformalordinal,YES,YES,VERIFIED
geifman2019selectivenet,YES,YES,VERIFIED
guo2017calibration,YES,YES,VERIFIED
imtiaz2015sleepedf,YES,YES,VERIFIED
khalighi2016isruc,YES,YES,VERIFIED
perslev2021usleep,YES,YES,VERIFIED
phan2019seqsleepnet,YES,YES,VERIFIED
phan2022sleeptransformer,YES,YES,VERIFIED
prinster2022jaws,YES,YES,VERIFIED
supratak2017deepsleepnet,YES,YES,VERIFIED
supratak2020tinysleepnet,YES,YES,VERIFIED
thagaard2020uncertaintyshift,YES,YES,VERIFIED
vainikka2026directuq,YES,YES,VERIFIED
yang2023sleepclip,YES,YES,VERIFIED
zhao2021unsupervisedsleepdomain,YES,YES,VERIFIED
zhou2022dgsurvey,YES,YES,VERIFIED
zhou2025sourcefree,YES,YES,VERIFIED
zhu2023multisource,YES,YES,VERIFIED
