direction,condition,metric,canonical_value,figure_source_value,delta,status
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,0.747997556518,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,NOT_COMPUTABLE,FIG2_PRESENTATION_BINDING_DEFECT_CONFIRMED
D1_SLEEPEDF_TO_ISRUC,C0,NLL,0.220271110643,0.217100,-0.00317111064291,MISMATCH
D1_SLEEPEDF_TO_ISRUC,C0,AURC,0.00875442726202,0.008727,-2.74272620245e-05,MISMATCH
D1_SLEEPEDF_TO_ISRUC,C0,gap_0.1,-0.099577663612,-0.099578,-3.36388040409e-07,MISMATCH
D1_SLEEPEDF_TO_ISRUC,C1,macro-F1,0.663359045611,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,NOT_COMPUTABLE,FIG2_PRESENTATION_BINDING_DEFECT_CONFIRMED
D1_SLEEPEDF_TO_ISRUC,C1,NLL,0.28017133608,0.285673,0.00550166391969,MISMATCH
D1_SLEEPEDF_TO_ISRUC,C1,AURC,0.0133812278823,0.013341,-4.02278823345e-05,MISMATCH
D1_SLEEPEDF_TO_ISRUC,C1,gap_0.1,-0.0985420716468,-0.098542,7.16467647571e-08,MISMATCH
D1_SLEEPEDF_TO_ISRUC,C2,macro-F1,0.466265891658,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,NOT_COMPUTABLE,FIG2_PRESENTATION_BINDING_DEFECT_CONFIRMED
D1_SLEEPEDF_TO_ISRUC,C2,NLL,0.679564800833,0.670508,-0.00905680083287,MISMATCH
D1_SLEEPEDF_TO_ISRUC,C2,AURC,0.0940626061561,0.092689,-0.00137360615611,MISMATCH
D1_SLEEPEDF_TO_ISRUC,C2,gap_0.1,-0.0934161806905,-0.093416,1.80690548912e-07,MISMATCH
D1_SLEEPEDF_TO_ISRUC,C3,macro-F1,0.594898719138,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,NOT_COMPUTABLE,FIG2_PRESENTATION_BINDING_DEFECT_CONFIRMED
D1_SLEEPEDF_TO_ISRUC,C3,NLL,1.09422635038,1.001996,-0.0922303503766,MISMATCH
D1_SLEEPEDF_TO_ISRUC,C3,AURC,0.188126883704,0.187996,-0.000130883704055,MISMATCH
D1_SLEEPEDF_TO_ISRUC,C3,gap_0.1,-0.0798533978263,-0.079853,3.9782634656e-07,MISMATCH
D1_SLEEPEDF_TO_ISRUC,C4,macro-F1,0.506391042478,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,NOT_COMPUTABLE,FIG2_PRESENTATION_BINDING_DEFECT_CONFIRMED
D1_SLEEPEDF_TO_ISRUC,C4,NLL,1.11726609307,1.055852,-0.0614140930666,MISMATCH
D1_SLEEPEDF_TO_ISRUC,C4,AURC,0.257054959729,0.257754,0.000699040270753,MISMATCH
D1_SLEEPEDF_TO_ISRUC,C4,gap_0.1,-0.0785881703093,-0.078588,1.70309327585e-07,MISMATCH
D1_SLEEPEDF_TO_ISRUC,C5,macro-F1,0.289554624947,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,NOT_COMPUTABLE,FIG2_PRESENTATION_BINDING_DEFECT_CONFIRMED
D1_SLEEPEDF_TO_ISRUC,C5,NLL,1.72667945164,1.587294,-0.13938545164,MISMATCH
D1_SLEEPEDF_TO_ISRUC,C5,AURC,0.602659661687,0.603092,0.000432338313406,MISMATCH
D1_SLEEPEDF_TO_ISRUC,C5,gap_0.1,-0.0381046219993,-0.038105,-3.78000716637e-07,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,0.730723630681,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,NOT_COMPUTABLE,FIG2_PRESENTATION_BINDING_DEFECT_CONFIRMED
D2_ISRUC_TO_SLEEPEDF,C0,NLL,0.635582892398,0.623809,-0.0117738923984,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C0,AURC,0.0886485880922,0.087661,-0.000987588092241,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C0,gap_0.1,-0.0656144997915,-0.065614,4.99791528663e-07,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C1,macro-F1,0.646287009095,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,NOT_COMPUTABLE,FIG2_PRESENTATION_BINDING_DEFECT_CONFIRMED
D2_ISRUC_TO_SLEEPEDF,C1,NLL,0.796194434101,0.798375,0.00218056589928,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C1,AURC,0.134415288423,0.133577,-0.000838288422985,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C1,gap_0.1,-0.0852843793687,-0.085284,3.79368699885e-07,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C2,macro-F1,0.484780674523,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,NOT_COMPUTABLE,FIG2_PRESENTATION_BINDING_DEFECT_CONFIRMED
D2_ISRUC_TO_SLEEPEDF,C2,NLL,1.18797951399,1.171167,-0.0168125139937,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C2,AURC,0.329710577354,0.326439,-0.00327157735423,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C2,gap_0.1,-0.0698575037402,-0.069858,-4.96259779784e-07,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C3,macro-F1,0.483543487173,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,NOT_COMPUTABLE,FIG2_PRESENTATION_BINDING_DEFECT_CONFIRMED
D2_ISRUC_TO_SLEEPEDF,C3,NLL,1.10895786777,1.007769,-0.101188867768,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C3,AURC,0.163426154212,0.160848,-0.00257815421244,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C3,gap_0.1,0.00884476693794,0.008845,2.33062062805e-07,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C4,macro-F1,0.382314593055,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,NOT_COMPUTABLE,FIG2_PRESENTATION_BINDING_DEFECT_CONFIRMED
D2_ISRUC_TO_SLEEPEDF,C4,NLL,1.60743608156,1.496221,-0.111215081555,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C4,AURC,0.323617974749,0.318772,-0.00484597474906,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C4,gap_0.1,0.0242421978612,0.024242,-1.97861164512e-07,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C5,macro-F1,0.360429867924,NOT_AVAILABLE_IN_B0_PER_SEED_TABLE,NOT_COMPUTABLE,FIG2_PRESENTATION_BINDING_DEFECT_CONFIRMED
D2_ISRUC_TO_SLEEPEDF,C5,NLL,1.26055184437,1.185907,-0.0746448443735,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C5,AURC,0.457430362936,0.453596,-0.00383436293638,MISMATCH
D2_ISRUC_TO_SLEEPEDF,C5,gap_0.1,-0.0195321970016,-0.019532,1.97001645916e-07,MISMATCH
